feature,mean,std,median,min,max,n_splits,rank
pair_EigenvectorCentrality,0.1146565892305758,0.03176956278344377,0.11462132735189065,0.06231330358852753,0.15421043216755245,15,1
pair_TriangleCount,0.09464228363096056,0.0376244868016103,0.08793997600978871,0.04324293171514233,0.1942974302257362,15,2
pair_KatzCentrality,0.049804599546053575,0.028363585404917097,0.04695659193378412,0.00167504703033034,0.11369353201962384,15,3
pair_LocalClustCoeff,0.03828871307254775,0.01676638694714609,0.03453175141427023,0.01951817958337256,0.0860711372521864,15,4
pair_AvgNeighborDegree,0.020328305864414694,0.00989161910670997,0.019730733340551608,-7.135241373978918e-06,0.03355587857667646,15,5
pair_Degree,0.019106081102752605,0.011275734596831722,0.018763593082036956,4.501529214145927e-05,0.03986266468227405,15,6
pair_BetweennessCentrality,0.008647369603790147,0.006729837101322024,0.00717634598422554,0.0010182726689982602,0.02034601595817731,15,7
pair_ComponentSize,0.00349479603954544,0.00372513320453617,0.0031281465199615778,-0.004387059543420391,0.01064348741254637,15,8
