split_index,n_train,n_test,train_ess_pct,n_isolated_test,test_ess_pct,hypergraph_pr_auc,hypergraph_f1,pairwise_pr_auc,pairwise_f1,pr_auc_diff,f1_diff
1,2582,417,24.3996901626646,191,30.69544364508393,0.3731567766023175,0.46511627906976744,0.32531583625884886,0.43448275862068964,0.04784094034346864,0.0306335204490778
2,2642,458,24.26192278576836,90,24.45414847161572,0.27260493717167084,0.3525641025641026,0.29343700375236054,0.373134328358209,-0.0208320665806897,-0.02057022579410639
3,2562,449,24.74629195940671,179,25.83518930957684,0.3067338966144284,0.37640449438202245,0.26784818982170555,0.2723404255319149,0.03888570679272285,0.10406406885010755
4,2601,496,23.875432525951556,93,26.209677419354836,0.3362770683584617,0.46924829157175396,0.2650934665591028,0.3151515151515151,0.0711836017993589,0.15409677642023883
5,2581,499,23.67299496319256,110,31.663326653306612,0.39790060501393104,0.5356371490280778,0.28103683846276595,0.23204419889502761,0.1168637665511651,0.3035929501330502
6,2567,517,24.503311258278146,106,25.338491295938105,0.305867581186662,0.39518072289156625,0.26647027842565374,0.37462235649546827,0.03939730276100828,0.020558366396097982
7,2583,456,24.19667053813395,151,28.50877192982456,0.36011642956095846,0.5097087378640777,0.4102406239216124,0.50920245398773,-0.05012419436065396,0.0005062838763476574
8,2585,498,24.526112185686657,107,26.706827309236946,0.3943977481852676,0.40372670807453415,0.23469373306349786,0.11510791366906475,0.15970401512176977,0.2886187944054694
9,2571,537,24.465188642551535,82,24.39478584729981,0.3436982588079406,0.4298507462686567,0.22760516728509161,0.2702702702702703,0.11609309152284897,0.15958047599838643
10,2554,501,24.393108848864525,135,26.94610778443114,0.34897913009198067,0.42409638554216866,0.3203289748051633,0.37037037037037035,0.028650155286817358,0.053726015171798314
11,2599,493,24.54790303963063,98,22.31237322515213,0.295945331888111,0.38961038961038963,0.23999947180879494,0.3902439024390244,0.05594586007931607,-0.0006335128286347746
12,2574,547,24.125874125874127,69,25.59414990859232,0.3458604983908171,0.4860335195530726,0.2637012061783093,0.22839506172839505,0.08215929221250784,0.25763845782467754
13,2631,473,24.059293044469783,86,25.581395348837212,0.3067638705135919,0.4805491990846682,0.277712559372464,0.3878787878787879,0.02905131114112791,0.09267041120588032
14,2562,527,24.902419984387198,101,23.14990512333966,0.36225041073543374,0.4648318042813456,0.23728406539652258,0.31085043988269795,0.12496634533891116,0.15398136439864762
15,2590,470,24.74903474903475,130,25.957446808510635,0.3644243871219463,0.5,0.29868776664957153,0.46846846846846846,0.06573662047237477,0.03153153153153154
