split_index,pairwise_C,hypergraph_C,hyper_flag_C,hyper_recip_C,hb_graph_C
1,0.0001,1e-05,1e-05,1e-06,1e-06
2,10.0,0.01,0.001,1e-06,0.0001
3,100.0,0.01,0.01,1e-05,1e-06
4,10000.0,0.0001,0.001,1e-06,1e-05
5,100.0,0.001,0.001,1e-06,0.0001
6,10.0,0.01,0.01,0.0001,1e-05
7,10.0,0.001,0.001,0.0001,1e-06
8,1e-06,0.001,0.001,1e-06,1e-05
9,0.0001,0.0001,1e-05,1e-06,1e-06
10,10.0,0.1,0.1,1e-06,1e-05
11,10.0,0.001,0.01,1e-05,0.001
12,1000.0,1e-05,0.001,1e-06,1e-05
13,1e-06,0.01,0.001,1e-05,0.0001
14,10.0,0.001,0.001,1e-06,0.001
15,100.0,0.1,1.0,1e-05,0.0001
16,1000.0,1e-05,0.01,1e-05,1e-05
17,10.0,0.01,0.001,1e-05,0.0001
18,100.0,0.01,0.01,1e-05,0.0001
19,10.0,0.001,0.001,1e-06,0.0001
20,1000.0,100.0,100.0,100.0,1e-06
21,10000.0,1e-06,1e-06,1e-06,0.0001
22,1.0,0.01,0.01,1e-06,0.0001
23,10000.0,0.001,0.001,1e-06,0.0001
24,10.0,1e-05,0.01,1e-06,1e-06
25,1e-06,0.1,0.1,1e-06,0.0001
26,10.0,0.1,0.1,0.01,1e-05
27,10.0,0.001,0.01,1e-06,0.001
28,10000.0,0.01,0.01,1e-05,1e-05
29,10.0,0.0001,0.0001,1e-06,1e-05
30,1000.0,0.0001,0.0001,1e-05,1e-06
31,10.0,0.01,0.001,1e-05,1e-06
32,1.0,0.01,0.01,1e-05,1e-06
33,1e-05,0.01,0.01,1e-06,0.0001
34,1e-06,0.0001,0.01,1e-05,0.001
35,1.0,0.01,0.001,0.0001,1e-05
36,10000.0,0.001,0.001,1e-06,1e-06
37,1000.0,0.01,0.01,1e-06,1e-05
38,10.0,100.0,100.0,1000.0,1e-05
39,1000.0,0.001,1e-06,1e-06,1e-06
40,10.0,0.001,0.01,1e-05,1e-05
41,1.0,0.01,0.001,1e-06,0.001
42,1.0,0.1,0.1,1e-06,0.001
43,10.0,0.001,0.001,0.0001,1e-06
44,1e-06,0.01,0.01,1e-05,1e-05
45,0.0001,0.001,0.01,1e-05,1e-05
46,1e-06,0.01,0.1,1e-06,0.0001
47,10.0,0.01,0.01,0.0001,0.001
48,100.0,0.01,10000.0,1000.0,0.001
49,10000.0,0.01,0.1,0.0001,0.0001
50,1e-06,0.01,0.01,1e-05,1e-06
