split_index,seed_index,noise_seed,n_train,n_test,pair_pr_auc,pair__pair_Degree,pair__pair_LocalClustCoeff,pair__pair_TriangleCount,pair__pair_AvgNeighborDegree,pair__rand_0,pair__rand_1,pair__rand_2,pair__rand_3,pair__rand_4,hyper_pr_auc,hyper__base_Degree,hyper__base_LocalClustCoeff,hyper__base_TriangleCount,hyper__base_UniquePartners,hyper__base_AvgNeighbourDegree,hyper__stoich_WeightedTriangles,hyper__stoich_AvgNeighbourDegreeStoich,hyper__stoich_RangeComplexSize,hyper__stoich_MedComplexSize,hyper__stoich_MedianRatio,hyper__stoich_RangeRatio,hyper__protein_RangeUniqueRatio,hyper__protein_MedComplexNodes,hyper__protein_RangeComplexNodes,hyper__rand_0,hyper__rand_1,hyper__rand_2,hyper__rand_3,hyper__rand_4
1,0,1042,4163,959,0.3064140866976731,0.05452220948655162,0.11274836845910936,0.020716778153392058,0.044723169803856155,-0.0026078376607783114,-0.007249423492172341,-0.0033004219685822955,-0.001903183304909789,-0.01360022451289138,0.47358642913090165,0.03259263762641146,0.027662116573901614,0.02670171204436836,0.006378307139245171,0.01426913495157256,-0.0030640911070249966,-0.0022288867940773115,-0.0006292101171081254,-0.0025905818572566465,0.025038745265289215,-0.001850907936699686,0.040913958986234254,0.096556184459221,0.017896835629211672,-0.0026664207730621725,-0.0015796180117308768,0.002270676171845848,0.006754256895601734,-0.0023788885655710414
1,1,1043,4163,959,0.3086335497304705,0.06800096855915187,0.11757309870213066,0.024099051343597404,0.04661586895480702,-0.0033215822606570355,0.000537248006122365,0.003370132193687314,-0.0017295824085743095,-0.0025594622536800004,0.4705594652956808,0.03221661042138473,0.029674318384194247,0.01958424126587092,0.005964469237068554,0.010020228263209524,-0.006309570788108687,0.0027225036168355256,0.00012577847365175532,-0.002304981712896265,0.020107937827515243,-0.0005724769827336329,0.03273286651902549,0.09483462560611529,0.009733866293588318,0.0028664798055182904,0.0017082449941180245,-0.0022973256250597984,-0.00011017229421097507,-0.005022512022294823
1,2,1044,4163,959,0.31532333844595994,0.0757176332660575,0.12647098808007778,0.02136274556528752,0.05477772736330094,-0.01384403321023619,0.014472764877519079,-0.012064111074749861,0.003388511832384228,0.009409094962734949,0.48887814616156705,0.03583150907781894,0.02301761579259894,0.03338083246389784,0.0076533870343908905,0.013363903106114744,-0.0066665943916820345,0.003063589943316375,0.000319808292123841,-0.0036282966599609614,0.02275356088486958,0.000320618763087277,0.0316166677870559,0.09240645575016782,0.013680708650335304,-0.00231651190291986,0.004924660909470369,-0.0009435421040837943,0.002607845834126976,0.004983569623756251
1,3,1045,4163,959,0.2970027948702524,0.055782624722855154,0.10381351180477735,0.026423272256975737,0.03610041596709733,0.01160975810626989,0.0030042568907429346,0.0016075419317323203,-0.0010990305453110916,-0.007410950403939964,0.47340296381515934,0.0401902418730241,0.034284930731196206,0.034748934667360884,0.006258580710135353,0.015660278648721417,-0.004049686175742762,0.003060261755090893,-0.0012725593437685478,0.0019607211879352437,0.022104200685526675,-0.0011146319881491285,0.033332017462939734,0.10360737162821784,0.014635947754184864,0.002789254751579412,0.008443387292638488,-0.013707262460182773,0.0005950080548861092,-0.0019387153340173547
1,4,1046,4163,959,0.3376339515918495,0.06967931765545804,0.1309499509345168,0.039567464911275566,0.06216680250394944,0.008565054646594494,0.007571393856971758,0.008483617782654707,0.0015490097366825718,0.0006595558125057077,0.4714210537415324,0.03481849787556907,0.029238990663243185,0.029168919319981466,0.0003773861238351384,0.008449314911201499,-0.006366446645788592,0.0008321503987321566,-0.00020498328075504446,-0.0022523528582431007,0.02393010892484996,-0.00260407693859796,0.0024658847390505167,0.10798689578589982,0.007833913064924586,0.0017680234961812036,-0.006623463712672306,-0.0055931942521320775,-0.00043552869916013703,0.0009139668192346851
1,5,1047,4163,959,0.31188791196035326,0.05491871688888522,0.12383008869656231,0.02591119229053926,0.04946253747710842,0.0045790967543145045,-0.006726422807736892,0.006907701321306447,-0.0022379869425595,-0.013262772928333156,0.4621344460635585,0.0394262581568902,0.011452290995664754,0.034248326285776134,0.0058926026445464685,0.012234572129358723,-0.006225850695429214,-0.0007317444025769615,0.0030083844026196514,-0.012114503195820192,0.01829308110985322,0.0010768937802809408,0.024533509004741744,0.10130180169254273,0.015002523740129742,0.01160816944444874,-0.0013118077385704586,0.00031902075556397016,0.0017365132202275314,-0.009970133587023377
1,6,1048,4163,959,0.3273300453670874,0.06503733984065889,0.13490376181549524,0.030827491914509612,0.05707016838505512,-0.0072869444773610795,-0.018046160081148854,0.01767324463716314,0.0073365991231317765,0.0044851586184397494,0.4690554801548783,0.04603148297425834,0.024744795933774922,0.0343473138852955,0.004453355482741189,0.013480536132438886,-0.0032373500308120473,0.003467566137580169,0.0014724859573125415,0.0023607482369308597,0.016245517787256546,0.00013576689033731882,0.019772861954268063,0.10842617370586416,0.013115423133479315,-5.548470137067274e-05,-0.004790343016999698,-0.0008488558786154509,-0.001834105026573235,0.00915250120313113
1,7,1049,4163,959,0.3354544077694905,0.06913184086167892,0.13887601955122267,0.031990090345260416,0.05770985966447852,0.015257705444428638,0.007878088666101951,-0.0005866335587909665,-0.0012571101243859018,6.835293884141502e-05,0.49133241886347256,0.04543706688538211,0.04098404825634934,0.03821148691060673,0.01430823862809701,0.021119122875269736,-0.004384708422970907,0.003210312140354543,0.0003000658524763944,0.014046404497724912,0.039885466306750474,0.001017288283382789,0.032364579130522556,0.12005997402857771,0.017982784680495058,1.5326517822561447e-05,0.00966379459293023,0.0028069942253919067,0.006091733488855666,0.00348636042799913
1,8,1050,4163,959,0.3163862746737103,0.0657152101674034,0.10584619608909904,0.01761509961469231,0.047123989552642145,0.009118446278015035,-0.0023207401237921145,-0.0014423537844022837,-0.0016369214922308194,-0.0029430660142909016,0.47929507966709595,0.03896910338195929,0.03036552866846449,0.024644993249382834,0.004415164164020652,0.011580753170634922,-0.0051946906873593605,0.004732404144156227,-0.00013588099593776494,0.0017336898664487733,0.019747982209651786,-0.001351851433052348,0.019919863631645364,0.09390048875283763,0.009429598094553165,0.0024289501271562487,-0.004096530882424038,0.003165125525234247,-0.010029381482978921,-0.005130449455636133
1,9,1051,4163,959,0.35331481201240855,0.0890459000733908,0.14713322274912424,0.04398098056698511,0.07573871734716524,0.02976151184123893,0.01619929574725005,-0.004459031237881811,0.014215610810292479,0.003268091524426103,0.48094715516787456,0.03193338367047605,0.015531565589162322,0.022059574940981774,0.0026213274017737598,0.01099530515915636,-0.0058903710965661936,3.976302399620324e-05,-0.0004901751953152289,-0.0065536266707158786,0.020509163099860117,0.0006408867355477022,0.0211440606408747,0.11024372138493248,0.006796423991317274,0.0013014008528227483,9.917569993446173e-05,-0.0017454711199722862,0.004319681800952435,-0.0007374372662132145
2,0,2042,4149,973,0.3270339981461223,0.08022663367969933,0.12591950267728233,0.06093504035643147,0.0650967256773348,0.002419392821201788,0.006445869398507165,0.0016525190969801206,-0.005651353638433221,0.0021087932732839374,0.48596764153051114,0.024443177479420014,0.00619690035130559,0.024416449361018132,-0.000988114977809046,0.015366477616268132,0.0004603560973420129,0.0028292969011841917,0.004624699239178276,-0.003966933203306882,0.006905944380176027,0.0003278825982936828,0.025049565867471167,0.10132475796005272,0.010448178369919509,0.009969132966455602,0.003994750728299512,0.0005211101712826127,0.005869249437849816,0.0033908611436537285
2,1,2043,4149,973,0.31183172021439953,0.06351101382337787,0.11740003586854489,0.040107026894985305,0.0548726471754832,-0.006108753252786319,-0.007888830683162401,0.00024135434771960785,-0.010721950149283283,-0.00766217398008795,0.47492982606353185,0.02407750246990866,0.007754748315871302,0.0300005769888405,-0.002739991588123103,0.013535934580114522,-0.000715618103626825,-0.0032642129535328636,0.008282298000537047,0.0006568467046707771,0.011801693174104061,-0.0026433861977736895,0.014281202772710949,0.09336908904032182,0.002115485806456935,-0.0034658094254255865,-0.0012015208363671593,0.0009179378906073954,0.0012250598564976178,0.00045702039842158705
