rank,type,feature,mean,std
1,real,base_TriangleCount,0.0776645730815566,0.0237876428146977
2,real,protein_MedianUniqueRatio,0.0504286218037053,0.0141474369902146
3,real,base_AvgNeighbourDegree,0.0413760286346653,0.0224130649769953
4,real,protein_MedComplexNodes,0.0350464137002428,0.0133818113244995
5,real,base_UniquePartners,0.026358811032117,0.0197639956660127
6,real,protein_RangeComplexNodes,0.0237184352685566,0.0192508422222384
7,real,base_Degree,0.019023910395227,0.0117673211012333
8,real,protein_RangeUniqueRatio,0.0118921026352039,0.0095887926384448
9,real,base_LocalClustCoeff,0.0089135923578478,0.0064642809765153
10,NOISE,rand_1,0.0004412371553403,0.0021812678299817
11,NOISE,rand_2,0.0001370190329979,0.0025251430807474
12,NOISE,rand_3,-0.0001491177263102,0.0021651625835224
13,NOISE,rand_0,-0.0001793657759614,0.0020669319581699
