split_index,seed_index,noise_seed,n_train,n_test,rand_pr_auc,pair_pr_auc,hyper_pr_auc,rand__rand_0,rand__rand_1,rand__rand_2,rand__rand_3,pair__pair_Degree,pair__pair_LocalClustCoeff,pair__pair_TriangleCount,pair__pair_AvgNeighborDegree,pair__rand_0,pair__rand_1,pair__rand_2,pair__rand_3,hyper__base_Degree,hyper__base_LocalClustCoeff,hyper__base_TriangleCount,hyper__base_UniquePartners,hyper__base_AvgNeighbourDegree,hyper__protein_MedianUniqueRatio,hyper__protein_RangeUniqueRatio,hyper__protein_MedComplexNodes,hyper__protein_RangeComplexNodes,hyper__rand_0,hyper__rand_1,hyper__rand_2,hyper__rand_3
1,0,1042,3986,1068,0.19033812222490382,0.3029161247826453,0.36339714859453537,-0.002544135762124017,0.01608176527002351,0.005752400158442755,0.013719275244682746,0.032991515431219455,0.012892106850041052,0.05614527917922838,0.04030054058374183,-0.002218557385481579,-0.0008424166576645909,0.002297622966181756,-0.003993593312237203,0.021387198545898906,0.003986460419533999,0.031016436827354398,0.03709145566564226,0.06735240594836829,0.03959967094088904,0.013566459615241333,0.04138335200954187,0.038241083289057565,-0.0009469013156155615,0.0014732797171848166,0.0027269893302471595,4.6760620786351347e-05
1,1,1043,3986,1068,0.17532351326212645,0.30068055748988554,0.3538774951591506,0.011228076506854682,-0.0028808181633401876,0.0029447465755112812,-0.0007663102853422393,0.03136582915615493,0.014929210014153104,0.05020993984258724,0.04193808189187073,0.00813133085232599,-0.007639917674038837,-0.0011356968889722151,-0.005894360612553729,0.020140571911026483,0.008449829219937416,0.0454895800863599,0.025714590478564336,0.05871708431162563,0.03579509358944778,0.011213262075287639,0.03815925444370617,0.04910145492253033,0.0049253197706145444,0.0014554264773978865,-0.000396654000195118,0.0003780412915021514
1,2,1044,3986,1068,0.1674858557277323,0.29720038274610094,0.3424408093205877,-0.0026041400890066736,-0.008654408302349231,-0.007358716614081498,-0.008710629893890012,0.033747527420929395,0.01568815812567423,0.04399257082222147,0.03049399031397585,0.001793873107950783,-0.0030988973364132143,-0.003358613082451861,0.0043554469236753825,0.0143784878904268,0.002565116968500758,0.02417177055483698,0.015962263424444574,0.050531877795442104,0.02622179164771855,0.011436346681352955,0.02817706955582005,0.04177141657680864,0.0004801852787163441,-0.00022036794067559762,-0.0018025670773037627,-0.00040382631598646077
2,0,2042,4108,946,0.20658367956782359,0.5853196992511303,0.6297097756757377,0.0023063461150895194,-0.0027432645886135477,0.015499546789548482,0.01852951698245431,0.06568375109152565,0.035147092082340806,0.22873388021221414,0.04568370678964553,-0.004454354386719805,0.0027840299175342807,-0.0028829190700705664,-0.005108114721670487,0.011606714612550029,0.0012344518127126892,0.10707926012035404,0.04367655449394664,0.03333270209092761,0.06797474630128854,0.008631150203418425,0.04764091633447619,0.012961588633448318,0.00013808624318444317,0.0008385444941479636,0.00014032225621886109,-0.0006185726832675598
2,1,2043,4108,946,0.21256860079973905,0.5800480477606753,0.6213713581439828,0.007894499736945702,0.005274055912778952,9.858115280992896e-05,0.017374221052941913,0.047223824644852315,0.03465070334478796,0.23732225206964302,0.08613234647702497,-0.00534707308522051,-0.004842528575134342,0.005341495030479237,-0.007174803061271673,0.010354574424293661,-1.2231055098399501e-05,0.11022189813658848,0.04971344675156153,0.03409522423832957,0.0700049678714709,0.01098216962589026,0.04190102414367214,0.005133606656570566,-0.0006351399667299473,0.0012322948603315064,-0.0003343022883311675,-0.0008459176849660687
2,2,2044,4108,946,0.18837246596693014,0.5710910254738348,0.6127798394352255,-0.0015405630409669857,-0.00044989449856139285,-0.0016576144738314259,-0.006354488544049039,0.07375435940151195,0.031890156647471114,0.20030014790272793,0.04973427390014344,-0.011930306518422496,0.0064630127255601464,-0.007073153004247268,-0.003457727496156482,0.011996751987687626,0.0018326615078782971,0.1109759082881043,0.029381039909822583,0.02610549699620094,0.05054942071036759,0.018982888479410254,0.04763430515597015,0.014024366208199445,-0.005603741197542167,0.0011604080256253368,-0.0015262355327595235,-0.0038508354928394107
3,0,3042,4031,1023,0.2010302792486856,0.35639691072365354,0.4002153900642433,-0.004876718126975693,-0.008758634251636612,-0.007842784892645957,-0.0064191533359217595,0.027957439287231524,0.030732035953652242,0.07460462621387738,0.03162351798379216,-0.002977806735693761,-0.003024162438149525,-0.005663768094837601,-0.0005574332250141423,0.02555067620307163,0.006695263564301784,0.04735713795592124,0.010430806430551309,0.07020963709204871,0.025491862133419235,0.005084849883575143,0.02055925489505029,0.02252468733977806,-0.0003280236433374384,-0.0034244081931080416,0.0007329190325836398,-0.0006803234696694582
3,1,3043,4031,1023,0.20073765534060112,0.36000629186627403,0.40817139866366803,0.009659528964188821,0.010640118351959776,0.007049169799824229,-0.00391242041282433,0.03073963456816075,0.028842277708356862,0.09078349260452132,0.026240460918549775,0.0001891221612735805,0.004146453118534549,0.0017515590125830927,-0.002075240625041269,0.03380250497255604,0.013473095501931348,0.06568924543348262,0.015122876173490485,0.06764258326634226,0.03649535493042723,0.019657723659642662,0.03132629921261294,0.03905602872356913,0.003396732142604569,0.0028946083937840482,-1.5160449168821754e-05,-0.0008912846892439596
3,2,3044,4031,1023,0.20160839365128108,0.3516163617185959,0.402952845814576,0.0018441441160418931,0.007904584261136877,-0.015440591969238282,0.00612248816656556,0.030601556016403193,0.017171021406607184,0.07458135891527343,0.03340222191765681,0.0019251777754441147,-0.0028569164491344,-0.0027402998508036123,0.00041348478909352673,0.024563539578528866,0.01219346991506865,0.04146503996725876,0.027518876724476855,0.06991138745619148,0.04161331552212316,0.007345934376379476,0.02203721161134938,0.023130983477147905,-0.0014442572108305518,-5.989723201891839e-05,-0.005372835191583131,-0.0017566448398300739
4,0,4042,4075,979,0.17168972670233784,0.473471338322914,0.5166179861688931,0.0026838499867098157,0.0191424253090557,0.003663938420894244,0.00400953414220028,0.05802254914514815,0.049980424772815245,0.1742295332814467,0.022692833769813597,-0.0009488243448823764,0.006164989427311645,0.0002069205130344809,-0.001838406849051305,0.02419899897886136,0.016308797246074293,0.0818016625309223,0.05531776251773694,0.017304023601012592,0.07043571977972499,0.02152560925398911,0.03250905182229186,0.040898737018337725,0.0032061591221281493,0.0005313858383946713,0.0025337208761878395,0.00024315004121997497
