split_index,n_train,n_test,train_ess_pct,test_ess_pct,pairwise_pr_auc,pairwise_f1,hypergraph_pr_auc,hypergraph_f1,hyper_flag_pr_auc,hyper_flag_f1,hb_graph_pr_auc,hb_graph_f1,pr_auc_diff,f1_diff,stoich_pr_auc_diff,stoich_f1_diff,annot_pr_auc_diff,value_pr_auc_diff
1,3995,1059,16.821026282853566,19.263456090651555,0.5584311633699642,0.528169014084507,0.5598875659117827,0.5421903052064632,0.5603956473142203,0.5402504472271914,0.5576588405031297,0.5240641711229946,-0.000772322866834485,-0.004104842961512367,-0.0022287254086529318,-0.018126134083468526,0.0005080814024376323,-0.002736806811090564
2,4149,905,17.23306820920704,17.790055248618785,0.37764075887825493,0.3811252268602541,0.43804591934944953,0.43700787401574803,0.441427845977325,0.441351888667992,0.4370686840522855,0.44047619047619047,0.05942792517403056,0.05935096361593639,-0.0009772352971640363,0.0034683164604424332,0.0033819266278754534,-0.00435916192503949
3,4179,875,17.252931323283082,17.71428571428571,0.4616975860565171,0.4662309368191721,0.4799607978757282,0.47191011235955055,0.47981941735933864,0.47191011235955055,0.4816769549445686,0.4594594594594595,0.019979368888051463,-0.006771477359712619,0.0017161570688403738,-0.012450652900091064,-0.0001413805163895665,0.0018575375852299403
4,4119,935,16.533139111434814,20.855614973262032,0.5559090924720702,0.5289855072463768,0.5947967455496689,0.5548902195608783,0.5927983059993677,0.549800796812749,0.5892564282511494,0.5668662674650699,0.033347335779079224,0.03788076021869302,-0.005540317298519448,0.0119760479041916,-0.001998439550301212,-0.003541877748218236
5,4100,954,16.609756097560975,20.440251572327046,0.4876745976864838,0.46959459459459457,0.5505254985793637,0.4897260273972603,0.5444580479235894,0.4859504132231405,0.5406432843415234,0.49220103986135183,0.05296868665503962,0.022606445266757258,-0.009882214237840303,0.0024750124640915416,-0.006067450655774298,-0.0038147635820660053
6,4111,943,17.903186572610068,14.846235418875928,0.4330007592612833,0.4228855721393035,0.47671889888857105,0.46952595936794583,0.47817520408483943,0.4703196347031963,0.47394371166221483,0.45965770171149145,0.04094295240093154,0.03677212957218795,-0.002775187226356224,-0.009868257656454382,0.0014563051962683815,-0.004231492422624605
7,4127,927,16.476859704385753,21.143473570658035,0.5624997265891915,0.500875656742557,0.5467297828481219,0.570902394106814,0.5494797732064166,0.5693160813308688,0.5514030921307896,0.5735567970204841,-0.01109663445840181,0.07268114027792716,0.004673309282667737,0.0026544029136701397,0.002749990358294707,0.0019233189243730298
8,4069,985,17.547308921110837,16.446700507614214,0.39402820458966425,0.37565217391304345,0.45479599363515344,0.40559440559440557,0.45656018868593884,0.4083769633507853,0.4655410964377069,0.4064748201438849,0.07151289184804266,0.030822646230841466,0.010745102802553474,0.0008804145494793469,0.0017641950507853998,0.008980907751768075
9,4078,976,17.925453653751838,14.856557377049182,0.5132296329454337,0.4462474645030426,0.5313198531472254,0.4830508474576271,0.5307773038262142,0.4820295983086681,0.5288759400209505,0.4870689655172414,0.01564630707551684,0.04082150101419879,-0.002443913126274899,0.004018118059614273,-0.0005425493210111654,-0.0019013638052637338
10,3886,1168,18.116314976839938,14.726027397260275,0.35609837441094194,0.40480961923847697,0.40365307326761307,0.4188034188034188,0.4027161687765111,0.42217484008528783,0.4006797868662232,0.4188034188034188,0.044581412455281244,0.013993799564941845,-0.002973286401389885,0.0,-0.0009369044911019531,-0.002036381910287932
