database,task,model,split_index,rand_pr_auc_mean,rand_pr_auc_std,pair_pr_auc_mean,pair_pr_auc_std,hyper_pr_auc_mean,hyper_pr_auc_std,rand_f1_mean,rand_f1_std,pair_f1_mean,pair_f1_std,hyper_f1_mean,hyper_f1_std
corum,chembl,RandomForest,1,0.12235863081735636,0.009217750350942185,0.4531594312855021,0.021290768736609574,0.49533563410637643,0.006678188244543153,0.12007401068413501,0.06036428208339538,0.43686860580206277,0.027211240201680826,0.46693831293577015,0.00531113970892943
corum,chembl,RandomForest,2,0.1210346923316544,0.011172044571450043,0.3986039372777876,0.0167657351835584,0.4975237738806264,0.00969654443926248,0.052205940721906166,0.0755731476825601,0.3363412500636349,0.03388381281949916,0.4467044305119752,0.00889239449189175
corum,chembl,RandomForest,3,0.14041795178662655,0.009412105512382985,0.36915095733800174,0.022314530472657548,0.4856845785449506,0.008510259361344658,0.08412280554875133,0.0818384485744927,0.3356587989722962,0.033079299515919626,0.4322402732384457,0.0040808547168539756
corum,chembl,RandomForest,4,0.15178294627158165,0.020894517167090884,0.40934889816839154,0.016377553135760014,0.48088532756828595,0.012599680028815459,0.03796288573982079,0.06677578883957458,0.4070128038620246,0.043178978770474004,0.4754076926142772,0.003827130315411594
corum,chembl,RandomForest,5,0.12423388297780011,0.009937528647288842,0.3505969717566183,0.0170304113662363,0.4851884817151241,0.01383728027403128,0.05639178396029548,0.06637493330950474,0.36154002379977546,0.03810144447172497,0.4094058444166572,0.03121539364906229
corum,chembl,RandomForest,6,0.13335608080249955,0.01196191212806529,0.34172107694823917,0.021294426582421453,0.4140620584308109,0.014998647735487368,0.06451284203608323,0.07283913753101197,0.3184818044134559,0.033834121783718175,0.38490557474247333,0.00485116282476737
corum,chembl,RandomForest,7,0.09584892865565435,0.014918744033779154,0.35387015190425075,0.030899055973480014,0.4622395069153981,0.020892738639089713,0.0697281562645338,0.06912046002340275,0.33507067150572667,0.02038629054785727,0.3612841652945166,0.0030009672992158385
corum,chembl,RandomForest,8,0.14391119681099113,0.018399173252219507,0.4200940990945676,0.03026931317569006,0.4293884085939167,0.010483558857520637,0.08536586997058501,0.08526103663401959,0.36947693085207456,0.042184294512202056,0.4417717852394337,0.014907916931567875
corum,chembl,RandomForest,9,0.07686285783041115,0.006308438169365901,0.34848523796461867,0.02329346958271203,0.44829937419279153,0.018123789416415535,0.06387506065859343,0.05075463015122329,0.3460704385975736,0.03800187526817808,0.4065885286509845,0.006158208375068295
corum,chembl,RandomForest,10,0.1395116927512028,0.011498904904859513,0.42614353311942266,0.02231970319057446,0.5025290534329864,0.01415199640897974,0.07039577317367,0.06619363727330058,0.38443306993257614,0.0324936036491781,0.46750467048592903,0.007119989179203973
corum,chembl,RandomForest,11,0.07192879818834214,0.008886158997217678,0.3236484468509057,0.022903967956495814,0.4135986989856188,0.014976354836172653,0.0631499149183121,0.040393619903770606,0.3095193719606407,0.030929970552782904,0.3530236089940039,0.006233933367142023
corum,chembl,RandomForest,12,0.13217012362259783,0.011166084307777512,0.4072407134934261,0.022530709858586084,0.5457645440098949,0.021919802540879444,0.08769841769444801,0.07916149315209148,0.37629347336546515,0.040721617291289085,0.4766223357911204,0.015839316038437763
corum,chembl,RandomForest,13,0.15116652235523534,0.022755766093899375,0.44915741567140577,0.017071818296736596,0.5806778392585314,0.009802590033056622,0.08253358176008536,0.07164652634341681,0.4021666128976674,0.034095098964756154,0.4582673805847552,0.004829990964188134
corum,chembl,RandomForest,14,0.1304919573803866,0.015285521803425973,0.41604954763518337,0.011898863615857609,0.5478633489514408,0.009456735155599,0.08038377827470879,0.07311892657631028,0.3805470755440158,0.03900652092651506,0.457473018048844,0.00544058930636926
corum,chembl,RandomForest,15,0.11787874663792483,0.009554370940832458,0.36863489569846863,0.011570634881260648,0.4881359450107997,0.01276889440491009,0.05998593720060029,0.05793996481315602,0.3392308153922589,0.025152725584084303,0.4122136868658915,0.005797477922864023
