database,task,task_name,model,n_splits,representation,pr_auc_mean,pr_auc_std,f1_mean,f1_std
CP,ess,Gene Essentiality,LogisticRegression,50,Pairwise,0.46225857115525193,0.10064063264806443,0.4773372300686018,0.057059193089928455
CP,ess,Gene Essentiality,LogisticRegression,50,Hypergraph,0.49173429544777714,0.09766736116677856,0.4598916628625772,0.0677378769462243
CP,ess,Gene Essentiality,LogisticRegression,50,Hypergraph + flag,0.49010255056644825,0.09719970641125514,0.44944528187882066,0.06906320307240933
CP,ess,Gene Essentiality,LogisticRegression,50,Hypergraph + 1/size,0.494101141906475,0.0932240409303094,0.4843117329300112,0.0537534164316522
CP,ess,Gene Essentiality,LogisticRegression,50,HB-graph,0.47465153701875124,0.09720304320851934,0.44335249404290944,0.07564789427587577
CP,hpa,Drug Target Prediction (HPA),LogisticRegression,50,Pairwise,0.14417061144286375,0.027197986949222742,0.25469789493883777,0.03792807227504762
CP,hpa,Drug Target Prediction (HPA),LogisticRegression,50,Hypergraph,0.221033257044854,0.0415262391421785,0.2642635693695059,0.0395836725260578
CP,hpa,Drug Target Prediction (HPA),LogisticRegression,50,Hypergraph + flag,0.23937832380860743,0.0435107892964154,0.24329554342630139,0.028299942024538383
CP,hpa,Drug Target Prediction (HPA),LogisticRegression,50,Hypergraph + 1/size,0.21866862706909615,0.042152607254332106,0.2797410687309274,0.032893432192218436
CP,hpa,Drug Target Prediction (HPA),LogisticRegression,50,HB-graph,0.24079416730210212,0.05015128861536599,0.2947375266397062,0.03385597606204078
CP,chembl,Drug Target Prediction (ChEMBL),LogisticRegression,50,Pairwise,0.13131512055647424,0.03229761963486013,0.18260785134358365,0.025492941627009
CP,chembl,Drug Target Prediction (ChEMBL),LogisticRegression,50,Hypergraph,0.21540561574460063,0.049740629719840286,0.19819216980881496,0.037332217220941016
CP,chembl,Drug Target Prediction (ChEMBL),LogisticRegression,50,Hypergraph + flag,0.22979617950229594,0.0527868488777847,0.21499994844825235,0.02729537111756145
CP,chembl,Drug Target Prediction (ChEMBL),LogisticRegression,50,Hypergraph + 1/size,0.21212616845393062,0.04998182642095625,0.21223396788966775,0.027777301790512254
CP,chembl,Drug Target Prediction (ChEMBL),LogisticRegression,50,HB-graph,0.24497579057964367,0.0623442801602327,0.24017528229867177,0.03653519399411492
