database,task,comparison,splits_file,n_splits,model,mean_diff,std_diff,cohens_dz,wins,losses,ties,n_pairs,p_greater,p_two_sided
CP,hpa,hb_graph_vs_pairwise,hpa_protein_splits.csv,50,LogisticRegression,0.09662355585923837,0.046917505933204505,2.059435043218183,50,0,0,50,8.881784197001252e-16,1.7763568394002505e-15
CP,hpa,hb_graph_vs_hypergraph,hpa_protein_splits.csv,50,LogisticRegression,0.019760910257248118,0.03711703163353343,0.5323946821058584,35,15,0,50,0.003300223983405459,0.006600447966810918
CP,hpa,hypergraph_vs_pairwise,hpa_protein_splits.csv,50,LogisticRegression,0.07686264560199026,0.044987839359214,1.7085204956891966,48,2,0,50,1.1333156635373598e-12,2.2666313270747196e-12
CP,hpa,hyper_flag_vs_hypergraph,hpa_protein_splits.csv,50,LogisticRegression,0.01834506676375341,0.019353624295338538,0.9478879244427595,40,10,0,50,1.1930665838377763e-05,2.3861331676755526e-05
CP,hpa,hb_graph_vs_hyper_flag,hpa_protein_splits.csv,50,LogisticRegression,0.0014158434934947045,0.03017596407940935,0.04691957777285429,24,26,0,50,0.6640944831173172,0.887724827340783
CP,hpa,hyper_recip_vs_hypergraph,hpa_protein_splits.csv,50,LogisticRegression,-0.0023646299757578825,0.022372862793460957,-0.10569188206209383,21,29,0,50,0.8986806244677297,0.3222363203575469
CP,hpa,hb_graph_vs_hyper_recip,hpa_protein_splits.csv,50,LogisticRegression,0.022125540233005996,0.028341413767798616,0.7806787767992341,38,12,0,50,0.00015293200080179759,0.00030586400160359517
