split_index,seed_index,noise_seed,n_train,n_test,pair_pr_auc,pair__pair_Degree,pair__pair_LocalClustCoeff,pair__pair_TriangleCount,pair__pair_AvgNeighborDegree,pair__rand_0,pair__rand_1,pair__rand_2,pair__rand_3,pair__rand_4,hyper_pr_auc,hyper__base_Degree,hyper__base_LocalClustCoeff,hyper__base_TriangleCount,hyper__base_UniquePartners,hyper__base_AvgNeighbourDegree,hyper__stoich_WeightedTriangles,hyper__stoich_AvgNeighbourDegreeStoich,hyper__stoich_RangeComplexSize,hyper__stoich_MedComplexSize,hyper__stoich_MedianRatio,hyper__stoich_RangeRatio,hyper__protein_RangeUniqueRatio,hyper__protein_MedComplexNodes,hyper__protein_RangeComplexNodes,hyper__protein_NormUniqueSum,hyper__rand_0,hyper__rand_1,hyper__rand_2,hyper__rand_3,hyper__rand_4
1,0,1042,2735,653,0.25207220623261584,0.029589115561864276,0.12144249319548597,0.04152621454037425,0.05808154514922041,0.007777802735991263,0.010562149798958384,0.0008985471548292462,0.0024637958418772506,0.0016899687808934443,0.30221998174262626,0.011965487187413493,0.012544213494551721,0.030949593772084415,0.021512382028757077,0.022155438988171676,0.0039057817316745735,0.018101343498738022,-0.008104892905167532,0.05245927512117782,0.030635427035748418,-0.0033202326682166662,-0.008150739338808883,0.05356367002669382,-0.0003996788088812597,0.10995514621343297,-0.005700124684479396,-0.0022185104412193123,0.0007560698651486175,-0.0009964468594037712,-0.005038738858876591
1,1,1043,2735,653,0.21489371801048848,0.006844476739994184,0.0904449383619397,0.025777923940612103,0.03683832127549397,0.0008172389168937422,0.0038904841511501254,-0.00585963153915115,-0.02280444111417791,-0.0020807096477331007,0.31847423263006824,0.03498068177045659,0.026653423103906716,0.03559346187144824,0.028088463486840038,0.027863805078700354,0.016420464960955443,0.02438230651604547,-0.001432780683689633,0.06527982551192224,0.05406962893882439,0.001850092471095649,0.000893806830284155,0.05916998411819162,-0.0006491298670171619,0.12496253642994222,0.00047013032102816155,0.0038954555959680613,0.003144684390291047,-0.005555462532869515,0.009054550431683506
1,2,1044,2735,653,0.22949474859402977,0.007552432520630661,0.09190632180040578,0.02470682719981352,0.04261830189929061,-0.0065224253163487286,-0.009998800155061447,6.437362218442155e-05,-0.0005445173178996538,0.008246828760500471,0.3124690193439922,0.00940880265621839,0.01821614770026621,0.013917668266024797,0.005556914326968259,0.01725156147214446,0.005414694053804431,0.009711819850146722,-0.0021564924124938766,0.03736736808374113,0.03401362689152082,-0.003623437424099191,-0.012481778750698235,0.055324967080760956,-0.0031781523219334583,0.10709890489969709,0.005278613400606346,-0.003501020396373844,0.001639538260846729,-0.005792930611083769,0.00438340322789324
1,3,1045,2735,653,0.2409372793252745,0.0181884481419907,0.12115171498375203,0.03527435989518181,0.05166046456902185,0.009272934136134146,-0.004141969982649732,0.00171045473355306,0.0009322455844066324,-0.0011733333611144482,0.31999619462254325,0.05878162902889007,0.028358422449140386,0.038131885726961516,0.02498962603940454,0.0309547529028122,0.03247892709192386,0.04270793049718929,0.0016445222052133667,0.07339803161319418,0.044737512936712985,-0.007470753139880287,-0.0005905531560064237,0.06642822754545756,-0.0073392199017765945,0.12394052964275537,0.007987200088038798,-0.003671848471371786,0.00020172519387841038,0.0028682393607921907,0.0024243219825402897
1,4,1046,2735,653,0.24441951212535742,0.00776461543683237,0.11744244300931932,0.028772174864373213,0.043015322627758375,-0.001650673139924802,0.004213318652900294,0.020136219236723995,0.004971735343558223,-0.005567620436867135,0.34135477387071644,0.02467561025373004,0.0060755280400729365,0.027369976189288537,0.015912729860521252,0.011195741365877305,0.03307977739580657,0.04021889039803326,-0.0007748969947633189,0.0716621042175463,0.05170581340715598,0.0021470459182897305,-0.0025935498200953698,0.06343373166194104,-0.004367077590112384,0.1423472893365315,-0.002319654890878942,0.0016484775755905845,0.01155019383099079,-0.005800021290811308,0.0043760724236907465
1,5,1047,2735,653,0.22489810728832568,0.01360848370890846,0.100955246497616,0.02414933526914974,0.04646538335123692,0.0009772740528602747,-0.01073549552005586,-0.005259286465256277,-0.007652882803309011,0.004034205874346211,0.3204984653580754,0.019497048769285208,0.02746860857119233,0.03131193729078029,0.026657932976040143,0.01164151432421911,0.0095445572005872,0.0364651562849745,0.0004593717996401292,0.07178195459061223,0.04389626038011112,0.0008091784772306876,-0.006397895418079574,0.06158513367426013,0.0003235832126630922,0.11754062938636142,-0.0035436814266220085,-0.0014463974632255184,-0.009228700000846158,0.004125871546212368,-0.00622825040513752
1,6,1048,2735,653,0.24692552317601935,0.014667849599038177,0.11751643635275819,0.04760425463321085,0.055230411832672834,0.001893550594899257,-0.003069426602242184,-0.0032856671963544166,0.005415498684106188,-0.002375021215790865,0.2843965534551324,0.02356649536703586,0.013392073016338357,0.015892513018813163,0.014761872229453483,0.008171843337686701,-0.0013881589661441374,0.013632645233115834,-0.009090232463347964,0.044305272724480385,0.02454979182174166,0.000569347210489407,-0.009708058169434836,0.04582188415498253,-0.004677192412941183,0.08900772216859232,-0.019390365384745624,-0.01026403511844869,-0.0005419987939032312,-0.009932219342257558,-0.0004712391756993395
1,7,1049,2735,653,0.21313868565024474,0.008529149054153192,0.08869146841916811,0.02767554320015996,0.04102087333504821,-0.0008005696494576636,0.002951141986345565,0.004138493522946846,6.098842776490476e-05,-0.011221917322462438,0.3040112141191635,0.01911608139428041,0.014425384830358134,0.030513667032128357,0.018611290249433782,0.013425266306929251,0.012234714934508445,0.011819258132467526,-0.0016425110916525264,0.0432752561053796,0.03162685506972253,0.0018305193118404728,-0.007822156313434686,0.05373144035191679,0.0032258716270007924,0.10371496276022876,0.0017409455622492188,0.0056985024759663,0.0031174502585311625,-0.007748581056467263,-0.011398957870891884
1,8,1050,2735,653,0.227674283765229,0.018947323577855044,0.10107761183554216,0.024030896119165486,0.04447217473094869,0.01593393822993398,-0.01187890026872892,0.0016088267823937603,0.01676177577871435,-0.004511089744142868,0.28826008358566807,0.013957267965134518,0.015305779938299407,0.013214360498121275,0.006034402313172998,0.007366086570785651,-0.006944600103190779,0.0012214816556749219,-0.0023811951072390592,0.031090537615313368,0.02186661738871421,-0.0025943809014126683,-0.006810854214876294,0.03436459204924611,-0.0035070001435912267,0.09972989166460147,0.0005047868378201259,-0.010031898027687076,-0.007394008607366315,-0.0008205262078648856,-0.018153211274886828
1,9,1051,2735,653,0.21941176841544988,0.019888488952167677,0.09123985588432536,0.03243881787556622,0.04483375887327986,0.0023867330013971925,-0.01713118399585312,0.00521489287609733,-0.0021392468770697086,-0.0010851498273862698,0.320838166876787,0.016782626720279626,0.006006939369093495,0.0301555769255852,0.017416380646419233,0.015070387178134687,0.004401244083915262,0.019733445866441435,-0.003525203942072741,0.05981755449399424,0.048899187761236126,0.0005545085330163679,0.0006333690913490619,0.058004026056074076,-0.004443303163983564,0.11520745007552695,-0.002445052067152992,-0.00505525998421894,0.00035073162522369916,0.005008590241075977,0.006515516221836132
