model,family,tier,split_index,pr_auc,n_train,n_test,n_features,seed,best_params
LogisticRegression,Linear,pairwise,1,0.155397879,2701,687,4,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hypergraph,1,0.187158758,2701,687,8,42,{'clf__C': np.float64(4.5705630998014515)}
LogisticRegression,Linear,hb_graph,1,0.182521775,2701,687,14,42,{'clf__C': np.float64(0.9846738873614566)}
LogisticRegression,Linear,pairwise,2,0.140940341,2673,715,4,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hypergraph,2,0.221483972,2673,715,8,42,{'clf__C': np.float64(0.14445251022763064)}
LogisticRegression,Linear,hb_graph,2,0.214655249,2673,715,14,42,{'clf__C': np.float64(0.011526449540315618)}
LogisticRegression,Linear,pairwise,3,0.190654815,2665,723,4,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hypergraph,3,0.21738562,2665,723,8,42,{'clf__C': np.float64(0.033205591037519584)}
LogisticRegression,Linear,hb_graph,3,0.186992939,2665,723,14,42,{'clf__C': np.float64(1.0129197956845732)}
LogisticRegression,Linear,pairwise,4,0.125924356,2749,639,4,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hypergraph,4,0.167695891,2749,639,8,42,{'clf__C': np.float64(56.69849511478853)}
LogisticRegression,Linear,hb_graph,4,0.207533544,2749,639,14,42,{'clf__C': np.float64(21.42302175774105)}
LogisticRegression,Linear,pairwise,5,0.12431705,2757,631,4,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hypergraph,5,0.143057639,2757,631,8,42,{'clf__C': np.float64(0.9846738873614566)}
LogisticRegression,Linear,hb_graph,5,0.195434437,2757,631,14,42,{'clf__C': np.float64(4.5705630998014515)}
LogisticRegression,Linear,pairwise,6,0.170680327,2682,706,4,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hypergraph,6,0.262190544,2682,706,8,42,{'clf__C': np.float64(0.9846738873614566)}
LogisticRegression,Linear,hb_graph,6,0.255964626,2682,706,14,42,{'clf__C': np.float64(0.4205156450913872)}
LogisticRegression,Linear,pairwise,7,0.107741744,2760,628,4,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hypergraph,7,0.205203978,2760,628,8,42,{'clf__C': np.float64(56.69849511478853)}
LogisticRegression,Linear,hb_graph,7,0.20556051,2760,628,14,42,{'clf__C': np.float64(3.4702669886504163)}
LogisticRegression,Linear,pairwise,8,0.187030937,2764,624,4,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hypergraph,8,0.197285171,2764,624,8,42,{'clf__C': np.float64(0.4205156450913872)}
LogisticRegression,Linear,hb_graph,8,0.271961232,2764,624,14,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,pairwise,9,0.101853892,2748,640,4,42,{'clf__C': np.float64(0.0019517224641449498)}
LogisticRegression,Linear,hypergraph,9,0.179206796,2748,640,8,42,{'clf__C': np.float64(0.14445251022763064)}
LogisticRegression,Linear,hb_graph,9,0.183666282,2748,640,14,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,pairwise,10,0.135087106,2696,692,4,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hypergraph,10,0.191762863,2696,692,8,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hb_graph,10,0.229023773,2696,692,14,42,{'clf__C': np.float64(4.5705630998014515)}
