rank,type,feature,mean,std,hit_rate,binom_p
1,real,pair_LocalClustCoeff,0.19233022020327387,0.02814417874019139,1.0,1.401298464324817e-45
2,real,pair_AvgNeighborDegree,0.08193360698845313,0.0256095477678643,1.0,1.401298464324817e-45
3,real,pair_Degree,0.06690448527691549,0.026828036651492346,1.0,1.401298464324817e-45
4,real,pair_TriangleCount,0.03393259590354627,0.012749530779066268,0.98,7.884069497892145e-40
5,NOISE,rand_1,0.0009376560885877233,0.007559400608528831,,
6,NOISE,rand_3,0.0008257431145799992,0.00902921632208251,,
7,NOISE,rand_2,0.0008190918863080428,0.008390490761928658,,
8,NOISE,rand_0,0.0005522404098500078,0.007341991093661296,,
9,NOISE,rand_4,0.0004329010798420852,0.007491003670517654,,
