rank,type,feature,mean,std,hit_rate,binom_p
1,real,protein_MedianUniqueRatio,0.06625310045084472,0.0257900572132722,0.9933333333333333,2.1159606811304738e-43
2,real,protein_MedComplexNodes,0.06254089298396387,0.02594521334392519,0.9933333333333333,2.1159606811304738e-43
3,real,base_Degree,0.044217008610787215,0.019281404800204488,0.9933333333333333,2.1159606811304738e-43
4,real,base_TriangleCount,0.024550996327115993,0.013899862378881621,0.9133333333333333,2.829047199141368e-27
5,real,protein_RangeComplexNodes,0.011253096023965752,0.009026563552675266,0.6466666666666666,0.0004097727655173999
6,real,protein_RangeUniqueRatio,0.009518402902809052,0.009428963281532598,0.6,0.017597691928785734
7,real,base_AvgNeighbourDegree,0.008047769122193153,0.018633081356974855,0.5533333333333333,0.22054483769441588
8,real,base_LocalClustCoeff,0.006005383594400798,0.005882168603527297,0.38,0.004113298503347425
9,real,stoich_MedianRatio,0.005238486749184766,0.024261471402885506,0.4533333333333333,0.28845574899076454
10,real,base_UniquePartners,0.0038720617121117363,0.013449429083851069,0.37333333333333335,0.0024055162156063617
11,NOISE,rand_0,0.0007496477555537669,0.007096037184792785,,
12,real,stoich_AvgNeighbourDegreeStoich,0.000492479130187065,0.0019961166029357747,0.07333333333333333,2.2621587335491238e-29
13,NOISE,rand_3,0.00046387998148786754,0.0056336465299477,,
14,NOISE,rand_4,0.00041287567470402355,0.006271252559972268,,
15,NOISE,rand_1,0.00026203330537421615,0.006180110310074873,,
16,NOISE,rand_2,0.00022381460060598944,0.006535413256629749,,
17,real,stoich_WeightedTriangles,-2.379239831268802e-05,0.001457223211326461,0.05333333333333334,7.799950339037261e-33
18,real,stoich_RangeRatio,-4.768282535347834e-05,0.0004834042488592327,0.05333333333333334,7.799950339037261e-33
19,real,stoich_RangeComplexSize,-0.00019199096401079996,0.0017873544224748378,0.04666666666666667,4.330280643440687e-34
20,real,stoich_MedComplexSize,-0.0007968753991556865,0.017066992357756543,0.30666666666666664,2.471582905815955e-06
