rank,type,feature,mean,std,hit_rate,binom_p
1,real,base_TriangleCount,0.06518017175288782,0.02531159599686015,1.0,1.401298464324817e-45
2,real,protein_MedianUniqueRatio,0.048438005982042606,0.016209431204562662,1.0,1.401298464324817e-45
3,real,base_AvgNeighbourDegree,0.037015480778854686,0.018858632112072064,1.0,1.401298464324817e-45
4,real,protein_MedComplexNodes,0.03271400230589408,0.015158250866814502,1.0,1.401298464324817e-45
5,real,base_UniquePartners,0.026221126263592996,0.018803858440439993,0.9466666666666667,7.799950339037261e-33
6,real,protein_RangeComplexNodes,0.02234226847837314,0.017976325579366154,0.9,2.5548753585057904e-25
7,real,base_Degree,0.021382087158794204,0.012605072580197723,0.98,7.884069497892145e-40
8,real,protein_RangeUniqueRatio,0.013190412358184257,0.009888719918433517,0.86,3.7496164825096794e-20
9,real,base_LocalClustCoeff,0.007748745291783102,0.006502673183634207,0.78,3.206401775087398e-12
10,real,stoich_MedianRatio,0.0011173352993492443,0.0015922430873428054,0.24666666666666667,3.830070299438247e-10
11,real,stoich_AvgNeighbourDegreeStoich,0.0007732538456662063,0.00105388281608958,0.22,3.206401775087398e-12
12,real,stoich_WeightedTriangles,0.0003336151766975595,0.0006981735033860081,0.12666666666666668,9.06036169351255e-22
13,NOISE,rand_4,0.00020227658083073414,0.0022606888867382174,,
14,NOISE,rand_0,0.0001959678538825965,0.0021173477040711563,,
15,real,stoich_MedComplexSize,0.00016451780835567546,0.0010241912954476894,0.15333333333333332,1.2501769109848848e-18
16,NOISE,rand_2,6.115450082305239e-05,0.0021284219413298484,,
17,real,stoich_RangeComplexSize,-2.2907185355726518e-05,0.00011686000308674466,0.08666666666666667,2.829047199141368e-27
18,real,stoich_RangeRatio,-3.865654338286069e-05,0.00015357406607043148,0.08,2.642343883518912e-28
19,NOISE,rand_3,-7.203021666035964e-05,0.002501777404384839,,
20,NOISE,rand_1,-0.00011276370124327286,0.0022824271940871757,,
