base_Degree,base_LocalClustCoeff,base_TriangleCount,base_UniquePartners,base_AvgNeighbourDegree,stoich_WeightedTriangles,stoich_AvgNeighbourDegreeStoich,stoich_RangeComplexSize,stoich_MedComplexSize,stoich_MedianRatio,stoich_RangeRatio,protein_MedianUniqueRatio,protein_RangeUniqueRatio,protein_MedComplexNodes,protein_RangeComplexNodes,true_label
-0.0024549695835198197,0.00433110674544488,-0.05056351625871218,-0.021874534757187886,-0.04122829067753325,-0.027901765987736003,-0.031045844774077305,-0.005285798311656971,-0.009264448756651996,-0.028254342967537486,-0.012423032652543764,-0.06189308338072886,-0.014510945382636887,-0.05585471277176061,-0.006541877747632081,0
-0.008998485924292298,-0.020812100965922637,-0.051575942577703385,-0.03043274032286033,-0.045660992011640845,-0.026633743224787235,-0.025095096863977952,-0.0018211550164378577,-0.010554818789629302,-0.01902400194103879,0.0004911164742242758,-0.06781438971132027,-0.0011920111296041557,-0.05741923691646381,-0.0077124086207530675,0
-0.005712251100023944,0.003397422408827107,-0.05151508963051198,-0.027608312031197357,-0.05451297228967052,-0.024922265310225112,-0.03916973757089871,-0.0016018072688735285,-0.009210597233418974,-0.028905284688408264,-0.008897094628455766,-0.06432764079558798,-0.012363301849469788,-0.05791989589702503,-0.006557767520522823,0
-0.0054987753307053815,0.004020254233793552,0.07667212984301984,0.06069674769046641,-0.011360257484289928,0.066545336232698,-0.004594422315161175,0.014437662016803283,-0.008551980597126226,0.015221188330842149,0.012871478485265209,0.03724397823949297,0.004121352352115272,0.029951445577338465,0.009171316646297388,1
-0.009771338314334854,0.0037262437086404386,0.016499204866998796,-0.002271468086381948,-0.010673601105253209,-0.02864723516393305,0.005438718978589951,-0.0008076863079099355,-0.010450380823397918,0.0035800097682724932,0.0002181679872097671,0.03490198548306565,-0.00217742561051823,0.030187015532577684,-0.003159062864755326,0
-0.0014270574959283505,0.003798809218744157,-0.0420017461536688,-0.02441774367121133,0.051637726423280426,-0.006850288277159486,0.02390954976444319,-0.0008709273542494636,-0.011776604676359192,0.01020368148997961,-0.0001709873982890777,-0.04539225970589195,-0.0006514453611795228,-0.03899604368648967,-0.0022335385572092173,0
0.007177052480359303,0.00359417507594075,-0.03467363925846804,-0.023283935523016008,0.06762286712108537,-0.022713777156274297,0.013754648089271683,-0.0007915130222054395,-0.010240493808602277,0.008643814301001633,-0.00016981157013960758,-0.04193931214233521,-0.0004138532849418285,-0.03766624259899455,-0.0022284158387984396,1
9.265355810485283e-05,0.0033467994231518704,-0.046821277385029114,-0.028190696740427446,-0.004796510052375169,-0.023276940022419326,0.013883753561346635,-0.0011665602364363589,-0.010693481184647729,0.010313978117502976,-0.0001958207686008512,-0.0505185069735284,-0.00015911697853224606,-0.045544836037520346,-0.0020201949473079277,0
-0.0007944855615487828,0.003552520141023758,-0.04830374440416765,-0.028427500225468073,-0.10479774611626463,-0.0239307621558339,-0.06317606253432924,-0.002006634654225904,-0.008890028077648219,-0.01878162015155357,-0.00018869473617152624,-0.053967753521080825,-0.001236218610476507,-0.045031293694348926,-0.0029752621096395633,1
-0.007038647569104057,-0.029134715084922217,-0.0497360752308167,-0.02899650724059493,-0.007842569443793393,-0.024959134488705365,-0.023755754748794287,-0.0019266372678825856,-0.006213602394530397,-0.01948701484163485,4.5876301230452744e-05,-0.06451290616905714,0.0005058276464045771,-0.05338217819287539,-0.007426373015503835,1
-0.00024452546086034326,0.003491138159754532,-0.046688973206403396,-0.028061636916069787,-0.0049888816120963134,-0.02418213526760804,-0.02466013088163181,-0.0012723116842292268,-0.006673108088118637,-0.018441326132093355,0.00038172099053730013,-0.059163369793286937,-0.00042122518871355016,-0.048516599805364165,-0.0023384914949622845,0
-0.005848885090713065,0.005163111190312368,0.04428304584697395,0.022754440062036686,-0.07206047649391778,-0.0315460766682,-0.018490937248936978,-0.0006716841827641003,-0.012626393337934817,-0.019161594405872846,-0.00014707777892405648,-0.06407945229200418,-0.019575818167308322,-0.0538733814262455,0.023507520560963325,1
0.0007315928796354535,0.0035920577170566867,-0.04825626943494995,-0.027358909968303962,-0.10867284361597537,-0.023499578529998358,-0.07140645344871518,-0.0021868417620778216,-0.006859686178764869,-0.01789490316550734,-0.0002882634443506886,-0.050745506761298784,-0.0012479748580097214,-0.04423974145608203,-0.0029830469366814404,0
-0.0007944855615487828,0.003552520141023758,-0.04830374440416765,-0.028427500225468073,-0.10479774611626463,-0.0239307621558339,-0.06317606253432924,-0.002006634654225904,-0.008890028077648219,-0.01878162015155357,-0.00018869473617152624,-0.053967753521080825,-0.001236218610476507,-0.045031293694348926,-0.0029752621096395633,0
0.004580649645483493,0.0029766456417984278,-0.0492397978260247,-0.04009251478340708,0.026157338760395263,-0.02305739274788298,0.007887912650493644,-0.0013103490662777404,-0.005928920656171817,-0.07000083605022077,-0.00016763132798524178,-0.08745704635257613,-0.0007218948757325844,-0.07237245461575217,-0.0027962912247556496,0
-0.0007944855615487828,0.003552520141023758,-0.04830374440416765,-0.028427500225468073,-0.10479774611626463,-0.0239307621558339,-0.06317606253432924,-0.002006634654225904,-0.008890028077648219,-0.01878162015155357,-0.00018869473617152624,-0.053967753521080825,-0.001236218610476507,-0.045031293694348926,-0.0029752621096395633,0
0.00035291820112624486,0.003155536441380767,-0.004477568210234566,-0.018162787725241596,0.04305770270982579,-0.02756051715698662,0.007774817779301107,0.0004983969001488881,-0.008506942741331375,0.001728841125419607,0.00035829017314209396,0.03571568268317212,-0.0014702272744943183,0.030786878291410483,-0.002322051585793097,1
0.00035291820112624486,0.003155536441380767,-0.004477568210234566,-0.018162787725241596,0.04305770270982579,-0.02756051715698662,0.007774817779301107,0.0004983969001488881,-0.008506942741331375,0.001728841125419607,0.00035829017314209396,0.03571568268317212,-0.0014702272744943183,0.030786878291410483,-0.002322051585793097,0
0.003830838707806723,0.005905542360704555,0.029333318557427695,0.018822055864796988,0.05853588951175336,-0.026892488137080357,-0.01632956707793557,-0.005706231832392405,-0.0134595502386877,-0.020746987074625467,0.0004112935315126714,-0.052359867328926155,-0.023502893515912032,-0.04352420374047872,0.02330548662921283,0
0.0004554095986862457,0.0035314884522141756,0.011234040308769285,-0.0023374316131493373,-0.0015617588967691979,-0.02630213559362472,0.0070030183346922875,-0.0017131509163383816,-0.012369318040577516,0.004157187570679124,-0.00040327868448585886,0.03732124214924375,-0.0022153144123217964,0.03233997469941413,-0.003530901898327696,0
-0.007024075606911799,0.003680490527698772,-0.04893199944123516,-0.02928291608689832,-0.07361776869146973,-0.02421712198590806,-0.046482192225404416,-0.001754134872840591,-0.007162203616949286,-0.02069984092083291,-0.00040156265461301966,-0.06203712962185168,-0.0008632097131155416,-0.05102098995274729,-0.002493613309187628,1
-0.0008920435678444819,0.003295587469150921,-0.013431020540054118,-0.029040017596240114,-0.01326866502878799,-0.008631356100534055,-0.037696548281534216,-0.005452202741687053,0.0029538900641681042,-0.01906708484534087,-0.007297295617074183,-0.03966607678794945,-0.002897508495384428,-0.026115500677723374,-0.007280421065854671,0
-0.00019082443751975163,0.003329411233479402,-0.04845483836614267,-0.03215341862548738,-0.003282318887852765,-0.023532962771359085,0.0129638231618515,-0.0011738847210272384,-0.010155354844414799,0.008061851002779638,-0.00015737278082708804,-0.05414911556113936,-0.00016608468600981687,-0.04914122002213992,-0.0021099263512784454,0
-0.0013454523944283635,0.0033870746879379873,-0.042982897298741614,-0.02576239735911338,0.0498463586708197,-0.021197577557855025,0.013290837242627064,-0.0009419055533224881,-0.010677460416702636,0.01035578001757054,-0.0002107012971448145,-0.04607889768251874,-0.0005815258048398357,-0.039563734383807184,-0.002293067754162527,0
-0.005671848133252692,-0.04043805501149103,0.03399329517408207,0.04717996768818452,-0.1212520139964433,-0.040923981468767655,-0.007853853030714234,-0.0038690065226924895,-0.014734983266481788,-0.0036954902495050204,-0.0015688460984212172,0.03778851301350784,0.0025841461936344278,0.03009426988202998,0.010723691763983821,0
-0.024120156437189684,-0.05758232058747434,0.037142709818460184,0.0014400829853972227,-0.15970537217199163,-0.03551903103456353,-0.007977952426542421,-0.004658150202335147,-0.017702325459378575,-0.0028758688964915908,-0.0017957408374517207,0.032649196157937925,0.0005573503663081859,0.02433001088625818,-0.005114380427233745,0
-0.01729004021953581,-0.04094827215152962,0.04073289965427138,0.005763043772654468,-0.1585180317030018,-0.03542821419243843,-0.0073848330655006365,-0.004555738334306004,-0.01693939887097475,-0.0016820335457827023,-0.001694963729524394,0.032439435956239236,0.0018372175155748653,0.024028017017209156,-0.0035329183111329045,0
-0.00032318063240150953,0.00435361254723997,0.0216364701904903,0.0024753653291523505,-0.1625170193991282,-0.020994613976603616,0.0035800181833175017,-0.0026282907784944153,-0.012888816223818761,0.0014610378879419573,-0.0011614067189295453,0.03196503329133956,-0.004706633970309504,0.02813166169055309,-0.005583051170447074,0
