split_index,seed_accepted,train_n,test_n,train_pct,test_pct,train_n_positive,test_n_positive,train_n_negative,test_n_negative,train_pos_rate_pct,test_pos_rate_pct
1,42,2711,677,80.0177095631641,19.982290436835893,218,54,2493,623,8.041313168572483,7.976366322008863
2,43,2711,677,80.0177095631641,19.982290436835893,218,54,2493,623,8.041313168572483,7.976366322008863
3,44,2711,677,80.0177095631641,19.982290436835893,218,54,2493,623,8.041313168572483,7.976366322008863
4,45,2711,677,80.0177095631641,19.982290436835893,218,54,2493,623,8.041313168572483,7.976366322008863
5,46,2711,677,80.0177095631641,19.982290436835893,218,54,2493,623,8.041313168572483,7.976366322008863
6,47,2711,677,80.0177095631641,19.982290436835893,218,54,2493,623,8.041313168572483,7.976366322008863
7,48,2711,677,80.0177095631641,19.982290436835893,218,54,2493,623,8.041313168572483,7.976366322008863
8,49,2711,677,80.0177095631641,19.982290436835893,218,54,2493,623,8.041313168572483,7.976366322008863
9,50,2711,677,80.0177095631641,19.982290436835893,218,54,2493,623,8.041313168572483,7.976366322008863
10,51,2711,677,80.0177095631641,19.982290436835893,218,54,2493,623,8.041313168572483,7.976366322008863
11,52,2711,677,80.0177095631641,19.982290436835893,218,54,2493,623,8.041313168572483,7.976366322008863
12,53,2711,677,80.0177095631641,19.982290436835893,218,54,2493,623,8.041313168572483,7.976366322008863
13,54,2711,677,80.0177095631641,19.982290436835893,218,54,2493,623,8.041313168572483,7.976366322008863
14,55,2711,677,80.0177095631641,19.982290436835893,218,54,2493,623,8.041313168572483,7.976366322008863
15,56,2711,677,80.0177095631641,19.982290436835893,218,54,2493,623,8.041313168572483,7.976366322008863
16,57,2711,677,80.0177095631641,19.982290436835893,218,54,2493,623,8.041313168572483,7.976366322008863
17,58,2711,677,80.0177095631641,19.982290436835893,218,54,2493,623,8.041313168572483,7.976366322008863
18,59,2711,677,80.0177095631641,19.982290436835893,218,54,2493,623,8.041313168572483,7.976366322008863
19,60,2711,677,80.0177095631641,19.982290436835893,218,54,2493,623,8.041313168572483,7.976366322008863
20,61,2711,677,80.0177095631641,19.982290436835893,218,54,2493,623,8.041313168572483,7.976366322008863
21,62,2711,677,80.0177095631641,19.982290436835893,218,54,2493,623,8.041313168572483,7.976366322008863
22,63,2711,677,80.0177095631641,19.982290436835893,218,54,2493,623,8.041313168572483,7.976366322008863
23,64,2711,677,80.0177095631641,19.982290436835893,218,54,2493,623,8.041313168572483,7.976366322008863
24,65,2711,677,80.0177095631641,19.982290436835893,218,54,2493,623,8.041313168572483,7.976366322008863
25,66,2711,677,80.0177095631641,19.982290436835893,218,54,2493,623,8.041313168572483,7.976366322008863
26,67,2711,677,80.0177095631641,19.982290436835893,218,54,2493,623,8.041313168572483,7.976366322008863
27,68,2711,677,80.0177095631641,19.982290436835893,218,54,2493,623,8.041313168572483,7.976366322008863
28,69,2711,677,80.0177095631641,19.982290436835893,218,54,2493,623,8.041313168572483,7.976366322008863
29,70,2711,677,80.0177095631641,19.982290436835893,218,54,2493,623,8.041313168572483,7.976366322008863
30,71,2711,677,80.0177095631641,19.982290436835893,218,54,2493,623,8.041313168572483,7.976366322008863
31,72,2711,677,80.0177095631641,19.982290436835893,218,54,2493,623,8.041313168572483,7.976366322008863
32,73,2711,677,80.0177095631641,19.982290436835893,218,54,2493,623,8.041313168572483,7.976366322008863
33,74,2711,677,80.0177095631641,19.982290436835893,218,54,2493,623,8.041313168572483,7.976366322008863
34,75,2711,677,80.0177095631641,19.982290436835893,218,54,2493,623,8.041313168572483,7.976366322008863
35,76,2711,677,80.0177095631641,19.982290436835893,218,54,2493,623,8.041313168572483,7.976366322008863
36,77,2711,677,80.0177095631641,19.982290436835893,218,54,2493,623,8.041313168572483,7.976366322008863
37,78,2711,677,80.0177095631641,19.982290436835893,218,54,2493,623,8.041313168572483,7.976366322008863
38,79,2711,677,80.0177095631641,19.982290436835893,218,54,2493,623,8.041313168572483,7.976366322008863
39,80,2711,677,80.0177095631641,19.982290436835893,218,54,2493,623,8.041313168572483,7.976366322008863
40,81,2711,677,80.0177095631641,19.982290436835893,218,54,2493,623,8.041313168572483,7.976366322008863
41,82,2711,677,80.0177095631641,19.982290436835893,218,54,2493,623,8.041313168572483,7.976366322008863
42,83,2711,677,80.0177095631641,19.982290436835893,218,54,2493,623,8.041313168572483,7.976366322008863
43,84,2711,677,80.0177095631641,19.982290436835893,218,54,2493,623,8.041313168572483,7.976366322008863
44,85,2711,677,80.0177095631641,19.982290436835893,218,54,2493,623,8.041313168572483,7.976366322008863
45,86,2711,677,80.0177095631641,19.982290436835893,218,54,2493,623,8.041313168572483,7.976366322008863
46,87,2711,677,80.0177095631641,19.982290436835893,218,54,2493,623,8.041313168572483,7.976366322008863
47,88,2711,677,80.0177095631641,19.982290436835893,218,54,2493,623,8.041313168572483,7.976366322008863
48,89,2711,677,80.0177095631641,19.982290436835893,218,54,2493,623,8.041313168572483,7.976366322008863
49,90,2711,677,80.0177095631641,19.982290436835893,218,54,2493,623,8.041313168572483,7.976366322008863
50,91,2711,677,80.0177095631641,19.982290436835893,218,54,2493,623,8.041313168572483,7.976366322008863
