ProteinId,base_Degree,base_LocalClustCoeff,protein_NumSubgroups,protein_AvgSubgroupSize,base_ComponentSize,base_ComponentEdgeNodeRatio,base_TriangleCount,stoich_WeightedTriangles,base_UniquePartners,stoich_ProtStoichSum,stoich_ProtAvgStoich,stoich_ProtMaxStoich,stoich_MedianRatio,stoich_RangeRatio,stoich_MinComplexSize,stoich_MaxComplexSize,stoich_AvgComplexSize,stoich_MedComplexSize,stoich_RangeComplexSize,protein_MinComplexNodes,protein_MaxComplexNodes,protein_AvgComplexNodes,protein_MedComplexNodes,protein_RangeComplexNodes,base_BetweennessCentrality,base_EigenvectorCentrality,base_KatzCentrality,protein_NormUniqueSum,protein_AvgUniqueRatio,protein_MaxUniqueRatio,protein_RangeUniqueRatio,protein_MedianUniqueRatio,base_AvgNeighbourDegree,stoich_AvgNeighbourDegreeStoich
O00567,1,0.0,0,0.0,685,0.9284671532846716,780,0.0,40,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,41,41,41.0,41.0,0,0.0,8.426648354255432e-07,0.007623161860368758,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.0,0.024390243902439025,1.45,0.0
O15213,1,0.0,0,0.0,685,0.9284671532846716,780,0.0,40,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,41,41,41.0,41.0,0,0.0,8.426648354255432e-07,0.007623161860368758,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.0,0.024390243902439025,1.45,0.0
O43818,1,0.0,0,0.0,685,0.9284671532846716,780,0.0,40,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,41,41,41.0,41.0,0,0.0,8.426648354255432e-07,0.007623161860368758,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.0,0.024390243902439025,1.45,0.0
O75691,1,0.0,0,0.0,685,0.9284671532846716,780,0.0,40,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,41,41,41.0,41.0,0,0.0,8.426648354255432e-07,0.007623161860368758,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.0,0.024390243902439025,1.45,0.0
P22087,1,0.0,0,0.0,685,0.9284671532846716,780,0.0,40,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,41,41,41.0,41.0,0,0.0,8.426648354255432e-07,0.007623161860368758,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.0,0.024390243902439025,1.45,0.0
P78316,1,0.0,0,0.0,685,0.9284671532846716,780,0.0,40,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,41,41,41.0,41.0,0,0.0,8.426648354255432e-07,0.007623161860368758,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.0,0.024390243902439025,1.45,0.0
Q12788,2,0.0,1,6.0,685,0.9284671532846716,790,0.0,40,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,6,41,23.5,23.5,35,1.3904693043425204e-05,8.618233671488465e-07,0.008107374314956705,0.19105691056910568,0.09552845528455284,0.16666666666666666,0.14227642276422764,0.09552845528455284,1.7125,0.0
Q13601,1,0.0,0,0.0,685,0.9284671532846716,780,0.0,40,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,41,41,41.0,41.0,0,0.0,8.426648354255432e-07,0.007623161860368758,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.0,0.024390243902439025,1.45,0.0
Q14692,1,0.0,0,0.0,685,0.9284671532846716,780,0.0,40,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,41,41,41.0,41.0,0,0.0,8.426648354255432e-07,0.007623161860368758,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.0,0.024390243902439025,1.45,0.0
Q15269,2,0.0,1,6.0,685,0.9284671532846716,790,0.0,40,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,6,41,23.5,23.5,35,1.3904693043425204e-05,8.618233671488465e-07,0.008107374314956705,0.19105691056910568,0.09552845528455284,0.16666666666666666,0.14227642276422764,0.09552845528455284,1.7125,0.0
Q5QJE6,1,0.0,0,0.0,685,0.9284671532846716,780,0.0,40,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,41,41,41.0,41.0,0,0.0,8.426648354255432e-07,0.007623161860368758,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.0,0.024390243902439025,1.45,0.0
Q8NDD1,1,0.0,0,0.0,685,0.9284671532846716,780,0.0,40,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,41,41,41.0,41.0,0,0.0,8.426648354255432e-07,0.007623161860368758,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.0,0.024390243902439025,1.45,0.0
Q8NEJ9,1,0.0,0,0.0,685,0.9284671532846716,780,0.0,40,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,41,41,41.0,41.0,0,0.0,8.426648354255432e-07,0.007623161860368758,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.0,0.024390243902439025,1.45,0.0
Q8NI36,2,0.0,1,6.0,685,0.9284671532846716,790,0.0,40,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,6,41,23.5,23.5,35,1.3904693043425204e-05,8.618233671488465e-07,0.008107374314956705,0.19105691056910568,0.09552845528455284,0.16666666666666666,0.14227642276422764,0.09552845528455284,1.7125,0.0
Q92979,1,0.0,0,0.0,685,0.9284671532846716,780,0.0,40,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,41,41,41.0,41.0,0,0.0,8.426648354255432e-07,0.007623161860368758,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.0,0.024390243902439025,1.45,0.0
Q9BVI4,1,0.0,0,0.0,685,0.9284671532846716,780,0.0,40,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,41,41,41.0,41.0,0,0.0,8.426648354255432e-07,0.007623161860368758,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.0,0.024390243902439025,1.45,0.0
Q9BVJ6,1,0.0,0,0.0,685,0.9284671532846716,780,0.0,40,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,41,41,41.0,41.0,0,0.0,8.426648354255432e-07,0.007623161860368758,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.0,0.024390243902439025,1.45,0.0
Q9H0A0,1,0.0,0,0.0,685,0.9284671532846716,780,0.0,40,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,41,41,41.0,41.0,0,0.0,8.426648354255432e-07,0.007623161860368758,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.0,0.024390243902439025,1.45,0.0
Q9H6R4,1,0.0,0,0.0,685,0.9284671532846716,780,0.0,40,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,41,41,41.0,41.0,0,0.0,8.426648354255432e-07,0.007623161860368758,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.0,0.024390243902439025,1.45,0.0
Q9NQZ2,1,0.0,0,0.0,685,0.9284671532846716,780,0.0,40,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,41,41,41.0,41.0,0,0.0,8.426648354255432e-07,0.007623161860368758,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.0,0.024390243902439025,1.45,0.0
Q9NRX1,1,0.0,0,0.0,685,0.9284671532846716,780,0.0,40,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,41,41,41.0,41.0,0,0.0,8.426648354255432e-07,0.007623161860368758,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.0,0.024390243902439025,1.45,0.0
Q9NY61,1,0.0,0,0.0,685,0.9284671532846716,780,0.0,40,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,41,41,41.0,41.0,0,0.0,8.426648354255432e-07,0.007623161860368758,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.0,0.024390243902439025,1.45,0.0
Q9NYH9,2,0.0,1,6.0,685,0.9284671532846716,790,0.0,40,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,6,41,23.5,23.5,35,1.3904693043425204e-05,8.618233671488465e-07,0.008107374314956705,0.19105691056910568,0.09552845528455284,0.16666666666666666,0.14227642276422764,0.09552845528455284,1.7125,0.0
Q9UNX4,2,0.0,1,6.0,685,0.9284671532846716,790,0.0,40,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,6,41,23.5,23.5,35,1.3904693043425204e-05,8.618233671488465e-07,0.008107374314956705,0.19105691056910568,0.09552845528455284,0.16666666666666666,0.14227642276422764,0.09552845528455284,1.7125,0.0
Q9Y2P8,1,0.0,0,0.0,685,0.9284671532846716,780,0.0,40,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,41,41,41.0,41.0,0,0.0,8.426648354255432e-07,0.007623161860368758,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.0,0.024390243902439025,1.45,0.0
Q9Y2X3,1,0.0,0,0.0,685,0.9284671532846716,780,0.0,40,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,41,41,41.0,41.0,0,0.0,8.426648354255432e-07,0.007623161860368758,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.0,0.024390243902439025,1.45,0.0
Q9Y324,1,0.0,0,0.0,685,0.9284671532846716,780,0.0,40,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,41,41,41.0,41.0,0,0.0,8.426648354255432e-07,0.007623161860368758,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.0,0.024390243902439025,1.45,0.0
Q9Y3A2,1,0.0,0,0.0,685,0.9284671532846716,780,0.0,40,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,41,41,41.0,41.0,0,0.0,8.426648354255432e-07,0.007623161860368758,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.0,0.024390243902439025,1.45,0.0
Q9Y3A4,1,0.0,0,0.0,685,0.9284671532846716,780,0.0,40,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,41,41,41.0,41.0,0,0.0,8.426648354255432e-07,0.007623161860368758,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.0,0.024390243902439025,1.45,0.0
Q9Y5J1,2,0.0,1,6.0,685,0.9284671532846716,790,0.0,40,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,6,41,23.5,23.5,35,1.3904693043425204e-05,8.618233671488465e-07,0.008107374314956705,0.19105691056910568,0.09552845528455284,0.16666666666666666,0.14227642276422764,0.09552845528455284,1.7125,0.0
Q9UKA2,1,0.0,0,0.0,685,0.9284671532846716,3,4.828313737302301,3,0.25,0.25,0.25,0.25,0.0,4,4,4.0,4.0,0,4,4,4.0,4.0,0,0.0,0.00015448163490426942,0.008627285987692022,0.25,0.25,0.25,0.0,0.25,104.33333333333333,104.33333333333333
Q7L523,2,0.0,0,0.0,4,1.0,0,0.0,2,1.0,0.5,0.5,0.5,0.0,2,2,2.0,2.0,0,2,2,2.0,2.0,0,2.8571287075530676e-07,1.0714188291429423e-218,0.007103057078970124,1.0,0.5,0.5,0.0,0.5,2.0,2.0
Q9NQL2,2,0.0,0,0.0,4,1.0,0,0.0,2,1.0,0.5,0.5,0.5,0.0,2,2,2.0,2.0,0,2,2,2.0,2.0,0,2.8571287075530676e-07,1.0714188291429423e-218,0.007103057078970124,1.0,0.5,0.5,0.0,0.5,2.0,2.0
Q5VZM2,2,0.0,0,0.0,4,1.0,0,0.0,2,1.0,0.5,0.5,0.5,0.0,2,2,2.0,2.0,0,2,2,2.0,2.0,0,2.8571287075530676e-07,1.0714188291429423e-218,0.007103057078970124,1.0,0.5,0.5,0.0,0.5,2.0,2.0
Q9HB90,2,0.0,0,0.0,4,1.0,0,0.0,2,1.0,0.5,0.5,0.5,0.0,2,2,2.0,2.0,0,2,2,2.0,2.0,0,2.8571287075530676e-07,1.0714188291429423e-218,0.007103057078970124,1.0,0.5,0.5,0.0,0.5,2.0,2.0
P50539,1,0.0,0,0.0,685,0.9284671532846716,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,2,2,2.0,2.0,0,0.0,1.4654738613983572e-08,0.006733688198006547,0.5,0.5,0.5,0.0,0.5,12.0,0.0
