group_size,n_groups,n_proteins,n_drug_target,target_rate_pct
1,550,550,41,7.45
2,135,270,10,3.7
3,71,213,11,5.16
4,45,180,8,4.44
5,26,130,8,6.15
6,22,132,11,8.33
7,18,126,5,3.97
8,13,104,6,5.77
9,9,81,9,11.11
10,4,40,0,0.0
11,3,33,0,0.0
12,6,72,5,6.94
13,3,39,1,2.56
14,8,112,4,3.57
15,4,60,15,25.0
16,4,64,5,7.81
17,6,102,3,2.94
18,4,72,3,4.17
19,2,38,3,7.89
21,1,21,0,0.0
22,1,22,0,0.0
23,1,23,2,8.7
25,2,50,0,0.0
29,1,29,0,0.0
32,1,32,0,0.0
33,1,33,0,0.0
34,2,68,13,19.12
39,2,78,0,0.0
40,1,40,8,20.0
45,2,90,0,0.0
46,1,46,0,0.0
47,1,47,2,4.26
48,1,48,3,6.25
51,1,51,3,5.88
89,1,89,0,0.0
90,1,90,0,0.0
113,1,113,27,23.89
