ProteinId,pair_Degree,pair_LocalClustCoeff,pair_TriangleCount,pair_ComponentSize,pair_EigenvectorCentrality,pair_BetweennessCentrality,pair_KatzCentrality,pair_AvgNeighborDegree
O00255,9,0.75,27,685,1.3984630980916854e-33,0.004910377358490567,0.009750327209807983,16.77777777777778
O00257,7,0.7619047619047619,16,685,7.023681308446693e-34,0.0,0.009323386420251153,15.428571428571429
O00258,2,1.0,1,3,8.6807532017e-313,0.0,0.00829597582714281,2.0
O00267,1,0.0,0,2,0.0,0.0,0.008149036683579107,1.0
O00268,22,0.7662337662337663,177,685,1.2881474528194584e-31,0.00013248296381076154,0.013421206312919947,24.863636363636363
O00273,1,0.0,0,2,0.0,0.0,0.008149036683579107,1.0
O00287,2,1.0,1,3,8.6807532017e-313,0.0,0.00829597582714281,2.0
O00300,0,0.0,0,1,0.0,0.0,0.008007212150783405,0.0
O00303,12,1.0,66,13,1.3934192499426434e-153,0.0,0.010120928407433043,12.0
O00305,7,0.6190476190476191,13,11,1.685918321927627e-199,2.526954177897574e-07,0.009133206251521647,7.714285714285714
O00327,1,0.0,0,3,0.0,0.0,0.0081515064712603,2.0
O00329,3,0.0,0,6,1.4901897136238896e-281,3.9308176100628933e-07,0.008448311333798378,3.0
O00330,5,0.9,9,12,1.5732971562524337e-234,0.0,0.008781346984558623,5.8
O00339,0,0.0,0,1,0.0,0.0,0.008007212150783405,0.0
O00411,2,1.0,1,3,8.6807532017e-313,0.0,0.00829597582714281,2.0
O00422,3,0.6666666666666666,2,685,2.4025559909738416e-33,3.160802737550573e-05,0.008456075624849464,3.6666666666666665
O00444,2,0.0,0,3,0.0,0.0,0.00829094718395542,1.0
O00459,3,0.0,0,6,1.4901897136238896e-281,3.9308176100628933e-07,0.008448311333798378,3.0
O00463,7,0.9523809523809523,20,21,3.378329553103968e-204,0.0,0.009135256021141522,7.857142857142857
O00471,8,0.9642857142857143,27,9,5.45276372171519e-196,0.0,0.009296068459257746,7.75
O00472,3,1.0,3,6,6.031079917694812e-254,0.0,0.008464263725921496,5.0
O00483,13,1.0,78,14,1.5497178980112677e-145,0.0,0.010348576877836605,13.0
O00487,35,0.9966386554621849,593,685,2.099723787872996e-33,0.0,0.021166729146904862,37.05714285714286
O00499,1,0.0,0,685,8.291948285108468e-37,0.0,0.008154817566479957,3.0
O00505,1,0.0,0,9,1.7530135400940493e-286,0.0,0.008166356693153349,8.0
O00522,3,0.3333333333333333,1,4,1.000156401688182e-306,0.0,0.008437975422825313,1.6666666666666667
O00541,2,1.0,1,3,8.6807532017e-313,0.0,0.00829597582714281,2.0
O00560,2,1.0,1,3,8.6807532017e-313,0.0,0.00829597582714281,2.0
O00566,40,1.0,780,685,1.1511427798327655e-28,0.0,0.02694094621907783,40.8
O00567,40,1.0,780,685,1.1511427798327655e-28,0.0,0.02694094621907783,40.8
O00602,2,0.0,0,8,8.496849509416109e-265,0.0,0.008316330663491937,6.0
O00623,2,1.0,1,3,8.6807532017e-313,0.0,0.00829597582714281,2.0
O00629,1,0.0,0,9,1.7530135400940493e-286,0.0,0.008166356693153349,8.0
O00716,2,1.0,1,685,3.433901607497976e-35,0.0,0.008375787588447006,14.5
O14497,19,0.8362573099415205,143,685,1.4895085152069934e-33,1.8155287549415181e-06,0.012375386572516075,23.263157894736842
O14521,3,1.0,3,4,1.4901897136238896e-281,0.0,0.008448311333798378,3.0
O14561,48,0.8093971631205674,913,49,3.396997031695833e-21,2.653301886792453e-05,0.032663649662235,39.041666666666664
O14579,8,0.8928571428571429,25,9,6.616619451613909e-201,0.0,0.009283659856827657,7.25
O14593,2,1.0,1,3,8.6807532017e-313,0.0,0.00829597582714281,2.0
O14617,6,0.6666666666666666,10,7,6.911014256415639e-244,3.9308176100628933e-07,0.008912099701386197,4.333333333333333
O14682,2,1.0,1,685,9.640951072818382e-32,0.0,0.008897935643864721,105.5
O14686,8,1.0,28,685,1.3833240310240782e-33,0.0,0.009551077899206162,16.625
O14713,1,0.0,0,4,4.608831988273363e-307,0.0,0.008154065327244775,3.0
O14727,2,1.0,1,3,8.6807532017e-313,0.0,0.00829597582714281,2.0
O14744,4,0.5,3,5,1.7882276563486688e-281,0.0,0.008590398664391298,2.5
O14746,5,1.0,10,6,1.5705664834026287e-237,0.0,0.008770405864641605,5.0
O14764,5,0.6,6,13,9.408401405505916e-216,7.370283018867925e-08,0.008793989898400429,6.6
O14777,9,1.0,36,10,4.552434744662686e-182,0.0,0.009494356531681056,9.0
O14782,2,1.0,1,4,3.195257280973362e-294,0.0,0.008301096752186286,3.0
O14802,17,0.9926470588235294,135,685,5.04846061684466e-35,0.0,0.01178555203094363,22.352941176470587
O14807,4,0.5,3,5,1.78822765634867e-281,0.0,0.008590398664391298,2.5
O14818,40,0.8346153846153846,651,685,2.180966068241307e-33,6.300921955403062e-05,0.0222773842375341,34.0
O14862,2,1.0,1,8,9.376340524172918e-254,0.0,0.008321826249891296,7.0
O14863,4,0.8333333333333334,5,5,2.820823997958264e-265,1.9654088050314467e-07,0.008600934214284114,3.5
O14867,12,0.12121212121212122,8,685,7.658044788049286e-38,0.0003237661513015288,0.009936187897520434,7.166666666666667
O14893,8,1.0,28,9,1.6552785569759197e-193,0.0,0.009302390729928825,8.0
O14908,3,1.0,3,6,1.1747118339219897e-274,0.0,0.008453527989388893,3.6666666666666665
O14910,2,1.0,1,5,1.1921517708991117e-281,0.0,0.008306224003205458,4.0
O14920,2,1.0,1,3,8.6807532017e-313,0.0,0.00829597582714281,2.0
O14925,12,0.9848484848484849,65,13,8.636558655617434e-155,0.0,0.010113445012514117,11.833333333333334
O14936,4,0.5,3,5,1.7882276563486672e-281,5.89622641509434e-07,0.008590398664391298,2.5
O14949,9,1.0,36,10,4.552434744662686e-182,0.0,0.009494356531681056,9.0
O14957,9,1.0,36,10,4.552434744662686e-182,0.0,0.009494356531681056,9.0
O14964,2,0.0,0,3,0.0,5.908042500094529e-07,0.00829094718395542,1.0
O14972,15,1.0,105,19,6.132980257749592e-131,0.0,0.010846195304531887,15.2
O15047,8,1.0,28,685,1.4050102176913528e-33,0.0,0.009619270766039557,19.25
O15055,2,0.0,0,5,1.1354363425550157e-297,0.0,0.008301010573999257,3.0
O15066,2,1.0,1,4,3.195257280973362e-294,0.0,0.008301096752186286,3.0
O15078,1,0.0,0,2,0.0,0.0,0.008149036683579107,1.0
O15091,2,1.0,1,5,1.1921517708991129e-281,0.0,0.008306224003205458,4.0
O15111,2,1.0,1,3,8.6807532017e-313,0.0,0.00829597582714281,2.0
O15131,1,0.0,0,9,1.7530135400940493e-286,0.0,0.008166356693153349,8.0
O15143,8,0.9285714285714286,26,10,1.595414398466175e-188,7.370283018867925e-08,0.009315278146456898,8.5
O15144,9,0.9166666666666666,33,10,1.7646993933706564e-188,7.370283018867925e-08,0.009474626486334303,8.333333333333334
O15145,9,0.9166666666666666,33,10,1.7646993933706564e-188,7.370283018867925e-08,0.009474626486334303,8.333333333333334
O15151,2,1.0,1,3,8.6807532017e-313,0.0,0.00829597582714281,2.0
O15160,23,0.7351778656126482,186,685,5.681899158521527e-35,1.8530997304582206e-06,0.012880664717986361,19.391304347826086
O15169,5,0.8,8,9,1.1673817737577342e-233,1.1816085000189058e-07,0.008778503801320585,5.6
O15182,4,1.0,6,685,9.7099971831892e-33,0.0,0.008980776206428233,20.0
O15212,15,0.6476190476190476,68,685,1.1170765274087287e-33,9.551886792452828e-05,0.011003025241526642,16.8
O15213,40,1.0,780,685,1.1511427798327655e-28,0.0,0.02694094621907783,40.8
O15230,5,0.5,5,12,1.1386451535402484e-221,0.0,0.008795114416019505,6.8
O15232,1,0.0,0,2,0.0,0.0,0.008149036683579107,1.0
O15234,4,0.8333333333333334,5,24,6.922763570119744e-127,0.0,0.008611954925778278,4.25
O15235,29,1.0,406,30,8.680753201694108e-63,0.0,0.01616675940192703,29.0
O15239,43,1.0,903,49,3.387100420385373e-21,0.0,0.03187528343002525,43.116279069767444
O15259,2,1.0,1,3,8.6807532017e-313,0.0,0.00829597582714281,2.0
O15265,25,0.8466666666666667,254,685,3.5614136117140805e-31,2.7008737135505975e-05,0.01459001017291286,27.6
O15269,4,0.6666666666666666,4,5,2.9340276013801005e-275,1.9654088050314467e-07,0.008595529192608349,3.0
O15270,3,0.6666666666666666,2,5,2.3736781914816655e-275,1.9654088050314467e-07,0.008450965888800495,3.3333333333333335
O15273,1,0.0,0,2,0.0,0.0,0.008149036683579107,1.0
O15287,8,1.0,28,9,1.6552785569759197e-193,0.0,0.009302390729928825,8.0
O15294,25,0.5466666666666666,164,685,1.4361757121838817e-33,0.007443951714221944,0.013365082109554076,20.72
O15315,3,1.0,3,5,3.159818360517746e-279,0.0,0.008450873461876094,3.3333333333333335
O15318,16,1.0,120,685,4.928447425642863e-35,0.0,0.01158733755215881,22.8125
O15342,25,0.98,294,26,4.3686670983786824e-80,8.040308747855917e-08,0.014089709335874643,24.52
O15360,8,1.0,28,9,1.6552785569759197e-193,0.0,0.009302390729928825,8.0
