split_index,seed_accepted,attempts,accepted,train_n,train_pct,test_n,test_pct,test_size_deviation_pp,size_warning,train_essential,test_essential,train_noness,test_noness,train_unknown,test_unknown,train_ess_rate_pct,test_ess_rate_pct,test_deviation_pp,warning,leakage_violations,large_test_n,large_test_pct,large_test_ess_pct,medium_test_n,medium_test_pct,medium_test_ess_pct,small_test_n,small_test_pct,small_test_ess_pct,singleton_test_n,singleton_test_pct,singleton_test_ess_pct
1,28,1,True,2709,79.82,685,20.18,0.18,False,605,168,2035,498,65,18,22.92,25.23,1.85,False,0,205,21.1,38.1,211,19.6,19.4,158,19.9,22.6,110,20.0,16.7
2,29,1,True,2741,80.76,653,19.24,0.76,False,613,160,2056,477,68,15,22.97,25.12,1.74,False,0,185,19.1,35.5,213,19.8,23.3,144,18.2,17.4,110,20.0,21.3
3,30,1,True,2807,82.7,587,17.3,2.7,False,632,141,2093,440,78,5,23.19,24.27,0.89,False,0,146,15.1,29.9,185,17.2,25.3,145,18.3,18.6,110,20.0,22.7
4,31,1,True,2698,79.49,696,20.51,0.51,False,630,143,2012,521,52,31,23.85,21.54,1.84,False,0,216,22.3,13.9,211,19.6,27.0,158,19.9,27.2,110,20.0,16.7
5,32,2,True,2692,79.32,702,20.68,0.68,False,658,115,1978,555,52,31,24.96,17.16,6.22,True,0,217,22.4,4.7,213,19.8,24.3,161,20.3,20.8,110,20.0,20.2
6,33,1,True,2703,79.64,691,20.36,0.36,False,600,173,2047,486,52,31,22.67,26.25,2.87,False,0,222,22.9,27.4,213,19.8,27.5,145,18.3,31.0,110,20.0,15.6
7,34,2,True,2703,79.64,691,20.36,0.36,False,652,121,1996,537,51,32,24.62,18.39,4.99,True,0,226,23.3,19.4,204,19.0,14.4,150,18.9,23.6,110,20.0,16.5
8,35,1,True,2759,81.29,635,18.71,1.29,False,630,143,2046,487,79,4,23.54,22.7,0.68,False,0,126,13.0,34.1,234,21.8,19.8,164,20.7,20.9,110,20.0,18.3
9,36,1,True,2797,82.41,597,17.59,2.41,False,640,133,2074,459,79,4,23.58,22.47,0.91,False,0,149,15.4,36.5,171,15.9,12.4,166,20.9,21.2,110,20.0,20.9
10,2037,3,True,2729,80.41,665,19.59,0.41,False,593,180,2060,473,72,11,22.35,27.57,4.19,False,0,183,18.9,44.7,221,20.6,19.7,150,18.9,22.8,110,20.0,21.5
11,38,1,True,2778,81.85,616,18.15,1.85,False,630,143,2067,466,77,6,23.36,23.48,0.1,False,0,137,14.1,41.5,195,18.1,16.6,173,21.8,19.8,110,20.0,19.3
12,1039,4,True,2730,80.44,664,19.56,0.44,False,656,117,1995,538,75,8,24.75,17.86,5.52,True,0,222,22.9,13.7,181,16.8,19.0,150,18.9,19.5,110,20.0,22.2
13,40,1,True,2714,79.96,680,20.04,0.04,False,591,182,2056,477,63,20,22.33,27.62,4.24,False,0,156,16.1,55.2,247,23.0,21.6,166,20.9,18.8,110,20.0,14.8
14,1041,5,True,2727,80.35,667,19.65,0.35,False,660,113,2002,531,61,22,24.79,17.55,5.83,True,0,200,20.6,17.5,192,17.9,17.9,164,20.7,15.3,110,20.0,20.4
15,42,1,True,2709,79.82,685,20.18,0.18,False,638,135,2018,515,49,34,24.02,20.77,2.61,False,0,213,22.0,13.6,201,18.7,24.1,160,20.2,23.8,110,20.0,23.1
