split_index,seed_accepted,train_n,test_n,train_pct,test_pct,train_n_positive,test_n_positive,train_n_negative,test_n_negative,train_pos_rate_pct,test_pos_rate_pct
1,42,2644,662,79.97580157289777,20.024198427102238,618,155,2026,507,23.373676248108925,23.41389728096677
2,43,2644,662,79.97580157289777,20.024198427102238,618,155,2026,507,23.373676248108925,23.41389728096677
3,44,2644,662,79.97580157289777,20.024198427102238,618,155,2026,507,23.373676248108925,23.41389728096677
4,45,2644,662,79.97580157289777,20.024198427102238,618,155,2026,507,23.373676248108925,23.41389728096677
5,46,2644,662,79.97580157289777,20.024198427102238,618,155,2026,507,23.373676248108925,23.41389728096677
6,47,2644,662,79.97580157289777,20.024198427102238,618,155,2026,507,23.373676248108925,23.41389728096677
7,48,2644,662,79.97580157289777,20.024198427102238,618,155,2026,507,23.373676248108925,23.41389728096677
8,49,2644,662,79.97580157289777,20.024198427102238,618,155,2026,507,23.373676248108925,23.41389728096677
9,50,2644,662,79.97580157289777,20.024198427102238,618,155,2026,507,23.373676248108925,23.41389728096677
10,51,2644,662,79.97580157289777,20.024198427102238,618,155,2026,507,23.373676248108925,23.41389728096677
11,52,2644,662,79.97580157289777,20.024198427102238,618,155,2026,507,23.373676248108925,23.41389728096677
12,53,2644,662,79.97580157289777,20.024198427102238,618,155,2026,507,23.373676248108925,23.41389728096677
13,54,2644,662,79.97580157289777,20.024198427102238,618,155,2026,507,23.373676248108925,23.41389728096677
14,55,2644,662,79.97580157289777,20.024198427102238,618,155,2026,507,23.373676248108925,23.41389728096677
15,56,2644,662,79.97580157289777,20.024198427102238,618,155,2026,507,23.373676248108925,23.41389728096677
16,57,2644,662,79.97580157289777,20.024198427102238,618,155,2026,507,23.373676248108925,23.41389728096677
17,58,2644,662,79.97580157289777,20.024198427102238,618,155,2026,507,23.373676248108925,23.41389728096677
18,59,2644,662,79.97580157289777,20.024198427102238,618,155,2026,507,23.373676248108925,23.41389728096677
19,60,2644,662,79.97580157289777,20.024198427102238,618,155,2026,507,23.373676248108925,23.41389728096677
20,61,2644,662,79.97580157289777,20.024198427102238,618,155,2026,507,23.373676248108925,23.41389728096677
21,62,2644,662,79.97580157289777,20.024198427102238,618,155,2026,507,23.373676248108925,23.41389728096677
22,63,2644,662,79.97580157289777,20.024198427102238,618,155,2026,507,23.373676248108925,23.41389728096677
23,64,2644,662,79.97580157289777,20.024198427102238,618,155,2026,507,23.373676248108925,23.41389728096677
24,65,2644,662,79.97580157289777,20.024198427102238,618,155,2026,507,23.373676248108925,23.41389728096677
25,66,2644,662,79.97580157289777,20.024198427102238,618,155,2026,507,23.373676248108925,23.41389728096677
26,67,2644,662,79.97580157289777,20.024198427102238,618,155,2026,507,23.373676248108925,23.41389728096677
27,68,2644,662,79.97580157289777,20.024198427102238,618,155,2026,507,23.373676248108925,23.41389728096677
28,69,2644,662,79.97580157289777,20.024198427102238,618,155,2026,507,23.373676248108925,23.41389728096677
29,70,2644,662,79.97580157289777,20.024198427102238,618,155,2026,507,23.373676248108925,23.41389728096677
30,71,2644,662,79.97580157289777,20.024198427102238,618,155,2026,507,23.373676248108925,23.41389728096677
31,72,2644,662,79.97580157289777,20.024198427102238,618,155,2026,507,23.373676248108925,23.41389728096677
32,73,2644,662,79.97580157289777,20.024198427102238,618,155,2026,507,23.373676248108925,23.41389728096677
33,74,2644,662,79.97580157289777,20.024198427102238,618,155,2026,507,23.373676248108925,23.41389728096677
34,75,2644,662,79.97580157289777,20.024198427102238,618,155,2026,507,23.373676248108925,23.41389728096677
35,76,2644,662,79.97580157289777,20.024198427102238,618,155,2026,507,23.373676248108925,23.41389728096677
36,77,2644,662,79.97580157289777,20.024198427102238,618,155,2026,507,23.373676248108925,23.41389728096677
37,78,2644,662,79.97580157289777,20.024198427102238,618,155,2026,507,23.373676248108925,23.41389728096677
38,79,2644,662,79.97580157289777,20.024198427102238,618,155,2026,507,23.373676248108925,23.41389728096677
39,80,2644,662,79.97580157289777,20.024198427102238,618,155,2026,507,23.373676248108925,23.41389728096677
40,81,2644,662,79.97580157289777,20.024198427102238,618,155,2026,507,23.373676248108925,23.41389728096677
41,82,2644,662,79.97580157289777,20.024198427102238,618,155,2026,507,23.373676248108925,23.41389728096677
42,83,2644,662,79.97580157289777,20.024198427102238,618,155,2026,507,23.373676248108925,23.41389728096677
43,84,2644,662,79.97580157289777,20.024198427102238,618,155,2026,507,23.373676248108925,23.41389728096677
44,85,2644,662,79.97580157289777,20.024198427102238,618,155,2026,507,23.373676248108925,23.41389728096677
45,86,2644,662,79.97580157289777,20.024198427102238,618,155,2026,507,23.373676248108925,23.41389728096677
46,87,2644,662,79.97580157289777,20.024198427102238,618,155,2026,507,23.373676248108925,23.41389728096677
47,88,2644,662,79.97580157289777,20.024198427102238,618,155,2026,507,23.373676248108925,23.41389728096677
48,89,2644,662,79.97580157289777,20.024198427102238,618,155,2026,507,23.373676248108925,23.41389728096677
49,90,2644,662,79.97580157289777,20.024198427102238,618,155,2026,507,23.373676248108925,23.41389728096677
50,91,2644,662,79.97580157289777,20.024198427102238,618,155,2026,507,23.373676248108925,23.41389728096677
