split_index,seed_accepted,attempts,accepted,train_n,train_pct,test_n,test_pct,test_size_deviation_pp,size_warning,train_n_positive,test_n_positive,train_n_negative,test_n_negative,train_pos_rate_pct,test_pos_rate_pct,test_deviation_pp,warning,n_leaking_groups,n_groups_present,leaking_group_pct
1,42,1,True,2716,80.02,678,19.98,0.02,False,165,41,2545,637,6.09,6.05,0.03,False,230,958,24.0
2,43,1,True,2716,80.02,678,19.98,0.02,False,166,40,2546,636,6.12,5.92,0.16,False,224,958,23.4
3,44,1,True,2716,80.02,678,19.98,0.02,False,165,41,2547,635,6.08,6.07,0.01,False,230,958,24.0
4,45,1,True,2716,80.02,678,19.98,0.02,False,166,40,2547,635,6.12,5.93,0.15,False,229,958,23.9
5,46,1,True,2716,80.02,678,19.98,0.02,False,165,41,2546,636,6.09,6.06,0.02,False,238,958,24.8
6,47,1,True,2716,80.02,678,19.98,0.02,False,165,41,2545,637,6.09,6.05,0.03,False,233,958,24.3
7,48,1,True,2716,80.02,678,19.98,0.02,False,165,41,2546,636,6.09,6.06,0.02,False,228,958,23.8
8,49,1,True,2716,80.02,678,19.98,0.02,False,165,41,2546,636,6.09,6.06,0.02,False,225,958,23.5
9,50,1,True,2716,80.02,678,19.98,0.02,False,165,41,2546,636,6.09,6.06,0.02,False,250,958,26.1
10,51,1,True,2716,80.02,678,19.98,0.02,False,166,40,2546,636,6.12,5.92,0.16,False,223,958,23.3
11,52,1,True,2716,80.02,678,19.98,0.02,False,165,41,2545,637,6.09,6.05,0.03,False,228,958,23.8
12,53,1,True,2716,80.02,678,19.98,0.02,False,165,41,2546,636,6.09,6.06,0.02,False,242,958,25.3
13,54,1,True,2716,80.02,678,19.98,0.02,False,165,41,2547,635,6.08,6.07,0.01,False,239,958,24.9
14,55,1,True,2716,80.02,678,19.98,0.02,False,165,41,2547,635,6.08,6.07,0.01,False,230,958,24.0
15,56,1,True,2716,80.02,678,19.98,0.02,False,165,41,2546,636,6.09,6.06,0.02,False,248,958,25.9
16,57,1,True,2716,80.02,678,19.98,0.02,False,165,41,2545,637,6.09,6.05,0.03,False,223,958,23.3
17,58,1,True,2716,80.02,678,19.98,0.02,False,165,41,2546,636,6.09,6.06,0.02,False,243,958,25.4
18,59,1,True,2716,80.02,678,19.98,0.02,False,165,41,2545,637,6.09,6.05,0.03,False,230,958,24.0
19,60,1,True,2716,80.02,678,19.98,0.02,False,165,41,2546,636,6.09,6.06,0.02,False,237,958,24.7
20,61,1,True,2716,80.02,678,19.98,0.02,False,166,40,2545,637,6.12,5.91,0.17,False,227,958,23.7
21,62,1,True,2716,80.02,678,19.98,0.02,False,166,40,2548,634,6.12,5.93,0.15,False,227,958,23.7
22,63,1,True,2716,80.02,678,19.98,0.02,False,165,41,2546,636,6.09,6.06,0.02,False,233,958,24.3
23,64,1,True,2716,80.02,678,19.98,0.02,False,165,41,2546,636,6.09,6.06,0.02,False,242,958,25.3
24,65,1,True,2716,80.02,678,19.98,0.02,False,165,41,2546,636,6.09,6.06,0.02,False,223,958,23.3
