group_size,n_groups,n_proteins,n_positive,pos_rate_pct
1,557,557,50,8.98
2,135,270,11,4.07
3,66,198,15,7.58
4,44,176,11,6.25
5,29,145,12,8.28
6,19,114,6,5.26
7,21,147,7,4.76
8,12,96,2,2.08
9,8,72,7,9.72
10,6,60,5,8.33
11,4,44,0,0.0
12,4,48,6,12.5
13,3,39,0,0.0
14,8,112,4,3.57
15,4,60,18,30.0
16,5,80,23,28.75
17,5,85,1,1.18
18,3,54,7,12.96
19,1,19,3,15.79
20,2,40,2,5.0
22,2,44,1,2.27
23,1,23,2,8.7
25,2,50,1,2.0
29,1,29,0,0.0
32,1,32,0,0.0
33,2,66,14,21.21
34,1,34,0,0.0
37,1,37,0,0.0
39,1,39,0,0.0
40,1,40,20,50.0
45,1,45,0,0.0
46,2,92,3,3.26
48,1,48,9,18.75
49,1,49,0,0.0
51,1,51,1,1.96
90,2,180,0,0.0
113,1,113,31,27.43
