ComplexId,ProteinId,Stoichiometry,Evidence
CPX-10181,Q9UKK3,0,ECO:0005547
CPX-1019,Q92752,3,ECO:0005547
CPX-102,P0DP23,1,ECO:0000353
CPX-102,P0DP24,1,ECO:0000353
CPX-102,P0DP25,1,ECO:0000353
CPX-102,P53355,1,ECO:0000353
CPX-10221,Q6UXL0,1,ECO:0000353
CPX-10221,Q9UHD0,1,ECO:0000353
CPX-10221,Q9UHF4,1,ECO:0000353
CPX-10241,Q6UXL0,1,ECO:0000353
CPX-10241,Q9NYY1,1,ECO:0000353
CPX-10241,Q9UHF4,1,ECO:0000353
CPX-10261,Q6UXL0,1,ECO:0000353
CPX-10261,Q8N6P7,1,ECO:0000353
CPX-10261,Q9NYY1,1,ECO:0000353
CPX-1027,P52292,1,ECO:0000353
CPX-1027,Q14974,1,ECO:0000353
CPX-10281,O43187,4,ECO:0005547
CPX-10281,P51617,4,ECO:0005547
CPX-10281,Q99836,6,ECO:0005547
CPX-10281,Q9NWZ3,4,ECO:0005547
CPX-10301,Q9GZN7,0,ECO:0005547
CPX-10301,Q9Y485,0,ECO:0005547
CPX-10301,Q9Y4E6,0,ECO:0005547
CPX-10303,Q8TDJ6,0,ECO:0005547
CPX-10303,Q9GZN7,0,ECO:0005547
CPX-10303,Q9Y4E6,0,ECO:0005547
CPX-10304,P48059,0,ECO:0000353
CPX-10304,Q13418,0,ECO:0000353
CPX-10304,Q9NVD7,0,ECO:0000353
CPX-10306,Q08334,1,ECO:0000353
CPX-10306,Q8N6P7,1,ECO:0000353
CPX-10306,Q9GZX6,1,ECO:0000353
CPX-10309,Q969J5,2,ECO:0000353
CPX-10309,Q9GZX6,2,ECO:0000353
CPX-10310,Q13007,1,ECO:0005547
CPX-10310,Q6UXL0,1,ECO:0005547
CPX-10310,Q9UHF4,1,ECO:0005547
CPX-10311,Q13007,1,ECO:0000353
CPX-10311,Q6UXL0,1,ECO:0000353
CPX-10311,Q8N6P7,1,ECO:0000353
CPX-10312,P48059,0,ECO:0005546
CPX-10312,Q13418,0,ECO:0005546
CPX-10312,Q9HBI1,0,ECO:0005546
CPX-10313,Q13418,0,ECO:0005546
CPX-10313,Q7Z4I7,0,ECO:0005546
CPX-10313,Q9NVD7,0,ECO:0005546
CPX-10314,Q13418,0,ECO:0005546
CPX-10314,Q7Z4I7,0,ECO:0005546
CPX-10314,Q9HBI1,0,ECO:0005546
CPX-10316,Q08334,0,ECO:0005547
CPX-10316,Q9NPH9,0,ECO:0005547
CPX-10316,Q9UHF4,0,ECO:0005547
CPX-10317,Q9NPH9,2,ECO:0005547
