group_size,n_groups,n_proteins,n_positive,pos_rate_pct
1,557,557,44,7.9
2,135,270,9,3.33
3,66,198,9,4.55
4,44,176,8,4.55
5,29,145,9,6.21
6,19,114,6,5.26
7,21,147,8,5.44
8,12,96,4,4.17
9,8,72,10,13.89
10,6,60,3,5.0
11,4,44,0,0.0
12,4,48,5,10.42
13,3,39,1,2.56
14,8,112,4,3.57
15,4,60,18,30.0
16,5,80,5,6.25
17,5,85,0,0.0
18,3,54,2,3.7
19,1,19,1,5.26
20,2,40,2,5.0
22,2,44,0,0.0
23,1,23,2,8.7
25,2,50,0,0.0
29,1,29,0,0.0
32,1,32,0,0.0
33,2,66,13,19.7
34,1,34,0,0.0
37,1,37,0,0.0
39,1,39,0,0.0
40,1,40,8,20.0
45,1,45,0,0.0
46,2,92,2,2.17
48,1,48,3,6.25
49,1,49,0,0.0
51,1,51,3,5.88
90,2,180,0,0.0
113,1,113,27,23.89
