base_Degree,base_LocalClustCoeff,base_TriangleCount,base_UniquePartners,base_AvgNeighbourDegree,stoich_WeightedTriangles,stoich_AvgNeighbourDegreeStoich,stoich_RangeComplexSize,stoich_MedComplexSize,stoich_MedianRatio,stoich_RangeRatio,protein_MedianUniqueRatio,protein_RangeUniqueRatio,protein_MedComplexNodes,protein_RangeComplexNodes,true_label
0.02545353220618327,0.010284665616750874,-0.021294340436550045,0.005015278785952129,-0.012445642003161618,-0.008547875726873419,0.012059857755833774,0.0019468958247113599,0.010530724629108626,-0.0836370133733263,-0.0023775003631778505,-0.019784922859907537,0.006397519084624008,-0.020564024860433766,0.009557228829095156,0
0.027811958809437067,0.013769226523906069,0.007189924514823794,0.0028592707598223653,-0.011259501447524876,0.004941413796003323,0.013946268657874931,0.003991150995508399,0.007432223676372805,-0.08272221968448334,-0.0020362853985994357,-0.024009480644781898,0.005334769409293308,-0.018350047293326753,0.009009196934256017,0
0.0027926053511289515,-0.0018700373464530023,-0.03498995250590363,-0.02976476697848768,0.001108143094827048,-0.010905591530297706,-0.025787114971949313,-0.003910339889534015,-0.042941314408276005,-0.10628025497479962,-0.01055210835312637,-0.05713075820919552,-0.01536153893583953,-0.06380654640027411,-0.005506497933139967,0
0.013915130765070711,-0.0013777315419018243,-0.015626500325691975,-0.013225439505892096,-0.002402912236468065,-0.01525408324114682,-0.034266439615314476,-0.004905299228587126,-0.05952396144193966,-0.12275627976785301,-0.010495780935390941,-0.05566481310579429,-0.01531956014936678,-0.04739978132878119,-0.0057995535508579945,0
-0.05685258607797743,-0.0008053189143157136,0.01246949630017195,0.0011592963350254822,-0.01729841096876823,-0.005749994822101648,-0.009075263135633536,-0.005271970450907695,-0.027626589118428097,0.04714599058856216,-0.0063059170504046365,0.01188456318826626,-0.011251193729483109,0.019019126968887697,-0.0033720433997019156,0
-0.029106044833155646,-0.002497533599497001,0.000683109182198118,0.002261416629977664,-0.02402632029337795,-0.007713574110181955,-0.0020506424515307747,-0.004407111116916115,0.004189878929582325,-0.09069281337070495,-0.008059777579191534,-0.023584577735823578,-0.012501621912279088,-0.03469994214309303,-0.005974239962491358,0
-0.05353218405035238,-0.0008672517951968423,0.007906454052550319,0.007459132884049782,0.0052022325225038095,-0.01052946699429445,0.014544693548482568,-0.004879700570312653,0.01604508513951493,0.06719474628401895,-0.006000697742591662,0.01800267495234452,-0.008205322787960842,0.023962591219349395,-0.003371156129600146,0
-0.02958752670382257,-0.0022900354697839025,0.00988506368500356,0.009205874927660963,-0.006450495607401013,0.010057820739713754,-0.020903981000553837,-0.004055800870144126,0.056279669262586214,-0.015802949310808962,-0.009504787296503114,-0.009389063935211576,-0.010683183911900217,-0.017978516507804944,-0.005779803544746725,0
0.03864145570338331,0.00027787675149536494,0.0077031793291859494,0.01653211422780371,0.0035073133052216,-0.0001441339119820019,0.013032505049561422,-0.004020363791090387,0.024269909544634517,0.08411198882118771,-0.006101133417315105,0.025183414834972422,-0.005232199706981471,0.03491045682232951,-0.0023799531904049997,0
0.03877605085688177,0.002154565881294445,0.01515643680357301,0.012086962901386989,-0.011254111264264635,-0.0066964628593158965,0.0035608969858358123,-0.008109418469902204,0.01978823922563153,0.07780074714175023,-0.006103287317496146,0.04587302915055301,0.03695427339464537,0.039453149217140694,0.005864825609933068,0
-0.04920642134521335,-0.0001796872840971138,0.009873716735096728,-0.004960860552951026,-0.0031624383281440996,-0.005411875203701597,-0.0006566678275869425,-0.00302472581946977,0.017512881974468406,0.06663093929032192,-0.002811309193379649,0.026006132557057325,-0.0046442877590924915,0.03308581178475986,-0.0023451130698161162,0
-0.04920642134521335,-0.0001796872840971138,0.009873716735096728,-0.004960860552951026,-0.0031624383281440996,-0.005411875203701597,-0.0006566678275869425,-0.00302472581946977,0.017512881974468406,0.06663093929032192,-0.002811309193379649,0.026006132557057325,-0.0046442877590924915,0.03308581178475986,-0.0023451130698161162,0
0.022395075176989847,0.0064242431902715195,-0.005925868441389173,0.005808434988121007,-0.014667690869900015,2.800946231571455e-05,0.020144662743687942,-0.004176630235565556,-0.06683063154008265,-0.1570718399484118,-0.010795461543792803,-0.02871027687354931,-0.009304840609517548,-0.022333336434668782,-0.005090699210960544,0
0.048633262874501815,0.0011156292457518275,0.016722494576536868,0.010828349275802736,-0.01021007223874419,-0.003866877045892339,-0.015541381994228361,-0.005008657982596446,0.018928435947873603,0.07129973643344975,-0.005518945909048875,0.033799593035805424,-0.009528915914868678,0.045294315110215706,-0.0020057303513040755,0
0.019855765375511356,-0.0030065494117115766,-0.018805636192635977,-0.051398599163705254,-0.01177805373219815,-0.010408906198408317,-0.028914560960582397,-0.005759918943235577,-0.06451413187693199,-0.11813722699686852,-0.011901199929724927,-0.03819628805254405,0.00564281273899477,-0.03118155541922829,0.005484083973240272,0
-0.01807061316523524,-0.001400934386396882,-0.010600717629298751,-0.003930102233365583,-0.0031788735772086754,-0.015323915962619181,-0.03834804805154156,-0.004140701393051094,-0.052533204159688984,-0.11367274923026334,-0.0112578868276698,-0.05167391260161938,-0.012643612707601228,-0.0410652420775545,-0.004791812169718563,0
