feature,mean,std,median,min,max,n_splits,rank
recip_MedComplexNodes,0.18880206494801285,0.0927957064791717,0.20998084039003664,0.020591497295350848,0.35985706483564267,50,1
base_AvgNeighbourDegree,0.019686489922408675,0.013881619715106722,0.02343102792980845,-0.00606497365395135,0.05211113278672249,50,2
base_UniquePartners,0.015043496714472568,0.006910235854420965,0.013727026082910956,-0.0011941995612804012,0.031895069108638666,50,3
protein_RangeComplexNodes,0.013860172421764912,0.008527054365263003,0.014648013043417068,0.0004761393781911205,0.03510429478096398,50,4
base_TriangleCount,0.011173591966406004,0.007176653601503034,0.010849299336365258,-0.0016586969729696754,0.024603720735763057,50,5
protein_MedComplexNodes,0.004373952179685893,0.008508261029744323,0.004363177533873696,-0.015576214678075517,0.02508190348028075,50,6
base_Degree,0.0022706350832394522,0.00624678178703482,0.0021676199722498344,-0.01748239686185874,0.014699739543342472,50,7
protein_RangeUniqueRatio,0.000991779854569993,0.004192693731824904,0.0009886070160842948,-0.013431971575717284,0.009515327879772861,50,8
base_LocalClustCoeff,-0.0005763370552004108,0.00228905783336837,-0.00013145125112420386,-0.007795558694345439,0.0029397825770043017,50,9
