database,n_proteins,pct_flagged,auc_size_predicts_flag,auc_medcomplexnodes_alone
CP,3394.0,59.899823217442545,0.7613681745685535,0.7179835433929437
CORUM,5132.0,10.502727981293843,0.8120276196696836,0.7390961966402855
