database,n_complexes,n_proteins,n_incidences,incidence_rate,protein_flag_rate,expected_flag_rate,obs_over_exp,mean_complexes_per_protein,pct_complexes_partially_curated
CP,2220.0,3394.0,8249.0,0.5947387562128743,0.5989982321744255,0.7228928371300531,0.8286127644486009,2.4304655274012963,4.504504504504505
CORUM,5454.0,5132.0,18517.0,0.03785710428255117,0.10502727981293843,0.11653971754661427,0.9012144702592828,3.608144972720187,1.0634396773010635
