split_index,n_train,n_test,train_ess_pct,test_ess_pct,pairwise_pr_auc,pairwise_f1,hypergraph_pr_auc,hypergraph_f1,hyper_flag_pr_auc,hyper_flag_f1,hb_graph_pr_auc,hb_graph_f1,pr_auc_diff,f1_diff,stoich_pr_auc_diff,stoich_f1_diff,annot_pr_auc_diff,value_pr_auc_diff
1,2701,687,7.960014809329878,8.296943231441048,0.29101256657895874,0.323943661971831,0.3364832479136459,0.3380281690140845,0.3402991072566598,0.31718061674008813,0.3076144866403439,0.30303030303030304,0.016601920061385167,-0.02091335894152796,-0.028868761273302013,-0.03499786598378146,0.003815859343013872,-0.032684620616315885
2,2673,715,7.706696595585484,9.230769230769232,0.26947445101216017,0.2645161290322581,0.2711295114979262,0.3333333333333333,0.2672425100891181,0.3157894736842105,0.2544599669856409,0.31226765799256506,-0.015014484026519281,0.04775152896030699,-0.016669544512285306,-0.021065675340768253,-0.0038870014088080995,-0.012782543103477206
3,2665,723,7.99249530956848,8.160442600276625,0.2677160651155252,0.3249097472924188,0.3463696131380058,0.3424657534246575,0.32415762210408666,0.2698961937716263,0.32414496954910393,0.2857142857142857,0.05642890443357873,-0.039195461578133084,-0.02222464358890186,-0.05675146771037182,-0.022211991033919132,-1.2652554982728326e-05
4,2749,639,8.112040742088032,7.668231611893583,0.250950230432962,0.2597402597402597,0.2578610874123347,0.2897196261682243,0.30028975926220464,0.3015075376884422,0.3052334262972096,0.3282051282051282,0.054283195864247624,0.06846486846486849,0.04737233888487491,0.03848550203690393,0.042428671849869926,0.004943667035004984
5,2757,631,8.161044613710555,7.448494453248812,0.27165932939957194,0.2823529411764706,0.332850663366174,0.26523297491039427,0.4232577865242115,0.29343629343629346,0.4920883405813178,0.29213483146067415,0.22042901118174585,0.009781890284203565,0.15923767721514376,0.02690185655027988,0.09040712315803745,0.06883055405710631
6,2682,706,7.829977628635347,8.78186968838527,0.5113334685409086,0.3735408560311284,0.4745260831381231,0.3861003861003861,0.49760641746020895,0.3510204081632653,0.4948468256860322,0.35684647302904565,-0.016486642854876332,-0.016694383002082758,0.02032074254790911,-0.029253913071340454,0.023080334322085838,-0.0027595917741767284
7,2760,628,8.115942028985506,7.643312101910828,0.3881755230523475,0.264,0.4733263464377489,0.29545454545454547,0.45979170777937284,0.2857142857142857,0.552786304209973,0.28,0.1646107811576255,0.016000000000000014,0.07945995777222409,-0.015454545454545443,-0.013534638658376064,0.09299459643060015
8,2764,624,8.068017366136035,7.852564102564102,0.2071012345250128,0.25,0.3152445496327933,0.3269230769230769,0.34973645200862263,0.36,0.3604128610821439,0.38144329896907214,0.15331162655713107,0.13144329896907214,0.04516831144935057,0.054520222045995215,0.03449190237582933,0.010676409073521242
9,2748,640,8.36972343522562,6.5625,0.11441854097295864,0.20657276995305165,0.21108448217729586,0.2311111111111111,0.2438539388813578,0.23645320197044334,0.27835263390151166,0.24489795918367346,0.16393409292855302,0.03832518923062181,0.0672681517242158,0.013786848072562363,0.03276945670406195,0.03449869502015385
10,2696,692,8.234421364985163,7.225433526011561,0.314418207356878,0.29931972789115646,0.3857174857594786,0.29965156794425085,0.4484711102333173,0.319672131147541,0.4643229697688666,0.3132530120481928,0.14990476241198863,0.013933284157036319,0.078605484009388,0.013601444103941929,0.0627536244738387,0.015851859535549295
