split_index,n_train,n_test,train_ess_pct,test_ess_pct,pairwise_pr_auc,pairwise_f1,hypergraph_pr_auc,hypergraph_f1,hyper_flag_pr_auc,hyper_flag_f1,hb_graph_pr_auc,hb_graph_f1,pr_auc_diff,f1_diff,stoich_pr_auc_diff,stoich_f1_diff,annot_pr_auc_diff,value_pr_auc_diff
1,4051,1071,11.552703036287335,11.57796451914099,0.36681615671067314,0.3511450381679389,0.47484252923137527,0.38826185101580135,0.492682806644069,0.38323353293413176,0.4850450791260765,0.3908523908523909,0.11822892241540334,0.03970735268445197,0.010202549894701207,0.0025905398365895227,0.017840277412693728,-0.007637727517992521
2,4204,918,11.346336822074216,12.527233115468409,0.3568727830873386,0.35443037974683544,0.5110284377207396,0.38144329896907214,0.5259823119067669,0.423728813559322,0.5123693944100746,0.4169014084507042,0.15549661132273596,0.06247102870386878,0.0013409566893349822,0.03545810948163208,0.014953874186027338,-0.013612917496692356
3,4163,959,11.890463607975018,10.114702815432743,0.26902842072168154,0.293398533007335,0.39443007862874835,0.3341902313624679,0.3867836900008743,0.3760217983651226,0.3804860790703556,0.367816091954023,0.11145765834867405,0.074417558946688,-0.013943999558392761,0.03362586059155509,-0.0076463886278740345,-0.006297610930518727
4,4095,1027,11.746031746031745,10.808179162609543,0.3438449357160834,0.34285714285714286,0.4628313820228705,0.36446469248291574,0.460831375051151,0.39408866995073893,0.45554964202061554,0.3695150115473441,0.11170470630453216,0.02665786869020126,-0.007281740002254955,0.005050319064428377,-0.0020000069717194813,-0.005281733030535474
5,4161,961,11.511655851958663,11.758584807492195,0.2714042160044699,0.3406113537117904,0.3974777337208129,0.3341404358353511,0.4089425960572654,0.37317784256559766,0.3967386169727739,0.3621621621621622,0.125334400968304,0.021550808450371772,-0.0007391167480390037,0.028021726326811103,0.011464862336452497,-0.0122039790844915
6,4164,958,11.455331412103746,12.004175365344468,0.33431241831826974,0.3685393258426966,0.49361503758600345,0.38421052631578945,0.522923943892774,0.43636363636363634,0.5015024307803184,0.43962848297213625,0.16719001246204868,0.07108915712943964,0.007887393194314973,0.0554179566563468,0.02930890630677052,-0.021421513112455548
7,4175,947,11.425149700598801,12.143611404435058,0.40384917009227134,0.38095238095238093,0.425584713587311,0.39893617021276595,0.4625238779413364,0.44565217391304346,0.46279160877158215,0.41237113402061853,0.058942438679310816,0.031418753068237604,0.03720689518427117,0.013434963807852585,0.036939164354025444,0.0002677308302457271
8,4199,923,11.812336270540605,10.400866738894909,0.27774111709664245,0.30434782608695654,0.4470044295757359,0.33505154639175255,0.45718288956226094,0.3837837837837838,0.44455038494891835,0.37017994858611825,0.1668092678522759,0.0658321224991617,-0.002454044626817531,0.03512840219436569,0.010178459986525057,-0.012632504613342588
9,4125,997,11.200000000000001,13.039117352056168,0.37565253368990864,0.34854771784232363,0.48997278694565555,0.39094650205761317,0.4903137074083585,0.43914081145584727,0.4912516792368593,0.441747572815534,0.11559914554695067,0.09319985497321037,0.0012788922912037592,0.05080107075792084,0.00034092046270295384,0.0009379718285008054
10,4074,1048,11.683848797250858,11.068702290076336,0.3168217902343861,0.3163841807909605,0.4225292504348677,0.3735224586288416,0.45134921284381857,0.3832599118942731,0.45295690051548276,0.39436619718309857,0.13613511028109665,0.07798201639213809,0.030427650080615043,0.020843738554256974,0.02881996240895085,0.001607687671664193
