rank,type,feature,mean,std
1,real,pair_LocalClustCoeff,0.1024199274489413,0.0455616710442331
2,real,pair_AvgNeighborDegree,0.0326066713029079,0.0300301483885001
3,real,pair_Degree,0.0258052523400421,0.0266710041025211
4,real,pair_TriangleCount,0.0255252691077981,0.0241821131318991
5,NOISE,rand_0,0.0030928707588409,0.0156096353689547
6,NOISE,rand_3,0.001491655353059,0.0184371728395194
7,NOISE,rand_2,-0.0022765508413409,0.0128753842383047
8,NOISE,rand_1,-0.0038169549773443,0.0142492593727902
