split_index,seed_index,noise_seed,n_train,n_test,rand_pr_auc,pair_pr_auc,hyper_pr_auc,rand__rand_0,rand__rand_1,rand__rand_2,rand__rand_3,pair__pair_Degree,pair__pair_LocalClustCoeff,pair__pair_TriangleCount,pair__pair_AvgNeighborDegree,pair__rand_0,pair__rand_1,pair__rand_2,pair__rand_3,hyper__base_Degree,hyper__base_LocalClustCoeff,hyper__base_TriangleCount,hyper__base_UniquePartners,hyper__base_AvgNeighbourDegree,hyper__stoich_WeightedTriangles,hyper__stoich_AvgNeighbourDegreeStoich,hyper__stoich_RangeComplexSize,hyper__stoich_MedComplexSize,hyper__stoich_MedianRatio,hyper__stoich_RangeRatio,hyper__protein_MedianUniqueRatio,hyper__protein_RangeUniqueRatio,hyper__protein_MedComplexNodes,hyper__protein_RangeComplexNodes,hyper__rand_0,hyper__rand_1,hyper__rand_2,hyper__rand_3
1,0,1042,2719,669,0.056911022019211985,0.19074833245413586,0.4563581037744645,-0.0062491978820114515,-0.0015861342608097968,0.003909665191771758,0.0008700996050061326,0.026377643990890598,0.10543509809115514,0.009898257107720404,0.011885132143675103,-0.040681654591007435,-0.01355001423376909,0.003889285915905469,-0.009318821734278143,0.2102480262718726,0.03411042676886715,0.021334232795406693,0.003289706800286718,0.041656538708796355,0.04677298025651279,0.09667385384389995,0.0020956394626016504,0.11672098742405153,0.13083447203874402,0.0004676539713777128,0.14296606798865336,0.0005459644351789694,0.09905641555995845,-0.0076299958003345604,-0.006953700563956305,0.003948502154361877,0.004697534364948597,0.0017845556825917374
1,1,1043,2719,669,0.05437968416495752,0.17918832024687947,0.4459330057028923,-0.011227519367949298,-0.006976286938565754,-0.0013137021497191981,-0.009116276464480858,-0.015062049003267543,0.0944235902858004,-0.0030376486834450015,0.003236945014280873,0.005332404683147771,-0.03477093429159058,0.0034008043214743848,-0.0161675039357486,0.1980136383299039,0.057088620509818534,0.022201089403976675,0.010050346358396195,0.035954350841495404,0.09980174580098407,0.08032191250710383,0.0007634919368504245,0.09767944389717954,0.12345112578915245,0.0005223714972670268,0.13374857246421853,-0.0020781099697437743,0.10580350821651381,-0.004201746912467113,0.005856629723432022,-0.003196806963549903,-0.010792572460343392,0.0031179706103804717
1,2,1044,2719,669,0.06493377051689128,0.22877056249114647,0.44925185104830895,-0.004667347441220529,0.011530048870597949,3.670246994525034e-05,-0.003165314158619304,0.04683370260673715,0.13620968661710395,0.038162130919723765,0.01082541991731104,0.009622857926964878,0.01249133957820138,-0.0011240121132087527,-0.017647338056184087,0.18690093755038278,0.04697770967720812,0.030618641930033986,0.001008095702899836,0.027168338719093195,0.054291489415134876,0.0829869168249414,-0.0021265936645919357,0.1049650650760123,0.10783561068219294,-0.004152860544827908,0.15465737297996057,-0.003862181825603056,0.0878166094789625,-0.011353811259438296,-0.007155745358087179,0.001431070034994053,-0.001180521409554608,-0.0031669635675636077
2,0,2042,2741,647,0.09234785492905548,0.29229374388456436,0.5490437422280722,-0.014562555212172024,-0.0276019236557829,-0.0007025149184556919,-0.005664860054597922,0.07461682303085433,0.1319101926933672,0.016098674371930057,0.03325905548306586,0.010561627020571096,-0.017730003657066347,-0.026272355475751807,0.013141491189970761,0.12183876439919417,0.009592965592944003,0.011188837055531298,0.007889042254147693,0.0389003103106258,0.06262555363844721,0.055490194076044906,0.005479031297915937,0.047045375948870996,0.06714034074801405,-0.006834694094410532,0.07049008896062905,-0.0025569785890094065,0.0895140732233021,-0.010869182573372271,0.0008434465806627545,0.000374272034351919,-0.010012753832922928,0.010256947951454298
2,1,2043,2741,647,0.12088402686457195,0.3347521097685925,0.5313277652161406,-0.007429164483144875,-0.005157295675096976,0.021986801046171737,0.023778499532456882,0.09433907481151775,0.14155501849062258,0.030971035735091045,0.02723812004894713,0.0006072428942362984,-0.005103333666988463,0.01935559670467867,0.01186082861480226,0.14600968499623704,0.03490008646590721,0.03697236262769005,0.021276015706706203,0.031831539237246624,0.049187705267497675,0.03022291680662833,0.0023834238701325285,0.08614050121519698,0.06966047580499371,-0.010827033492320648,0.06854898284306579,-0.008253076137535554,0.0813620521950916,-0.006408186906010726,-0.0038042867629501376,0.000340854830397308,-0.0007090129893454145,0.002176589963471076
2,2,2044,2741,647,0.093339519335922,0.2804346170953493,0.5398580187103961,-0.013264335785825938,0.0008653422957395643,-0.007799331819664655,-0.0014703039332570555,0.056635492756890574,0.11605998014639193,-0.03460694159429301,0.003349479961958149,-0.03531124930398773,-0.017317421146615674,-0.013628681245977247,0.0059270126697330006,0.12355130886062511,0.03078045772989988,0.029684114213423728,0.01807195532452872,0.04179618090607358,0.04132659136529039,0.03978755152204465,0.007071906152083618,0.07671315312906783,0.09584804858584638,-0.012376775033143893,0.07878335086155282,0.002345665333704039,0.08946894652430251,-0.007266154371898137,-0.0016888244657700558,0.002235407006319301,0.0009899886425210115,0.003482111878636207
3,0,3042,2689,699,0.08144318772857542,0.208803125309557,0.275146098675554,0.0009762478188003548,0.0004905399668147029,-0.0028221238906686237,-0.004648578737963827,0.01958702204791546,0.10510712330699361,0.042902127605066155,0.02108814311137075,0.030091704528943868,-0.011340077190353381,-0.004716890422237799,-0.0003303988475156505,0.0557903264999068,0.01625311668778595,-0.0013655783350004585,-0.0049088825284830055,0.023486080265239313,-0.0012414215981763899,0.03309153046047493,-0.000284388523262602,0.0460966776210513,0.038782703921201804,0.0007374902904715763,0.04122986544068722,0.015335135399331928,0.06265751159574681,0.01446170222574208,0.00326902408157293,-0.0027007649848623805,0.005694716081606444,-0.0011419518406572404
3,1,3043,2689,699,0.07632422132828078,0.20999053862036657,0.26832598010904135,-0.004809472197764913,-0.0011110878853952371,-0.001655798627411724,-0.0034757080721618664,0.022656610090937054,0.10065739854926392,0.04017274491480636,0.021589581417690098,0.016510486735710768,0.004801912231964944,0.004301225856053417,0.014414842311123614,0.06948826137945928,0.01723989475971923,0.005502277833841237,-0.008539650924933122,0.014348512533543282,0.007268240699217707,0.024346128342378398,-0.0012207648501094293,0.05363422970650604,0.044451197116328126,-0.0007382151895028333,0.04993366860652104,0.009629306548762517,0.05858274512003203,0.007342131610495744,0.004509309757010654,0.004803675504441945,-0.004736556705888645,0.002212651732158716
3,2,3044,2689,699,0.06812511725971698,0.1709908419876051,0.23003880118585135,-0.00674904408614536,-0.009237584569921275,-0.0014310304748095352,-0.0042656883795511805,0.011176327641416026,0.05538974115597769,0.013737833013854301,0.011635183658086492,0.006705031215576143,-0.007183092009045452,-0.003916578402047605,0.0004824161821438133,0.050369008513678495,0.0042663531769993575,-0.016062265298577714,-0.008898192637075317,0.008429794224820621,-0.004171837514125906,0.026844544344744037,-0.0025978810933240696,0.02522789774148333,0.024145223750470353,-0.0007483463098754695,0.018980695120789086,0.004969324349686582,0.011278346069517373,0.011488179663900058,0.0021035304199654575,-0.013372306725060392,-0.010595071320989793,-0.0030212598597380404
4,0,4042,2786,602,0.07875285761787884,0.13866464139614654,0.32886709916306184,0.0017042464544390068,0.0029732722860469516,-0.006990706800115175,0.002198184010580127,0.01082317365772024,0.03169443150978797,0.004446982842126371,0.0013321370038074111,5.840535837778049e-05,-0.0035088628331374854,-0.02120453315702144,-0.006800156839029531,0.05250048529141149,0.0032862701831440576,0.009462344052172455,-0.0036647047425077406,-0.00038759403193656115,0.003112223318340984,0.008203516396383004,-0.003531701328831999,0.033282946697463824,0.06452672052547467,-0.004715490685411572,0.05491638267009571,0.003867608327485744,0.058854140352107696,-0.0029447984603364064,-0.01133985608563009,-0.0012990712024061935,-0.014199124263383895,-0.0013776541868831926
4,1,4043,2786,602,0.10355063067009282,0.19284202694549857,0.36014775214752304,0.002496996076975487,-0.0032298823938890983,0.0018086065800698562,0.003471029094650377,0.0003515643632180987,0.06198905605119596,0.019446667449415526,0.026430284103124237,0.01068802629802707,0.0037142711810954493,0.010470217302356925,0.007898014286071531,0.019991338887248106,0.002074956212862794,0.009017580996451302,-0.01085933531082835,0.005723320621357897,0.0017694144204002337,0.00670024145136866,-0.004043393452530669,0.05234448993841645,0.04174419852184378,-0.004688798020048413,0.048482901725971334,-0.001706850474915328,0.08475429418619561,-0.0022830034709742653,0.003724994258697878,-0.0005083724952058444,-0.003218976969957771,0.0022854409070866945
4,2,4044,2786,602,0.09757518263014103,0.18157542990029354,0.3641512053274838,0.005525473771439327,0.006377707808908601,0.004857027096495168,-0.003939580594347165,0.0026953738897798007,0.05517879472588203,0.015462347230531503,0.01686254996060955,-0.0017231519493138391,0.010919403441024031,0.0015577852941487114,-0.007311505843860297,0.05240595836266935,0.01302750817316593,0.01889707165052188,0.0011576176723146147,0.010079773669442177,0.013371544098677251,0.013866065081308093,-0.0026115541503066,0.05751992506814916,0.06619869702406812,-0.0028545134556901774,0.05463674423103456,-0.0014710207080136262,0.06243337989730411,-0.0056097370516360046,-0.00808980960034103,-0.009454890640816116,0.0008815063387462907,0.005433103786220661
5,0,5042,2727,661,0.0847067493165514,0.2434325635086262,0.45586036679100234,-0.012669208876521718,0.003484510248978924,-0.00014624922939996537,-0.0014764814185210847,0.03384777963972873,0.10103666204489943,0.02751131674727287,0.04851063620731487,-0.0030760966979414108,-0.01326456856816271,-0.010335367928486324,-0.0010195715545387118,0.10964695491178737,0.005091877103130954,0.026551717205151332,0.013268714301022588,0.01842140619035106,0.018828458591986737,0.015408799426573411,-0.001974430526109494,0.06972018724132972,0.09571625687118467,-0.0015556810094205565,0.0929930265402995,-0.014439569095107362,0.1097078477830558,-0.011635202099364472,0.04111930669598147,-0.004683264210027205,-0.01087870101899483,0.0013185798266769188
