Model,Log-Likelihood,Pseudo R²,AIC,Num Features
Intercept only,-947.3151134355792,0.0,1896.6302268711584,0
Stoich features only,-864.7061885795298,0.08720321643445794,1743.4123771590596,6
Protein features only,-852.2422958623785,0.10036028797295471,1718.484591724757,6
Protein + Stoich features,-836.0958450260437,0.11740472293139603,1698.1916900520873,12
