comparison,split_set,n_splits,model,mean_diff,std_diff,cohens_dz,wins,losses,ties,p_greater,p_two_sided
hb_graph_vs_pairwise,strat,50,RandomForest,0.10368017050717956,0.06637140497440899,1.562121075290719,49,1,0,4.529709940470639e-14,9.059419880941277e-14
hb_graph_vs_hypergraph,strat,50,RandomForest,0.04085375739484185,0.0349381592136139,1.1693162523262788,44,6,0,1.6218702825199216e-08,3.243740565039843e-08
hypergraph_vs_pairwise,strat,50,RandomForest,0.0628264131123377,0.06708295280762605,0.9365481166654241,43,7,0,1.049338713698944e-07,2.098677427397888e-07
hyper_flag_vs_hypergraph,strat,50,RandomForest,0.020873541141575178,0.024916832151746605,0.8377285288295365,40,10,0,1.1930665838377763e-05,2.3861331676755526e-05
hb_graph_vs_hyper_flag,strat,50,RandomForest,0.01998021625326667,0.031163254054617808,0.6411466600454704,38,12,0,0.00015293200080179759,0.00030586400160359517
