split_index,n_train,n_test,train_pos_pct,test_pos_pct,hypergraph_pr_auc,hypergraph_f1,pairwise_pr_auc,pairwise_f1,pr_auc_diff,f1_diff
1,2744,650,5.97667638483965,6.615384615384616,0.26411835039951104,0.37662337662337664,0.15139902471881503,0.22413793103448276,0.11271932568069601,0.15248544558889388
2,2768,626,6.141618497109826,5.9105431309904155,0.2759782100226378,0.29464285714285715,0.13467282067311626,0.12807881773399016,0.14130538934952153,0.166564039408867
3,2723,671,6.022769004774147,6.4083457526080485,0.3190209905053743,0.3592814371257485,0.22160244928253117,0.2571428571428571,0.09741854122284313,0.10213857998289139
4,2764,630,6.1143270622286545,6.031746031746032,0.23674934290665067,0.24390243902439024,0.23715987878283595,0.2247191011235955,-0.00041053587618528065,0.01918333790079474
5,2763,631,6.297502714440825,5.229793977812995,0.3543192664074091,0.28421052631578947,0.28998718304877064,0.17094017094017094,0.06433208335863844,0.11327035537561853
6,2740,654,5.802919708029197,7.339449541284404,0.2600949643326322,0.2857142857142857,0.28604151018629254,0.1862348178137652,-0.025946545853660352,0.09947946790052051
7,2758,636,6.417693981145758,4.716981132075472,0.236196272953544,0.23529411764705882,0.10571420181855949,0.15584415584415584,0.1304820711349845,0.07944996180290298
8,2758,636,5.83756345177665,7.232704402515723,0.29281949751979125,0.3465346534653465,0.28667900247514405,0.25125628140703515,0.006140495044647198,0.09527837205831136
9,2747,647,6.297779395704405,5.255023183925812,0.21595383184984157,0.24705882352941178,0.13782099434341533,0.15873015873015872,0.07813283750642624,0.08832866479925305
10,2693,701,5.9784626810248795,6.562054208273895,0.2386921396493779,0.22660098522167488,0.19732522337056646,0.16974169741697417,0.04136691627881145,0.0568592878047007
11,2777,617,6.157724162765574,5.834683954619125,0.44275223096936567,0.3333333333333333,0.2753596390779051,0.24083769633507854,0.16739259189146055,0.09249563699825478
12,2764,630,6.186685962373372,5.714285714285714,0.2209146972012565,0.23333333333333334,0.1594576447904344,0.1685823754789272,0.06145705241082211,0.06475095785440613
13,2727,667,5.793912724605794,7.34632683658171,0.3049167286019562,0.31451612903225806,0.2622816158129394,0.25142857142857145,0.04263511278901677,0.06308755760368662
14,2714,680,5.969049373618276,6.61764705882353,0.24333212720060413,0.275,0.19758386956561733,0.27631578947368424,0.0457482576349868,-0.0013157894736842146
15,2763,631,6.0441549040897575,6.3391442155309035,0.3023753123366288,0.24124513618677043,0.3478761303099325,0.2230769230769231,-0.04550081797330369,0.018168213109847342
