ComplexId,ProteinId,Stoichiometry,Evidence
1,P41182,0,MI:0007:anti tag coimmunoprecipitation
1,P56524,0,MI:0007:anti tag coimmunoprecipitation
2,P41182,0,MI:0007:anti tag coimmunoprecipitation
2,Q9UQL6,0,MI:0007:anti tag coimmunoprecipitation
3,P41182,0,MI:0007:anti tag coimmunoprecipitation
3,Q8WUI4,0,MI:0007:anti tag coimmunoprecipitation
4,Q09472,0,MI:0004:affinity chromatography technology
4,Q92793,0,MI:0004:affinity chromatography technology
4,Q92831,0,MI:0004:affinity chromatography technology
4,Q9Y6Q9,0,MI:0004:affinity chromatography technology
10,O95347,0,MI:0004:affinity chromatography technology
10,Q15003,0,MI:0004:affinity chromatography technology
10,Q15021,0,MI:0004:affinity chromatography technology
10,Q9BPX3,0,MI:0004:affinity chromatography technology
10,Q9NTJ3,0,MI:0004:affinity chromatography technology
11,Q92902,0,MI:0019:coimmunoprecipitation
11,Q9NQG7,0,MI:0019:coimmunoprecipitation
12,Q86YV9,0,MI:0019:coimmunoprecipitation
12,Q969F9,0,MI:0019:coimmunoprecipitation
12,Q9UPZ3,0,MI:0019:coimmunoprecipitation
13,Q92903,0,MI:0004:affinity chromatography technology
13,Q96NY9,0,MI:0004:affinity chromatography technology
15,O15379,0,MI:0004:affinity chromatography technology
15,O60907,0,MI:0004:affinity chromatography technology
15,O75376,0,MI:0004:affinity chromatography technology
15,Q13227,0,MI:0004:affinity chromatography technology
15,Q92828,0,MI:0004:affinity chromatography technology
15,Q9BZK7,0,MI:0004:affinity chromatography technology
23,O95295,0,MI:0019:coimmunoprecipitation
23,P78537,0,MI:0019:coimmunoprecipitation
23,Q6QNY0,0,MI:0019:coimmunoprecipitation
23,Q6QNY1,0,MI:0019:coimmunoprecipitation
23,Q8TDH9,0,MI:0019:coimmunoprecipitation
23,Q96EV8,0,MI:0019:coimmunoprecipitation
23,Q9NUP1,0,MI:0019:coimmunoprecipitation
23,Q9UL45,0,MI:0019:coimmunoprecipitation
27,O15143,0,MI:0027:cosedimentation
27,O15144,0,MI:0027:cosedimentation
27,O15145,0,MI:0027:cosedimentation
27,O15511,0,MI:0027:cosedimentation
27,P59998,0,MI:0027:cosedimentation
27,P61158,0,MI:0027:cosedimentation
27,P61160,0,MI:0027:cosedimentation
29,P61289,7,MI:0071:molecular sieving
30,Q06323,0,MI:0071:molecular sieving
30,Q9UL46,0,MI:0071:molecular sieving
32,O00231,0,MI:0071:molecular sieving
32,O00232,0,MI:0071:molecular sieving
32,O00233,0,MI:0071:molecular sieving
32,O00487,0,MI:0071:molecular sieving
32,O43242,0,MI:0071:molecular sieving
32,O75832,0,MI:0071:molecular sieving
32,P17980,0,MI:0071:molecular sieving
32,P35998,0,MI:0071:molecular sieving
32,P43686,0,MI:0071:molecular sieving
32,P48556,0,MI:0071:molecular sieving
32,P51665,0,MI:0071:molecular sieving
32,P55036,0,MI:0071:molecular sieving
32,P62191,0,MI:0071:molecular sieving
32,P62195,0,MI:0071:molecular sieving
32,P62333,0,MI:0071:molecular sieving
32,Q13200,0,MI:0071:molecular sieving
32,Q15008,0,MI:0071:molecular sieving
32,Q16401,0,MI:0071:molecular sieving
32,Q99460,0,MI:0071:molecular sieving
32,Q9UNM6,0,MI:0071:molecular sieving
36,O43747,0,MI:0018:two hybrid
36,O75843,0,MI:0018:two hybrid
36,P56377,0,MI:0018:two hybrid
36,P61966,0,MI:0018:two hybrid
36,Q10567,0,MI:0018:two hybrid
36,Q96PC3,0,MI:0018:two hybrid
36,Q9BXS5,0,MI:0018:two hybrid
36,Q9Y6Q5,0,MI:0018:two hybrid
49,O60264,0,MI:0019:coimmunoprecipitation
49,O95239,0,MI:0019:coimmunoprecipitation
49,O95347,0,MI:0019:coimmunoprecipitation
49,Q13547,0,MI:0019:coimmunoprecipitation
49,Q96ST3,0,MI:0019:coimmunoprecipitation
49,Q9NTJ3,0,MI:0019:coimmunoprecipitation
49,Q9UBC3,0,MI:0019:coimmunoprecipitation
50,P20339,0,MI:0018:two hybrid
50,Q15276,0,MI:0018:two hybrid
50,Q9UJ41,0,MI:0018:two hybrid
55,P27361,0,MI:0007:anti tag coimmunoprecipitation
55,P56524,0,MI:0007:anti tag coimmunoprecipitation
57,P28482,0,MI:0007:anti tag coimmunoprecipitation
57,P56524,0,MI:0007:anti tag coimmunoprecipitation
58,O15379,0,MI:0004:affinity chromatography technology
58,O60907,0,MI:0004:affinity chromatography technology
58,Q13227,0,MI:0004:affinity chromatography technology
58,Q9BZK7,0,MI:0004:affinity chromatography technology
58,Q9Y618,0,MI:0004:affinity chromatography technology
59,O00203,0,MI:0019:coimmunoprecipitation
59,O14617,0,MI:0019:coimmunoprecipitation
59,P53677,0,MI:0019:coimmunoprecipitation
59,P59780,0,MI:0019:coimmunoprecipitation
59,Q13367,0,MI:0019:coimmunoprecipitation
59,Q92572,0,MI:0019:coimmunoprecipitation
59,Q9Y2T2,0,MI:0019:coimmunoprecipitation
61,O94776,0,MI:0004:affinity chromatography technology
61,O95983,0,MI:0004:affinity chromatography technology
61,Q09028,0,MI:0004:affinity chromatography technology
61,Q13547,0,MI:0004:affinity chromatography technology
61,Q14839,0,MI:0004:affinity chromatography technology
61,Q16576,0,MI:0004:affinity chromatography technology
61,Q92769,0,MI:0004:affinity chromatography technology
62,O94776,0,MI:0096:pull down
62,O95983,0,MI:0096:pull down
62,Q09028,0,MI:0096:pull down
62,Q13547,0,MI:0096:pull down
62,Q14839,0,MI:0096:pull down
62,Q16576,0,MI:0096:pull down
62,Q92769,0,MI:0096:pull down
62,Q9UBB5,0,MI:0096:pull down
66,O60244,0,MI:0004:affinity chromatography technology
66,O75448,0,MI:0004:affinity chromatography technology
66,P10827,0,MI:0004:affinity chromatography technology
66,Q15648,0,MI:0004:affinity chromatography technology
66,Q71SY5,0,MI:0004:affinity chromatography technology
66,Q93074,0,MI:0004:affinity chromatography technology
66,Q9NVC6,0,MI:0004:affinity chromatography technology
66,Q9Y2W1,0,MI:0004:affinity chromatography technology
66,Q9Y2X0,0,MI:0004:affinity chromatography technology
67,O00189,0,MI:0019:coimmunoprecipitation
67,Q9UPM8,0,MI:0019:coimmunoprecipitation
67,Q9Y587,0,MI:0019:coimmunoprecipitation
67,Q9Y6B7,0,MI:0019:coimmunoprecipitation
68,O15315,0,MI:0004:affinity chromatography technology
68,O43502,0,MI:0004:affinity chromatography technology
68,O43543,0,MI:0004:affinity chromatography technology
68,O75771,0,MI:0004:affinity chromatography technology
72,P49959,0,MI:0071:molecular sieving
72,Q92878,0,MI:0071:molecular sieving
74,P48995,0,MI:0019:coimmunoprecipitation
74,Q14573,0,MI:0019:coimmunoprecipitation
74,Q9NSC5,0,MI:0019:coimmunoprecipitation
81,P62877,0,MI:0004:affinity chromatography technology
81,P63208,0,MI:0004:affinity chromatography technology
81,Q14999,0,MI:0004:affinity chromatography technology
81,Q8N3Y1,0,MI:0004:affinity chromatography technology
86,O14497,0,MI:0004:affinity chromatography technology
86,P51532,0,MI:0004:affinity chromatography technology
86,P60709,0,MI:0004:affinity chromatography technology
86,Q12824,0,MI:0004:affinity chromatography technology
86,Q86X55,0,MI:0004:affinity chromatography technology
86,Q8TAQ2,0,MI:0004:affinity chromatography technology
86,Q92922,0,MI:0004:affinity chromatography technology
86,Q969G3,0,MI:0004:affinity chromatography technology
86,Q96GM5,0,MI:0004:affinity chromatography technology
86,Q96KG9,0,MI:0004:affinity chromatography technology
87,P52948,0,MI:0019:coimmunoprecipitation
87,P55735,0,MI:0019:coimmunoprecipitation
87,P57740,0,MI:0019:coimmunoprecipitation
87,Q12769,0,MI:0019:coimmunoprecipitation
87,Q8NFH3,0,MI:0019:coimmunoprecipitation
87,Q8NFH4,0,MI:0019:coimmunoprecipitation
87,Q8WUM0,0,MI:0019:coimmunoprecipitation
87,Q96EE3,0,MI:0019:coimmunoprecipitation
87,Q9BW27,0,MI:0019:coimmunoprecipitation
91,O15287,0,MI:0004:affinity chromatography technology
91,O15360,0,MI:0004:affinity chromatography technology
91,Q00597,0,MI:0004:affinity chromatography technology
91,Q9NPI8,0,MI:0004:affinity chromatography technology
92,P10747,0,MI:0004:affinity chromatography technology
92,P19338,0,MI:0004:affinity chromatography technology
93,P30260,0,MI:0019:coimmunoprecipitation
93,Q13042,0,MI:0019:coimmunoprecipitation
93,Q9H1A4,0,MI:0019:coimmunoprecipitation
93,Q9UJX2,0,MI:0019:coimmunoprecipitation
93,Q9UJX3,0,MI:0019:coimmunoprecipitation
93,Q9UJX4,0,MI:0019:coimmunoprecipitation
93,Q9UJX5,0,MI:0019:coimmunoprecipitation
93,Q9UJX6,0,MI:0019:coimmunoprecipitation
95,P12956,0,MI:0004:affinity chromatography technology
95,P13010,0,MI:0004:affinity chromatography technology
95,Q9BXJ9,0,MI:0004:affinity chromatography technology
96,P30260,0,MI:0019:coimmunoprecipitation
96,Q13042,0,MI:0019:coimmunoprecipitation
96,Q9H1A4,0,MI:0019:coimmunoprecipitation
96,Q9UJX2,0,MI:0019:coimmunoprecipitation
96,Q9UJX3,0,MI:0019:coimmunoprecipitation
96,Q9UJX4,0,MI:0019:coimmunoprecipitation
96,Q9UJX5,0,MI:0019:coimmunoprecipitation
96,Q9UJX6,0,MI:0019:coimmunoprecipitation
96,Q9UM13,0,MI:0019:coimmunoprecipitation
98,P04637,0,MI:0091:chromatography technology
98,Q00987,0,MI:0091:chromatography technology
98,Q09472,0,MI:0091:chromatography technology
100,P28370,0,MI:0071:molecular sieving
100,Q09028,0,MI:0071:molecular sieving
100,Q12830,0,MI:0071:molecular sieving
100,Q16576,0,MI:0071:molecular sieving
103,O15514,0,MI:0004:affinity chromatography technology
103,P13984,0,MI:0004:affinity chromatography technology
103,P18074,0,MI:0004:affinity chromatography technology
103,P19387,0,MI:0004:affinity chromatography technology
103,P19388,0,MI:0004:affinity chromatography technology
103,P19447,0,MI:0004:affinity chromatography technology
103,P20226,0,MI:0004:affinity chromatography technology
103,P24928,0,MI:0004:affinity chromatography technology
103,P29083,0,MI:0004:affinity chromatography technology
103,P29084,0,MI:0004:affinity chromatography technology
103,P30876,0,MI:0004:affinity chromatography technology
103,P32780,0,MI:0004:affinity chromatography technology
103,P35269,0,MI:0004:affinity chromatography technology
103,P36954,0,MI:0004:affinity chromatography technology
103,P52434,0,MI:0004:affinity chromatography technology
103,P52435,0,MI:0004:affinity chromatography technology
103,P53803,0,MI:0004:affinity chromatography technology
103,P61218,0,MI:0004:affinity chromatography technology
103,P62487,0,MI:0004:affinity chromatography technology
103,P62875,0,MI:0004:affinity chromatography technology
103,Q00403,0,MI:0004:affinity chromatography technology
103,Q13888,0,MI:0004:affinity chromatography technology
103,Q13889,0,MI:0004:affinity chromatography technology
103,Q92759,0,MI:0004:affinity chromatography technology
104,O15514,0,MI:0004:affinity chromatography technology
104,P19387,0,MI:0004:affinity chromatography technology
104,P19388,0,MI:0004:affinity chromatography technology
104,P24928,0,MI:0004:affinity chromatography technology
104,P30876,0,MI:0004:affinity chromatography technology
104,P36954,0,MI:0004:affinity chromatography technology
104,P52434,0,MI:0004:affinity chromatography technology
104,P52435,0,MI:0004:affinity chromatography technology
104,P53803,0,MI:0004:affinity chromatography technology
104,P61218,0,MI:0004:affinity chromatography technology
104,P62487,0,MI:0004:affinity chromatography technology
104,P62875,0,MI:0004:affinity chromatography technology
107,P18074,0,MI:0004:affinity chromatography technology
107,P19447,0,MI:0004:affinity chromatography technology
107,P32780,0,MI:0004:affinity chromatography technology
107,P50613,0,MI:0004:affinity chromatography technology
107,P51946,0,MI:0004:affinity chromatography technology
107,P51948,0,MI:0004:affinity chromatography technology
107,Q13888,0,MI:0004:affinity chromatography technology
107,Q13889,0,MI:0004:affinity chromatography technology
107,Q92759,0,MI:0004:affinity chromatography technology
112,O15212,0,MI:0040:electron microscopy
112,O60925,0,MI:0040:electron microscopy
112,P61758,0,MI:0040:electron microscopy
112,Q99471,0,MI:0040:electron microscopy
112,Q9NQP4,0,MI:0040:electron microscopy
112,Q9UHV9,0,MI:0040:electron microscopy
114,O75971,0,MI:0019:coimmunoprecipitation
114,Q13487,0,MI:0019:coimmunoprecipitation
114,Q16533,0,MI:0019:coimmunoprecipitation
114,Q5SXM2,0,MI:0019:coimmunoprecipitation
114,Q92966,0,MI:0019:coimmunoprecipitation
115,O00257,0,MI:0004:affinity chromatography technology
115,O60264,0,MI:0004:affinity chromatography technology
115,P0DMV8,0,MI:0004:affinity chromatography technology
115,P35226,0,MI:0004:affinity chromatography technology
115,P78364,0,MI:0004:affinity chromatography technology
115,Q06587,0,MI:0004:affinity chromatography technology
115,Q14781,0,MI:0004:affinity chromatography technology
115,Q8IXK0,0,MI:0004:affinity chromatography technology
115,Q8NDX5,0,MI:0004:affinity chromatography technology
115,Q96GD3,0,MI:0004:affinity chromatography technology
115,Q99496,0,MI:0004:affinity chromatography technology
115,Q9HC52,0,MI:0004:affinity chromatography technology
116,O00257,0,MI:0004:affinity chromatography technology
116,O60264,0,MI:0004:affinity chromatography technology
116,P0DMV8,0,MI:0004:affinity chromatography technology
116,P25490,0,MI:0004:affinity chromatography technology
116,P35226,0,MI:0004:affinity chromatography technology
116,P78364,0,MI:0004:affinity chromatography technology
116,Q06587,0,MI:0004:affinity chromatography technology
116,Q14781,0,MI:0004:affinity chromatography technology
116,Q8IXK0,0,MI:0004:affinity chromatography technology
116,Q8NDX5,0,MI:0004:affinity chromatography technology
116,Q96GD3,0,MI:0004:affinity chromatography technology
116,Q99496,0,MI:0004:affinity chromatography technology
116,Q9HC52,0,MI:0004:affinity chromatography technology
117,P50148,0,MI:0019:coimmunoprecipitation
117,P60033,0,MI:0019:coimmunoprecipitation
117,P62873,0,MI:0019:coimmunoprecipitation
117,Q9Y653,0,MI:0019:coimmunoprecipitation
118,P37287,0,MI:0004:affinity chromatography technology
118,Q14442,0,MI:0004:affinity chromatography technology
118,Q92535,0,MI:0004:affinity chromatography technology
118,Q9BRB3,0,MI:0004:affinity chromatography technology
120,P01374,0,MI:0019:coimmunoprecipitation
120,P36941,0,MI:0019:coimmunoprecipitation
120,Q06643,0,MI:0019:coimmunoprecipitation
123,O75817,0,MI:0096:pull down
123,O75818,0,MI:0096:pull down
123,O95059,0,MI:0096:pull down
123,O95707,0,MI:0096:pull down
123,P78345,0,MI:0096:pull down
123,P78346,0,MI:0096:pull down
123,Q969H6,0,MI:0096:pull down
123,Q99575,0,MI:0096:pull down
123,Q9BUL9,0,MI:0096:pull down
123,Q9H633,0,MI:0096:pull down
126,P17987,0,MI:0029:cosedimentation through density gradient
126,P40227,0,MI:0029:cosedimentation through density gradient
126,P48643,0,MI:0029:cosedimentation through density gradient
126,P49368,0,MI:0029:cosedimentation through density gradient
126,P50990,0,MI:0029:cosedimentation through density gradient
126,P50991,0,MI:0029:cosedimentation through density gradient
126,P78371,0,MI:0029:cosedimentation through density gradient
126,Q99832,0,MI:0029:cosedimentation through density gradient
127,O14777,0,MI:0019:coimmunoprecipitation
127,Q8NBT2,0,MI:0019:coimmunoprecipitation
127,Q9BZD4,0,MI:0019:coimmunoprecipitation
127,Q9HBM1,0,MI:0019:coimmunoprecipitation
129,P42575,0,MI:0019:coimmunoprecipitation
129,P78560,0,MI:0019:coimmunoprecipitation
129,Q9HB75,0,MI:0019:coimmunoprecipitation
138,P54274,0,MI:0071:molecular sieving
138,Q15554,0,MI:0071:molecular sieving
138,Q96AP0,0,MI:0071:molecular sieving
138,Q9BSI4,0,MI:0071:molecular sieving
138,Q9NUX5,0,MI:0071:molecular sieving
138,Q9NYB0,0,MI:0071:molecular sieving
140,P25791,0,MI:0019:coimmunoprecipitation
140,Q02577,0,MI:0019:coimmunoprecipitation
140,Q86U70,0,MI:0019:coimmunoprecipitation
140,Q9BXY8,0,MI:0019:coimmunoprecipitation
142,P35613,0,MI:0019:coimmunoprecipitation
142,P49768,0,MI:0019:coimmunoprecipitation
