split_index,seed_accepted,attempts,accepted,validation_ok,validation_problems,train_n,train_pct,test_n,test_pct,test_size_deviation_pp,size_warning,train_n_positive,test_n_positive,train_n_negative,test_n_negative,train_unknown,test_unknown,train_pos_rate_pct,test_pos_rate_pct,test_deviation_pp,warning,leakage_violations,large_test_n,medium_test_n,small_test_n,singleton_test_n,large_test_pct,medium_test_pct,small_test_pct,singleton_test_pct,large_test_rate_pct,medium_test_rate_pct,small_test_rate_pct,singleton_test_rate_pct
1,42,1,True,True,,4171,81.27,961,18.73,1.27,False,482,110,3681,849,0,0,11.58,11.47,0.09,False,0,139,218,312,290,13.2,19.6,20.8,20.0,18.0,7.3,12.5,10.3
2,2043,3,True,True,,4157,81.0,975,19.0,1.0,False,476,116,3673,857,0,0,11.47,11.92,0.36,False,0,138,235,310,290,13.1,21.1,20.7,20.0,23.9,8.1,12.6,8.6
3,1044,2,True,True,,4095,79.79,1037,20.21,0.21,False,469,123,3618,912,0,0,11.48,11.88,0.32,False,0,212,241,292,290,20.1,21.6,19.5,20.0,25.9,7.9,8.6,8.3
4,45,1,True,True,,4135,80.57,997,19.43,0.57,False,489,103,3638,892,0,0,11.85,10.35,1.21,False,0,174,234,297,290,16.5,21.0,19.8,20.0,3.4,12.0,11.8,11.7
5,2046,3,True,True,,4128,80.44,1004,19.56,0.44,False,478,114,3642,888,0,0,11.6,11.38,0.18,False,0,206,218,288,290,19.5,19.6,19.2,20.0,12.6,13.8,11.1,9.0
6,4047,5,True,True,,4140,80.67,992,19.33,0.67,False,482,110,3650,880,0,0,11.67,11.11,0.45,False,0,180,228,292,290,17.0,20.4,19.5,20.0,13.9,12.7,8.9,10.3
7,1048,2,True,True,,4164,81.14,968,18.86,1.14,False,483,109,3673,857,0,0,11.62,11.28,0.28,False,0,151,228,297,290,14.3,20.4,19.8,20.0,18.5,10.5,12.1,7.2
8,1049,2,True,True,,4105,79.99,1027,20.01,0.01,False,471,121,3626,904,0,0,11.5,11.8,0.24,False,0,228,205,302,290,21.6,18.4,20.1,20.0,18.4,4.4,14.2,9.3
9,4050,5,True,True,,4114,80.16,1018,19.84,0.16,False,467,125,3639,891,0,0,11.37,12.3,0.74,False,0,189,236,301,290,17.9,21.2,20.1,20.0,28.0,9.3,9.6,7.2
10,1051,2,True,True,,4116,80.2,1016,19.8,0.2,False,466,126,3642,888,0,0,11.34,12.43,0.87,False,0,225,205,294,290,21.3,18.4,19.6,20.0,24.9,12.7,8.5,6.6
11,2052,3,True,True,,4063,79.17,1069,20.83,0.83,False,477,115,3578,952,0,0,11.76,10.78,0.78,False,0,212,267,298,290,20.1,23.9,19.9,20.0,23.6,4.1,8.7,9.7
12,2053,3,True,True,,4068,79.27,1064,20.73,0.73,False,461,131,3599,931,0,0,11.35,12.34,0.78,False,0,219,245,308,290,20.7,22.0,20.5,20.0,25.1,9.0,11.0,6.9
13,1054,2,True,True,,4130,80.48,1002,19.52,0.48,False,466,126,3656,874,0,0,11.31,12.6,1.04,False,0,214,214,282,290,20.2,19.2,18.8,20.0,24.3,9.8,10.3,8.3
14,55,1,True,True,,4114,80.16,1018,19.84,0.16,False,476,116,3630,900,0,0,11.59,11.42,0.14,False,0,227,208,291,290,21.5,18.7,19.4,20.0,12.8,13.5,10.3,10.0
15,56,1,True,True,,4073,79.36,1059,20.64,0.64,False,469,123,3596,934,0,0,11.54,11.64,0.08,False,0,221,245,301,290,20.9,22.0,20.1,20.0,23.5,10.2,10.0,5.5
16,3057,4,True,True,,4093,79.75,1039,20.25,0.25,False,484,108,3601,929,0,0,11.85,10.41,1.15,False,0,218,229,300,290,20.6,20.5,20.0,20.0,9.6,13.5,11.7,7.2
17,1058,2,True,True,,4087,79.64,1045,20.36,0.36,False,473,119,3606,924,0,0,11.6,11.41,0.15,False,0,220,238,295,290,20.8,21.3,19.7,20.0,10.9,7.6,14.9,11.4
18,59,1,True,True,,4094,79.77,1038,20.23,0.23,False,471,121,3615,915,0,0,11.53,11.68,0.12,False,0,214,229,303,290,20.2,20.5,20.2,20.0,14.0,12.7,13.5,7.2
19,60,1,True,True,,3929,76.56,1203,23.44,3.44,False,450,142,3471,1059,0,0,11.48,11.82,0.26,False,0,393,223,295,290,37.2,20.0,19.7,20.0,16.8,5.8,14.2,7.2
20,61,1,True,True,,4060,79.11,1072,20.89,0.89,False,466,126,3586,944,0,0,11.5,11.78,0.22,False,0,272,223,285,290,25.7,20.0,19.0,20.0,13.2,12.1,14.0,7.9
21,1062,2,True,True,,4105,79.99,1027,20.01,0.01,False,484,108,3613,917,0,0,11.81,10.54,1.02,False,0,236,218,281,290,22.3,19.6,18.7,20.0,20.8,6.4,7.8,7.9
22,63,1,True,True,,4156,80.98,976,19.02,0.98,False,478,114,3670,860,0,0,11.52,11.7,0.14,False,0,190,179,315,290,18.0,16.1,21.0,20.0,27.9,5.0,10.2,6.9
23,64,1,True,True,,4080,79.5,1052,20.5,0.5,False,475,117,3597,933,0,0,11.67,11.14,0.42,False,0,206,224,330,290,19.5,20.1,22.0,20.0,16.5,8.9,10.3,10.0
24,4065,5,True,True,,4155,80.96,977,19.04,0.96,False,468,124,3679,851,0,0,11.29,12.72,1.16,False,0,205,200,280,290,19.4,17.9,18.7,20.0,25.9,11.0,9.6,7.6
25,66,1,True,True,,4077,79.44,1055,20.56,0.56,False,473,119,3596,934,0,0,11.62,11.3,0.26,False,0,244,227,292,290,23.1,20.4,19.5,20.0,13.5,10.1,12.3,9.3
26,3067,4,True,True,,4100,79.89,1032,20.11,0.11,False,473,119,3619,911,0,0,11.56,11.55,0.01,False,0,188,232,320,290,17.8,20.8,21.3,20.0,24.5,4.3,11.6,9.0
27,68,1,True,True,,4164,81.14,968,18.86,1.14,False,471,121,3685,845,0,0,11.33,12.53,0.97,False,0,152,238,286,290,14.4,21.3,19.1,20.0,17.8,13.0,14.3,7.6
28,2069,3,True,True,,4018,78.29,1114,21.71,1.71,False,477,115,3533,997,0,0,11.9,10.34,1.22,False,0,303,234,285,290,28.7,21.0,19.0,20.0,13.2,10.3,11.6,6.2
29,2070,3,True,True,,4088,79.66,1044,20.34,0.34,False,482,110,3598,932,0,0,11.81,10.56,1.0,False,0,189,245,318,290,17.9,22.0,21.2,20.0,15.9,4.5,14.2,8.3
30,71,1,True,True,,3984,77.63,1148,22.37,2.37,False,460,132,3516,1014,0,0,11.57,11.52,0.04,False,0,332,238,286,290,31.4,21.3,19.1,20.0,15.4,10.1,12.2,7.6
31,1072,2,True,True,,4052,78.96,1080,21.04,1.04,False,454,138,3590,940,0,0,11.23,12.8,1.24,False,0,262,222,304,290,24.8,19.9,20.3,20.0,25.6,4.5,11.8,8.6
32,2073,3,True,True,,3998,77.9,1134,22.1,2.1,False,466,126,3524,1006,0,0,11.68,11.13,0.43,False,0,309,234,299,290,29.2,21.0,19.9,20.0,19.4,7.7,10.0,6.2
33,74,1,True,True,,4058,79.07,1074,20.93,0.93,False,456,136,3594,936,0,0,11.26,12.69,1.13,False,0,273,196,313,290,25.8,17.6,20.9,20.0,17.2,10.2,16.0,6.6
34,3075,4,True,True,,4073,79.36,1059,20.64,0.64,False,480,112,3585,945,0,0,11.81,10.6,0.96,False,0,231,235,301,290,21.9,21.1,20.1,20.0,16.0,10.6,7.6,9.3
35,1076,2,True,True,,3993,77.81,1139,22.19,2.19,False,445,147,3540,990,0,0,11.17,12.93,1.37,False,0,323,235,289,290,30.6,21.1,19.3,20.0,19.8,8.5,15.2,6.6
36,77,1,True,True,,4111,80.11,1021,19.89,0.11,False,484,108,3619,911,0,0,11.8,10.6,0.96,False,0,205,215,309,290,19.4,19.3,20.6,20.0,17.1,3.3,12.9,9.0
37,78,1,True,True,,4110,80.09,1022,19.91,0.09,False,480,112,3622,908,0,0,11.7,10.98,0.58,False,0,199,221,310,290,18.8,19.8,20.7,20.0,25.6,2.7,11.9,6.2
38,1079,2,True,True,,4093,79.75,1039,20.25,0.25,False,478,114,3607,923,0,0,11.7,10.99,0.57,False,0,210,225,312,290,19.9,20.2,20.8,20.0,9.5,10.7,11.5,11.7
39,1080,2,True,True,,4134,80.55,998,19.45,0.55,False,464,128,3662,868,0,0,11.25,12.85,1.29,False,0,221,192,293,290,20.9,17.2,19.5,20.0,18.6,13.0,12.3,9.0
