split_index,seed_accepted,attempts,accepted,validation_ok,validation_problems,train_n,train_pct,test_n,test_pct,test_size_deviation_pp,size_warning,train_n_positive,test_n_positive,train_n_negative,test_n_negative,train_unknown,test_unknown,train_pos_rate_pct,test_pos_rate_pct,test_deviation_pp,warning,leakage_violations,large_test_n,medium_test_n,small_test_n,singleton_test_n,large_test_pct,medium_test_pct,small_test_pct,singleton_test_pct,large_test_rate_pct,medium_test_rate_pct,small_test_rate_pct,singleton_test_rate_pct
41,82,1,True,True,,4165,81.16,967,18.84,1.16,False,718,158,3385,793,56,14,17.5,16.61,0.72,False,0,159,221,295,290,15.0,19.8,19.7,20.0,16.4,21.8,15.4,14.1
42,83,1,True,True,,4116,80.2,1016,19.8,0.2,False,743,133,3312,866,55,15,18.32,13.31,4.02,False,0,183,237,304,290,17.3,21.3,20.3,20.0,14.9,12.8,14.8,11.2
43,84,1,True,True,,4121,80.3,1011,19.7,0.3,False,675,201,3389,789,51,19,16.61,20.3,2.97,False,0,200,216,303,290,18.9,19.4,20.2,20.0,43.1,23.5,11.3,12.5
44,85,1,True,True,,4066,79.23,1066,20.77,0.77,False,675,201,3335,843,50,20,16.83,19.25,1.92,False,0,263,221,290,290,24.9,19.8,19.3,20.0,26.7,31.6,11.1,11.6
45,86,1,True,True,,4109,80.07,1023,19.93,0.07,False,713,163,3336,842,54,16,17.61,16.22,1.11,False,0,196,237,298,290,18.5,21.3,19.9,20.0,21.1,19.7,11.6,14.8
46,1087,2,True,True,,4140,80.67,992,19.33,0.67,False,718,158,3359,819,57,13,17.61,16.17,1.16,False,0,200,219,281,290,18.9,19.6,18.7,20.0,13.3,22.5,14.6,14.8
47,88,1,True,True,,4108,80.05,1024,19.95,0.05,False,714,162,3331,847,57,13,17.65,16.06,1.27,False,0,212,227,293,290,20.1,20.4,19.5,20.0,11.9,25.6,16.1,11.6
48,89,1,True,True,,4031,78.55,1101,21.45,1.45,False,701,175,3262,916,62,8,17.69,16.04,1.29,False,0,320,186,303,290,30.3,16.7,20.2,20.0,16.6,17.3,16.9,13.7
49,1090,2,True,True,,4166,81.18,966,18.82,1.18,False,724,152,3380,798,56,14,17.64,16.0,1.33,False,0,141,236,297,290,13.3,21.2,19.8,20.0,3.6,29.1,13.6,14.0
50,91,1,True,True,,4055,79.01,1077,20.99,0.99,False,727,149,3265,913,57,13,18.21,14.03,3.3,False,0,282,207,296,290,26.7,18.6,19.7,20.0,12.3,16.7,15.2,12.6
