ProteinId,pair_Degree,pair_LocalClustCoeff,pair_TriangleCount,pair_ComponentSize,pair_EigenvectorCentrality,pair_BetweennessCentrality,pair_KatzCentrality,pair_AvgNeighborDegree
A0AVF1,9,1.0,36,4274,1.7064922295894855e-14,0.0,0.005675956852943389,9.555555555555555
A0FGR8,1,0.0,0,3,2.4277998741450676e-36,0.0,0.005407428685767276,2.0
A0FGR9,1,0.0,0,3,2.4277998741450676e-36,0.0,0.005407428685767276,2.0
A0JLT2,32,0.9879032258064516,490,4274,0.00012166434394019315,1.0387271306970847e-07,0.00677862814838629,41.125
A1A4S6,2,1.0,1,4274,9.224191379586729e-06,0.0,0.0054589690530958135,34.5
A1Z199,2,1.0,1,4274,3.474086135853835e-08,0.0,0.005450260622032565,29.0
A2A288,1,0.0,0,4274,4.691864698527931e-09,0.0,0.005407663233954842,3.0
A2RRP1,3,1.0,3,4274,1.1449398046341187e-07,0.0,0.0054732353749595885,5.333333333333333
A3KN83,4,0.3333333333333333,2,4274,4.048914685410567e-06,4.773280760229531e-05,0.005516419882776517,13.5
A4D0T7,2,0.0,0,4274,1.4948989375938234e-06,4.491904938150704e-05,0.005452655089140221,30.0
A5D8V6,5,1.0,10,4274,3.899450449671226e-06,0.0,0.005545626418696766,10.2
A5D8V7,3,1.0,3,4,4.172381456116486e-32,0.0,0.005471775585519779,3.0
A5PLN9,11,1.0,55,4274,6.643373647785578e-10,0.0,0.0057573484576815236,15.818181818181818
A5X5Y0,1,0.0,0,5,1.3231505883628637e-34,0.0,0.0054078004069108175,4.0
A5YKK6,13,0.6410256410256411,50,4274,2.4140502505960118e-09,0.0034456140350877197,0.005808201093710919,9.0
A6H8Y1,8,1.0,28,4274,5.346044472096095e-05,0.0,0.005698631416265258,19.5
A6ND01,1,0.0,0,2,7.958186065896007e-38,0.0,0.00540724284435836,1.0
A6NED2,1,0.0,0,2,7.958186065896007e-38,0.0,0.00540724284435836,1.0
A6NFQ2,1,0.0,0,3,2.4277998741450676e-36,0.0,0.005407428685767276,2.0
A6NGQ2,3,1.0,3,4,4.172381456116486e-32,0.0,0.005471775585519779,3.0
A6NIX2,1,0.0,0,4274,3.0215323359899802e-06,0.0,0.005417036821393377,37.0
A6NKF1,12,1.0,66,4274,6.848313475478913e-06,0.0,0.005803948201049276,17.75
A7MCY6,7,1.0,21,4274,5.8840845769067173e-05,0.0,0.00571591782143299,48.42857142857143
A8K0Z3,19,0.6198830409356725,106,4274,1.4591955320357965e-07,0.00038934995614780144,0.0060342352864436195,15.421052631578947
A8K8P3,29,1.0,406,4274,0.01093241346212544,0.0,0.01429852679943274,157.31034482758622
A8MT69,3,1.0,3,4274,2.0565878243929486e-06,0.0,0.00548093834352952,14.0
A8MTZ0,7,1.0,21,4274,2.2356169449640657e-09,0.0,0.005608866139784349,9.285714285714286
A9UF07,4,1.0,6,4274,1.1634803004613292e-06,0.0,0.005516984260598872,17.75
B4DGM9,1,0.0,0,4274,1.031703653094304e-09,0.0,0.005408200714373767,6.0
D6RGH6,2,1.0,1,4274,5.69570330050095e-07,0.0,0.005441205201308323,5.0
D9YZV4,1,0.0,0,4274,4.1221849420131925e-07,0.0,0.005412877713417596,27.0
E9PGT3,1,0.0,0,4274,3.792260031038061e-09,0.0,0.00540997563884015,15.0
O00116,1,0.0,0,2,7.958186065896007e-38,0.0,0.00540724284435836,1.0
O00139,6,1.0,15,4274,4.905450243555497e-07,0.0,0.00557646465454338,9.833333333333334
O00141,2,1.0,1,4274,2.7944557058839668e-05,0.0,0.005468553571224021,26.0
O00148,147,0.7908862175006989,8487,4274,0.06532365580271972,0.0010201175722882217,0.05740523639107662,168.75510204081633
O00151,2,1.0,1,4274,9.383378927202405e-06,0.0,0.005463000418173661,44.0
O00159,8,1.0,28,4274,0.0008907622472631345,0.0,0.006376008301956549,75.0
O00161,10,0.2222222222222222,10,4274,8.621218768908226e-09,0.0013302686406749418,0.005702431746639209,6.1
O00165,8,0.32142857142857145,9,4274,0.00011185740502734155,0.00015636739226765025,0.005759156152554436,22.125
O00170,2,0.0,0,4274,2.267687933310731e-12,0.0003251461988304094,0.005441005469369324,6.5
O00187,2,1.0,1,3,1.764200784989786e-34,0.0,0.005439317815562892,2.0
O00189,3,1.0,3,4,4.172381456116486e-32,0.0,0.005471775585519779,3.0
O00203,27,0.41595441595441596,146,4274,1.230276402792024e-06,0.001294287864542101,0.006311367176150521,15.296296296296296
O00206,12,0.12121212121212122,8,4274,8.660981952648523e-07,0.0008543691297380768,0.005769148044373734,6.166666666666667
O00212,2,0.0,0,4274,5.407170868567398e-10,0.0013005847953216376,0.005439330372377251,2.0
O00213,5,0.4,4,4274,6.901008427738283e-05,0.0005203974711338125,0.005636865115483743,52.4
O00217,43,1.0,903,4274,8.464784661503189e-09,0.0,0.00720083821584694,44.13953488372093
O00219,1,0.0,0,3,2.4277998741450676e-36,0.0,0.005407428685767276,2.0
O00221,14,0.9010989010989011,82,4274,4.8947439830994e-05,5.60072975479564e-06,0.005997104382577845,43.142857142857146
O00222,2,0.0,0,4274,1.5811871368647944e-13,5.406107862248196e-05,0.00543988451409164,3.5
O00231,35,1.0,595,4274,5.328388071739277e-06,0.0,0.006778476359280322,36.285714285714285
O00232,35,1.0,595,4274,5.328388071739277e-06,0.0,0.006778476359280322,36.285714285714285
O00233,35,1.0,595,4274,5.328388071739277e-06,0.0,0.006778476359280322,36.285714285714285
O00254,6,0.6666666666666666,10,4274,2.3321718439832272e-07,0.00039685331969292493,0.005583237070871085,15.333333333333334
O00255,13,0.7307692307692307,57,4274,0.0001616025061614788,2.951443009447022e-05,0.006025631914643968,43.61538461538461
O00257,31,0.4967741935483871,231,4274,0.0002777163405130281,0.0002242347401577756,0.006842040586275162,42.225806451612904
O00264,1,0.0,0,4274,1.984721876996855e-11,0.0,0.005408382665771829,7.0
O00267,5,0.6,6,4274,0.0007134313162576564,0.00016250825237219078,0.006109775457155391,88.4
O00268,48,0.5026595744680851,567,4274,0.002565744622726358,0.00014737823500182007,0.00917813677329284,57.0625
O00270,1,0.0,0,4274,3.9305244890387904e-08,0.0,0.005408445783904885,7.0
O00287,2,1.0,1,3,1.764200784989786e-34,0.0,0.005439317815562892,2.0
O00291,2,0.0,0,4274,1.2698490225048109e-05,0.0010971919108934516,0.005471848341957173,61.0
O00300,2,0.0,0,4274,2.098198761573571e-09,3.6784405708523335e-05,0.005440107196036138,4.0
O00303,13,0.8461538461538461,66,4274,1.7201048037007288e-05,0.00021964374279827587,0.005832507429683468,13.692307692307692
O00311,1,0.0,0,2,7.958186065896007e-38,0.0,0.00540724284435836,1.0
O00327,8,0.2857142857142857,8,4274,1.4167699760123784e-05,0.00035923441649886545,0.005667906727375516,18.375
O00329,2,0.0,0,4274,3.5279462486278534e-07,0.0005264952844973256,0.005447172226111592,20.0
O00401,12,0.5757575757575758,38,4274,2.743375199498785e-05,0.00019324816963206727,0.005815062880014992,17.25
O00408,2,0.0,0,4274,1.4768299366223182e-14,0.0001625730994152047,0.005439140772075575,1.5
O00410,1,0.0,0,4274,3.052955390516274e-05,0.0,0.005441493911981726,64.0
O00422,55,0.4861952861952862,722,4274,0.0065066404875314555,0.00015487971127155098,0.012415419104665263,88.2909090909091
O00429,6,0.26666666666666666,4,4274,6.821150003558863e-06,0.0003634563177039454,0.005587688784660476,15.0
O00443,3,1.0,3,4274,6.66314016236658e-08,0.0,0.005483415343316153,22.333333333333332
O00444,2,0.0,0,3,3.4334275087436514e-36,0.0,0.005438943927977119,1.0
O00451,2,1.0,1,4274,2.2824556024617883e-12,0.0,0.005441016465254109,6.5
O00459,2,0.0,0,4274,6.624090653402152e-09,1.2467967633754921e-06,0.005441521000845928,7.5
O00469,1,0.0,0,2,7.958186065896007e-38,0.0,0.00540724284435836,1.0
O00470,7,0.2857142857142857,6,4274,3.145392462157209e-14,0.0002483430799220273,0.005600694368861261,3.4285714285714284
O00471,7,1.0,21,8,2.1875295288643987e-26,0.0,0.005605575059593362,7.0
O00472,10,1.0,45,4274,3.540785826733334e-05,0.0,0.005750403202335618,17.1
O00482,5,0.4,4,4274,0.0004594327532392429,5.761211225928477e-06,0.0059102555674442015,56.6
O00483,61,0.5765027322404371,1055,4274,6.293415281841788e-08,0.00043920722626702264,0.0078410062121885,36.704918032786885
O00487,35,1.0,595,4274,5.328388071739277e-06,0.0,0.006778476359280322,36.285714285714285
O00499,2,1.0,1,4274,2.0948472270172888e-09,0.0,0.0054408815376463205,6.0
O00505,22,0.38095238095238093,88,4274,0.00031532808041621587,0.0007474169330647803,0.006538515549473864,46.54545454545455
O00512,1,0.0,0,4274,9.164101629859426e-06,0.0,0.005426966913688152,67.0
O00522,6,0.26666666666666666,4,4274,1.0074820342084812e-06,0.0004012308098791262,0.005572860436948035,6.0
O00541,3,1.0,3,4,4.172381456116486e-32,0.0,0.005471775585519779,3.0
O00548,7,0.3333333333333333,7,4274,9.241326024376919e-06,0.00039689380754458166,0.005623017586696882,14.571428571428571
O00555,4,0.3333333333333333,2,4274,2.4235770304542907e-06,0.0003333168041419467,0.005526687170660901,29.75
O00560,5,0.3,3,4274,2.502781662996818e-07,0.00015644861319639446,0.005546644371547574,13.4
O00562,1,0.0,0,4274,1.7497387354109008e-08,0.0,0.005411910727828395,24.0
O00566,2,1.0,1,3,1.764200784989786e-34,0.0,0.005439317815562892,2.0
