group_size,n_groups,n_proteins,n_drug_target,target_rate_pct
1,940,940,92,9.79
2,196,392,34,8.67
3,76,228,15,6.58
4,38,152,26,17.11
5,40,200,26,13.0
6,27,162,12,7.41
7,20,140,22,15.71
8,13,104,14,13.46
9,11,99,17,17.17
10,9,90,5,5.56
11,7,77,8,10.39
12,8,96,7,7.29
13,8,104,11,10.58
14,7,98,7,7.14
15,2,30,5,16.67
16,8,128,15,11.72
17,3,51,3,5.88
18,4,72,12,16.67
19,4,76,18,23.68
20,2,40,1,2.5
21,4,84,1,1.19
22,3,66,4,6.06
23,1,23,0,0.0
24,3,72,1,1.39
25,4,100,36,36.0
28,1,28,3,10.71
30,2,60,3,5.0
31,1,31,6,19.35
34,1,34,2,5.88
36,1,36,0,0.0
41,3,123,18,14.63
44,1,44,18,40.91
48,1,48,0,0.0
49,1,49,14,28.57
51,1,51,4,7.84
52,1,52,1,1.92
53,1,53,13,24.53
56,1,56,0,0.0
59,1,59,2,3.39
71,1,71,6,8.45
74,1,74,1,1.35
82,1,82,0,0.0
91,1,91,33,36.26
117,1,117,30,25.64
119,1,119,36,30.25
220,1,220,10,4.55
