ProteinId,base_Degree,base_LocalClustCoeff,protein_NumSubgroups,protein_AvgSubgroupSize,base_ComponentSize,base_ComponentEdgeNodeRatio,base_TriangleCount,stoich_WeightedTriangles,base_UniquePartners,stoich_ProtStoichSum,stoich_ProtAvgStoich,stoich_ProtMaxStoich,stoich_MedianRatio,stoich_RangeRatio,stoich_MinComplexSize,stoich_MaxComplexSize,stoich_AvgComplexSize,stoich_MedComplexSize,stoich_RangeComplexSize,protein_MinComplexNodes,protein_MaxComplexNodes,protein_AvgComplexNodes,protein_MedComplexNodes,protein_RangeComplexNodes,base_BetweennessCentrality,base_EigenvectorCentrality,base_KatzCentrality,protein_NormUniqueSum,protein_AvgUniqueRatio,protein_MaxUniqueRatio,protein_RangeUniqueRatio,protein_MedianUniqueRatio,base_AvgNeighbourDegree,stoich_AvgNeighbourDegreeStoich
P41182,6,0.09333333333333332,0,0.0,4274,1.1649508656995788,6,0.0,9,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,2,5,2.5,2.0,3,0.0006293425585323899,0.0004007585315265184,0.006591166459675283,2.7,0.45,0.5,0.3,0.5,11.583333333333334,0.0
P56524,10,0.06666666666666667,0,0.0,4274,1.1649508656995788,1,0.0,11,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,2,3,2.1,2.0,1,0.0025108306829379973,1.5254266872563443e-05,0.007420549165063521,4.833333333333334,0.4833333333333333,0.5,0.16666666666666669,0.5,12.6,0.0
Q9UQL6,8,0.07142857142857142,0,0.0,4274,1.1649508656995788,1,0.0,9,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,2,3,2.125,2.0,1,0.002078577856669196,1.2983488600054324e-05,0.006870459326615636,3.8333333333333335,0.47916666666666663,0.5,0.16666666666666669,0.5,15.5,0.0
Q8WUI4,7,0.11428571428571428,0,0.0,4274,1.1649508656995788,7,0.0,10,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,2,5,2.5714285714285716,2.0,3,0.0007509251703282172,5.041065916221583e-05,0.006661382911594075,3.033333333333333,0.4333333333333333,0.5,0.3,0.5,17.857142857142858,0.0
Q09472,30,0.15769008554117928,2,11.0,4274,1.1649508656995788,404,0.0,69,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,2,18,4.633333333333334,3.0,16,0.009794476845416594,0.004207695306701708,0.019208279635144286,9.397557997557996,0.3132519332519332,0.5,0.4444444444444444,0.3333333333333333,18.844313725490192,0.0
Q92793,26,0.2410278543927032,2,6.5,4274,1.1649508656995788,230,3.58351893845611,55,1.7999999999999998,0.44999999999999996,0.5,0.45,0.09999999999999998,5,6,5.5,5.5,1,2,13,4.6923076923076925,4.0,11,0.009065366999235632,0.007723317070972807,0.018723009680703756,7.3987484737484746,0.28456724899032587,0.5,0.4230769230769231,0.25,20.649603174603175,25.06666666666667
Q92831,12,0.17060149199186633,2,6.5,4274,1.1649508656995788,173,0.0,38,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,2,13,5.75,4.0,11,0.0025660515630187525,0.0030265985244464057,0.011117306971163912,2.8297008547008553,0.23580840455840457,0.5,0.4230769230769231,0.25,16.268584656084656,0.0
Q9Y6Q9,17,0.2838733978439861,0,0.0,4274,1.1649508656995788,62,0.0,29,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,2,10,3.2941176470588234,3.0,8,0.0029149420408875744,0.0017491376393506586,0.011491530097082264,6.409523809523809,0.37703081232492996,0.5,0.4,0.3333333333333333,32.369281045751634,0.0
O95347,7,0.03679653679653679,2,5.0,4274,1.1649508656995788,64,0.0,18,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,2,8,5.285714285714286,5.0,6,0.0005909482621011704,0.00038728971281569565,0.007247793933737099,1.6440476190476188,0.23486394557823126,0.5,0.375,0.2,8.921768707482993,0.0
Q15003,2,0.0,1,5.0,4274,1.1649508656995788,21,0.0,6,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,5,7,6.0,6.0,2,1.2365526856266238e-05,8.244849206082483e-06,0.0052597542602161275,0.34285714285714286,0.17142857142857143,0.2,0.05714285714285716,0.17142857142857143,7.291666666666667,0.0
Q15021,2,0.0,1,5.0,4274,1.1649508656995788,21,0.0,6,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,5,7,6.0,6.0,2,1.2365526856266238e-05,8.244849206082483e-06,0.0052597542602161275,0.34285714285714286,0.17142857142857143,0.2,0.05714285714285716,0.17142857142857143,7.291666666666667,0.0
Q9BPX3,2,0.0,1,5.0,4274,1.1649508656995788,21,0.0,6,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,5,7,6.0,6.0,2,1.2365526856266238e-05,8.244849206082483e-06,0.0052597542602161275,0.34285714285714286,0.17142857142857143,0.2,0.05714285714285716,0.17142857142857143,7.291666666666667,0.0
