group_size,n_groups,n_proteins,n_positive,pos_rate_pct
1,1451,1451,128,8.82
2,286,572,52,9.09
3,138,414,37,8.94
4,67,268,37,13.81
5,49,245,39,15.92
6,21,126,7,5.56
7,19,133,9,6.77
8,21,168,21,12.5
9,9,81,12,14.81
10,8,80,12,15.0
11,6,66,4,6.06
12,8,96,6,6.25
13,4,52,4,7.69
14,4,56,4,7.14
15,1,15,0,0.0
16,5,80,10,12.5
17,2,34,0,0.0
18,5,90,2,2.22
19,2,38,2,5.26
21,1,21,8,38.1
23,2,46,2,4.35
24,1,24,0,0.0
25,1,25,0,0.0
26,1,26,6,23.08
27,3,81,3,3.7
28,1,28,16,57.14
33,1,33,0,0.0
37,1,37,15,40.54
40,2,80,6,7.5
42,1,42,0,0.0
48,1,48,1,2.08
55,1,55,12,21.82
61,1,61,5,8.2
81,1,81,0,0.0
85,1,85,1,1.18
86,1,86,36,41.86
90,1,90,65,72.22
108,1,108,55,50.93
