split_index,seed_accepted,attempts,accepted,train_n,train_pct,test_n,test_pct,test_size_deviation_pp,size_warning,train_drug_target,test_drug_target,train_non_target,test_non_target,train_unknown,test_unknown,train_pos_rate_pct,test_pos_rate_pct,test_deviation_pp,warning,leakage_violations,large_test_n,medium_test_n,small_test_n,singleton_test_n,large_test_pct,medium_test_pct,small_test_pct,singleton_test_pct,large_test_rate_pct,medium_test_rate_pct,small_test_rate_pct,singleton_test_rate_pct
1,42,1,True,4051,78.94,1081,21.06,1.06,False,471,121,3572,958,0,0,11.65,11.21,0.35,False,0,421,273,197,188,22.8,20.0,20.3,20.0,10.2,14.7,11.7,8.0
2,43,1,True,4159,81.04,973,18.96,1.04,False,481,111,3670,860,0,0,11.59,11.43,0.13,False,0,285,309,189,188,15.5,22.6,19.4,20.0,18.9,7.4,10.1,8.0
3,2044,3,True,4104,79.97,1028,20.03,0.03,False,470,122,3626,904,0,0,11.47,11.89,0.33,False,0,369,272,197,188,20.0,19.9,20.3,20.0,16.5,14.0,5.1,6.9
4,45,2,True,4139,80.65,993,19.35,0.65,False,425,167,3706,824,0,0,10.29,16.85,5.29,True,0,331,287,185,188,18.0,21.0,19.0,20.0,22.7,15.7,13.0,12.2
5,46,1,True,4077,79.44,1055,20.56,0.56,False,482,110,3587,943,0,0,11.85,10.45,1.11,False,0,366,305,194,188,19.9,22.3,20.0,20.0,18.0,4.6,8.8,6.9
6,47,1,True,4172,81.29,960,18.71,1.29,False,481,111,3683,847,0,0,11.55,11.59,0.03,False,0,246,318,206,188,13.3,23.3,21.2,20.0,15.4,9.4,12.6,9.0
7,48,1,True,4226,82.35,906,17.65,2.35,False,499,93,3719,811,0,0,11.83,10.29,1.27,False,0,284,253,179,188,15.4,18.5,18.4,20.0,12.3,7.5,11.2,10.1
8,49,1,True,3987,77.69,1145,22.31,2.31,False,450,142,3529,1001,0,0,11.31,12.42,0.86,False,0,455,301,199,188,24.7,22.0,20.5,20.0,13.4,15.9,9.0,8.0
9,50,4,True,4110,80.09,1022,19.91,0.09,False,505,87,3597,933,0,0,12.31,8.53,3.03,True,0,366,282,184,188,19.9,20.6,18.9,20.0,6.0,8.2,12.0,10.6
10,3051,4,True,4104,79.97,1028,20.03,0.03,False,480,112,3616,914,0,0,11.72,10.92,0.64,False,0,412,233,193,188,22.4,17.0,19.9,20.0,13.6,11.6,7.3,8.0
11,52,3,True,4099,79.87,1033,20.13,0.13,False,513,79,3578,952,0,0,12.54,7.66,3.9,True,0,363,286,194,188,19.7,20.9,20.0,20.0,9.9,4.9,6.7,8.5
12,53,1,True,3905,76.09,1227,23.91,3.91,False,445,147,3452,1078,0,0,11.42,12.0,0.44,False,0,545,291,201,188,29.6,21.3,20.7,20.0,12.1,12.7,10.9,11.7
13,54,4,True,4102,79.93,1030,20.07,0.07,False,449,143,3645,885,0,0,10.97,13.91,2.35,True,0,359,291,190,188,19.5,21.3,19.5,20.0,15.0,12.4,15.3,12.8
14,2055,3,True,4025,78.43,1107,21.57,1.57,False,474,118,3543,987,0,0,11.8,10.68,0.88,False,0,450,268,199,188,24.4,19.6,20.5,20.0,11.1,11.6,7.0,12.2
15,1056,3,True,4146,80.79,986,19.21,0.79,False,496,96,3642,888,0,0,11.99,9.76,1.8,True,0,318,282,196,188,17.3,20.6,20.2,20.0,11.6,8.9,8.2,9.6
