feature,statistic,pvalue,significant,pvalue_corrected
base_AvgNeighbourDegree,-1.485773584921626,0.13733901933985385,False,1.0
base_ComponentEdgeNodeRatio,1.995298255995132,0.04601036001017934,False,0.6441450401425107
base_ComponentSize,3.211455837287562,0.0013206426739321478,True,0.01848899743505007
base_BetweennessCentrality,8.196568033385972,2.4734731696390956e-16,True,3.462862437494734e-15
protein_RangeUniqueRatio,8.490272784156957,2.0615263567441688e-17,True,2.8861368994418365e-16
base_LocalClustCoeff,10.125333042658086,4.265242044619697e-24,True,5.971338862467575e-23
base_Degree,11.056213756744178,2.045510963581536e-28,True,2.8637153490141507e-27
protein_RangeComplexNodes,19.50381323000141,1.0189466962467737e-84,True,1.4265253747454831e-83
base_KatzCentrality,20.18984040981567,1.2025222926916225e-90,True,1.6835312097682716e-89
base_EigenvectorCentrality,22.10349116032705,2.9255015680956533e-108,True,4.0957021953339144e-107
base_UniquePartners,24.735164540022552,4.477926362582882e-135,True,6.269096907616035e-134
protein_MedianUniqueRatio,-25.686307767535563,1.662588536894793e-145,True,2.3276239516527102e-144
protein_MedComplexNodes,25.718951515641162,7.175442512718019e-146,True,1.0045619517805227e-144
base_TriangleCount,26.76041165526098,9.342016884789528e-158,True,1.307882363870534e-156
