feature,statistic,pvalue,significant,pvalue_corrected
pair_BetweennessCentrality,3.3477708479978547,0.0008146434070892428,True,0.006517147256713943
pair_LocalClustCoeff,6.548741118128008,5.802411511371237e-11,True,4.6419292090969897e-10
pair_ComponentSize,9.754159239490395,1.770617021823374e-22,True,1.4164936174586992e-21
pair_AvgNeighborDegree,11.651543816108012,2.253390859442227e-31,True,1.8027126875537814e-30
pair_EigenvectorCentrality,13.133817098254594,2.1075911081394242e-39,True,1.6860728865115394e-38
pair_KatzCentrality,17.512737379989726,1.1455064303918706e-68,True,9.164051443134964e-68
pair_Degree,18.716987729315733,3.599392664681016e-78,True,2.8795141317448127e-77
pair_TriangleCount,18.791849148122974,8.805693973299803e-79,True,7.044555178639842e-78
