feature,mean,std,median,n,is_noise
stoich_MedianRatio,0.04308546283467753,0.0268851049107928,0.04329745253321419,150,False
base_Degree,0.034102778433236156,0.02347874323251981,0.03295836778496921,150,False
stoich_MedComplexSize,0.02466241140487969,0.02042198173603126,0.025478371863552392,150,False
protein_MedianUniqueRatio,0.020047394294535135,0.02133408675194312,0.020022362302381205,150,False
stoich_RangeComplexSize,0.019441428768621847,0.018983724512558375,0.019399098275753167,150,False
stoich_RangeRatio,0.01684267933122997,0.016863833730509616,0.01612545438746591,150,False
protein_MedComplexNodes,0.013380387616957895,0.01794005305149471,0.011775758938576401,150,False
stoich_AvgNeighbourDegreeStoich,0.012110692178407085,0.01755871161238643,0.009980461348330399,150,False
protein_RangeUniqueRatio,0.010355105024327835,0.016267462466251718,0.011450702993894519,150,False
base_AvgNeighbourDegree,0.008947992565388127,0.015686720556741727,0.007886643275129893,150,False
base_UniquePartners,0.008617952864941023,0.015778677566389277,0.008576191470804575,150,False
stoich_WeightedTriangles,0.007054521608977457,0.012424448997880196,0.006148728910301443,150,False
base_TriangleCount,0.005809733032475491,0.011343163120300995,0.005130317767332758,150,False
base_LocalClustCoeff,0.005754820854336376,0.0069290094955139995,0.005837658701809183,150,False
protein_RangeComplexNodes,0.0012053864825987682,0.010836133269275171,0.001293646997397631,150,False
[noise × 5],0.0003288863127740191,0.0164586498770468,-4.848835620521463e-05,750,True
rand_0,0.0005689671758786661,0.016855341488570662,-0.0005874100049334946,150,True
rand_1,-0.00037949607804445377,0.015401675853314738,0.0011976846302229158,150,True
rand_2,0.0008124217121109322,0.017173716482496455,-0.00027112424592597856,150,True
rand_3,-0.0004188999801394223,0.016013010358720905,0.0001527547275409158,150,True
rand_4,0.0010614387340643736,0.0167296000016381,-0.0004633205920845332,150,True
