split_index,seed_index,noise_seed,n_train,n_test,rand_pr_auc,pair_pr_auc,hyper_pr_auc,rand_f1,pair_f1,hyper_f1,rand__rand_0,rand__rand_1,rand__rand_2,rand__rand_3,rand__rand_4,pair__pair_Degree,pair__pair_LocalClustCoeff,pair__pair_TriangleCount,pair__pair_AvgNeighborDegree,pair__rand_0,pair__rand_1,pair__rand_2,pair__rand_3,pair__rand_4,hyper__base_Degree,hyper__base_LocalClustCoeff,hyper__base_TriangleCount,hyper__base_UniquePartners,hyper__base_AvgNeighbourDegree,hyper__stoich_WeightedTriangles,hyper__stoich_AvgNeighbourDegreeStoich,hyper__stoich_RangeComplexSize,hyper__stoich_MedComplexSize,hyper__stoich_MedianRatio,hyper__stoich_RangeRatio,hyper__protein_MedianUniqueRatio,hyper__protein_RangeUniqueRatio,hyper__protein_MedComplexNodes,hyper__protein_RangeComplexNodes,hyper__rand_0,hyper__rand_1,hyper__rand_2,hyper__rand_3,hyper__rand_4
1,0,1042,2773,615,0.04399316030738591,0.08730443670494262,0.2927920577386895,0.045112781954887216,0.14925373134328357,0.23529411764705882,-0.004491364139539046,-0.00761304030871403,-0.004178903958422818,0.004633040419192654,-0.00771004421075854,0.0075073697882814695,0.016633103711560848,-0.006574512394031733,0.004519393627807842,-0.002811055614015896,-0.02524229604047721,-0.009718038642785096,0.0029049360086299365,-0.011158186875043132,0.0891424026926547,0.0192011272598347,0.008415828501780636,0.04243719125576014,0.05497893080917441,0.03436374277960198,0.05148972636272261,0.039953701033146945,0.037978359730187095,0.04325028775650215,0.041763819956487494,0.05292241992624465,0.018808158675769276,0.037903969563702185,-3.9868676038695705e-05,0.020965971382936176,0.009927891687983189,0.011938111685730557,0.028457297280765896,-0.019175438512128957
1,1,1043,2773,615,0.0316175908409658,0.07632325254737365,0.2142007787876826,0.0,0.08695652173913043,0.13793103448275862,-0.0014062143239457372,-0.004412738750592239,-9.6767960607861e-05,-0.004860035332022709,-0.0023066484726238,0.009048463012863347,0.012967007515811946,-0.0063543522747272554,0.01058609567135131,-0.010193924675675961,-0.01280212578204914,0.006112682967124695,-0.027127222677390334,-0.0010314109163708132,0.0013975862140992751,0.003750990890711181,-0.011490497257961696,0.00855124466452616,0.03999742705734505,0.012264079842471942,0.010424934039846376,0.027053480573970744,0.013833456030351774,-0.006762124773997039,0.02525421598650838,0.008908748512757742,0.015546162982260572,-0.010794873447558273,-0.01068330271521103,-0.01840796711188835,-0.008888391345822205,-0.00818300880940315,-0.035256294726507764,0.013484407951236246
1,2,1044,2773,615,0.04515687679353469,0.28356073873773185,0.3224843721678686,0.08403361344537816,0.16,0.16,-0.0039970928134630945,0.0024766973861357136,0.004831209779243584,-0.010728494735486257,0.0031135681694292017,0.14818487536337388,0.14916683092893207,0.05324061176796646,0.12554129735725766,0.060911870988387254,0.05746967571850492,0.013614565385022311,0.038819990868453724,0.05185901273557938,0.020078957969016736,-0.009923391218455969,-0.012272876835832836,-0.0003118596788372785,0.002506951379739031,-0.016371282972202184,0.002942164797706154,0.03298218973950998,0.036833589359077525,0.04502790995608439,0.029443711831887886,0.027478273623319914,0.021065220985543566,0.017218346382408288,-0.007548798835256843,0.010814054004040929,0.007155061212911745,0.0018881951121002272,0.021781701983059343,0.016491172569720908
1,3,1045,2773,615,0.14912093052223,0.13606561958073016,0.19886978979532458,0.07142857142857142,0.2,0.17582417582417584,0.079072678733004,0.03698347755792021,0.037602648704872205,0.06314542826902785,0.085847507249311,0.05010012193284721,0.05156960782160587,0.030020532073185197,0.025588714031594316,0.016771111447961354,0.0036450364382342422,-0.008557413630131929,-0.04090378311525315,0.00996582065700068,0.017892441627011438,0.0068486383330862545,0.012026519038508477,0.020199610804083147,0.013324948311734692,0.006781073992979741,0.014169877085541058,0.0053149300988185825,0.03930009303633168,0.03577270526475221,0.0039665924795154045,0.030338662820684703,0.0008721826567867075,0.009913107465630778,-0.006808211861146343,-0.0022730865420628075,0.003821731426165695,-0.004329925085607372,-0.024621640599924437,-0.006646863689305016
1,4,1046,2773,615,0.03672422786400903,0.11909517275731567,0.18228306144211087,0.0,0.20454545454545456,0.1787709497206704,-0.009075886244920329,-0.013339129618165598,-0.02753486132124113,6.30947880581767e-05,-0.0064055464099398276,0.028077804755933623,0.053732471964153185,-0.022174897537577207,0.022265689184403165,0.003222006933014461,-0.015287845025335423,-0.0037622945122027978,0.018932678156779938,-0.010536185247562455,0.02375306898624757,0.005567070960888737,-0.0007028377311353307,0.0023983002872003055,0.008323792236493118,-0.012742833381197976,0.011632140136292726,0.014290893018874318,0.010873858659467656,0.027281430020568966,0.010124459304848513,0.009367348100221533,0.001377052757475314,0.0011210907889898786,-0.015562595115529815,-0.01405040239359337,-0.021027204141218156,-0.004444093116118947,-0.0014919949779638453,-0.02657848078161318
1,5,1047,2773,615,0.04986749693609817,0.10533638963218897,0.24640451758873583,0.0,0.11320754716981132,0.17777777777777778,0.0006388555130440808,0.005465130724448696,0.005922632067279032,0.00313742655193222,-0.00018063939739106777,0.015803229973553427,0.031083066279975972,0.004009606849370083,0.01497853492309604,-0.028002743804635955,0.004540866878098864,0.011218973533939402,0.004910642101083866,-0.01183761948250001,0.03800903108919147,0.015938343149143955,0.021466586770649873,0.04533363205445462,0.05283588286263806,0.026497622240335666,0.04864729162269731,0.01311478498085297,0.0769969935359561,0.08462722073973149,-0.018057755823612638,0.0629039064797198,0.01329590034814156,0.04162404065040175,-0.008836544672256086,-0.0011708519382813616,-0.009699505874944747,0.011519810655015264,-0.005867216990383797,0.004299107276999609
1,6,1048,2773,615,0.03447687589594971,0.07748168532594217,0.25287028170071085,0.031496062992125984,0.13333333333333333,0.2,0.00029936051445426313,-0.0005252225792343766,-0.004580989220508384,-0.008596128110543335,-0.024677990214381572,0.0027984861927707605,0.010084897353135532,0.000922979805977088,0.001883984363312758,-0.02837552868690426,-0.006776721302501723,-0.007651498756548085,-0.013856339877833834,-0.020944170869272277,0.05673626813130579,0.011835159533622183,0.0001619044432424277,0.025797317323462222,0.017903682606365892,0.0007850162636790392,0.03804926424020594,0.020782478102871642,-6.907486878422186e-05,0.022341859088327316,0.018867121757804743,0.01988836288820133,0.0050388619194303595,-0.007169418756912513,-0.00490175820631934,0.010875378224788887,-0.00589299535415728,-0.011619762415662089,0.010732493787661173,-0.01357915529401216
1,7,1049,2773,615,0.04811296960344506,0.10582848065322531,0.2276321477317721,0.0,0.12307692307692308,0.21052631578947367,-0.006750601288740453,-0.01103319373913437,0.0020525873345674794,-0.01333778323314369,0.006317105651716379,0.01854450586259554,0.023388227897575147,-0.0009171909031133616,0.0028901819418067423,-0.010193868634800951,-0.011021073661667106,-0.04177516178136059,-0.005139787134149909,0.00047786661150100025,0.051815383056060524,0.027939923776427577,0.014467519807837365,0.005518376034752412,0.018890976578315916,0.025165025270354933,0.03681028210744139,0.029926752923195944,0.030891556133425035,0.016116112342007632,0.026561345027427307,0.0016264504279905416,0.017694584466230158,-0.011058622366632537,0.006915739121449072,0.004995819342366534,-0.000846775856194662,-0.06873841050171295,0.00923805415349982,0.005565133797960642
1,8,1050,2773,615,0.04349954325346194,0.1367994471921888,0.42370060805553084,0.06504065040650407,0.0,0.16,0.003501729903946917,0.0029254847819302687,0.00029151183447245836,-0.0012765345264860249,-0.004306873092452097,0.049362586355144254,0.06730887885085624,0.022335086188969094,0.05690248390173243,0.019601756099556118,-0.01951967453348789,0.012477651337312119,-0.05093874157368035,0.007908134863294145,0.13197027746901066,0.01643905284525147,0.05375103505269485,0.08144663488678228,0.08204253997850366,0.04045973630345923,0.08912167511166302,0.016139460761365344,0.06500545102770514,0.09897853261522054,0.01805782490115098,0.08693247202042134,0.017386286114564258,0.06563164717548049,0.014641942231820509,0.09284858065281769,0.0019259394837739864,0.06900761050727651,-0.008226216722364777,0.06219050263709482
1,9,1051,2773,615,0.03995223502068237,0.1296210452738664,0.19461670991727295,0.0,0.12745098039215685,0.17777777777777778,0.000517937082129468,-0.0028348423048766363,-0.0166437154024524,0.0011022851991015596,-0.02201328128041057,0.04278759447233742,0.052559116859128154,0.001482261317562439,0.021204960506682007,-0.009849018375901106,-0.01567758926342888,0.008156798400931912,-0.00022327090129057453,-0.010964984018464867,0.03632074387822488,-0.017015033662524378,0.009585842362064483,0.01002896869224161,0.022869171088081848,0.0046650023717596635,0.014604639158580773,0.010554282612757626,0.029048586980753743,0.029601874378906108,0.006426454076478477,0.010007057026320414,-0.04014386625965928,0.012090425473724176,-0.055644952305237194,0.004584841902407511,-0.06493339407197153,-0.0018914097755308224,-0.0043823098554172935,-0.03042621030117636
