split_index,n_train,n_test,train_pos_pct,test_pos_pct,pairwise_pr_auc,hypergraph_pr_auc,hyper_flag_pr_auc,hyper_recip_pr_auc,hb_graph_pr_auc
1,4051,1071,11.552703036287335,11.57796451914099,0.24132663698725493,0.3933088623539768,0.4255084399947918,0.46037869857385594,0.4464751862230018
2,4204,918,11.346336822074216,12.527233115468409,0.3271797732472494,0.4292894724068607,0.44252863957861543,0.5656597821219218,0.45327766652789137
3,4163,959,11.890463607975018,10.114702815432743,0.2537463347816227,0.39491340203709774,0.41922625282800957,0.45917357659974867,0.4313236006895719
4,4095,1027,11.746031746031745,10.808179162609543,0.23769362474291988,0.42772265442304225,0.4536618931661488,0.47196197096856984,0.4516813813165214
5,4161,961,11.511655851958663,11.758584807492195,0.20001911405779615,0.33902138641686813,0.3504357848973741,0.33802007528671296,0.35254447924559945
6,4164,958,11.455331412103746,12.004175365344468,0.26848026452386553,0.41468950514884717,0.456137755503963,0.46359377225384885,0.4834515194214533
7,4175,947,11.425149700598801,12.143611404435058,0.27259101797037993,0.3295221711515285,0.38612340391043865,0.4391686446595638,0.3883428586877288
8,4199,923,11.812336270540605,10.400866738894909,0.23920463027617445,0.2997692466095506,0.3781705104139947,0.3767148120246674,0.3879635082250823
9,4125,997,11.200000000000001,13.039117352056168,0.2506940998129097,0.3987067028009068,0.4608663561008963,0.4866896837001382,0.47394390200003905
10,4074,1048,11.683848797250858,11.068702290076336,0.28777976829323715,0.3341522417674849,0.38188004655991437,0.4119475031616404,0.39938646674213196
11,4079,1043,11.473400343221378,11.888782358581016,0.2659032743844134,0.38835898110388306,0.42322591166709295,0.43102532738544186,0.41523358103238595
12,4033,1089,11.306719563600298,12.48852157943067,0.27278625821334834,0.3459411790590884,0.3743770520840662,0.40265353731167003,0.38567991085088943
13,4082,1040,11.195492405683488,12.980769230769232,0.2959094973082898,0.3595371263244872,0.4021460437778674,0.45411574093059104,0.4170562593053463
14,4124,998,11.469447138700291,11.923847695390782,0.3039606513924883,0.33580906928037607,0.38256425160198165,0.3977572208135341,0.39114329832622924
15,4087,1035,11.328602887203328,12.46376811594203,0.24023098427898582,0.4298484537008557,0.4348111004146405,0.4918715194573192,0.40244297582269933
16,3987,1135,11.687985954351642,11.101321585903083,0.21366564764222087,0.2967499211541559,0.3290542595210932,0.34140077275752334,0.33692539194555415
17,3983,1139,11.197589756464977,12.818261633011414,0.2852611464250515,0.3869058391443978,0.4047798299956341,0.44410155606165624,0.37295543561478717
18,4230,892,11.32387706855792,12.668161434977579,0.3509700902573128,0.273164744809554,0.35671336872867004,0.4018946073323774,0.35533328684648213
19,4314,808,11.68289290681502,10.891089108910892,0.2635874660786143,0.37124654205788027,0.38670526390795124,0.4682570363826406,0.3392183718508604
20,3992,1130,11.89879759519038,10.353982300884956,0.24637849069605014,0.35261252964155665,0.3724455800860482,0.4209311535006848,0.3863360721535635
