comparison,split_set,n_splits,model,mean_diff,std_diff,cohens_dz,wins,losses,ties,p_greater,p_two_sided
hb_graph_vs_pairwise,cplxatomic,50,RandomForest,0.07199652890924783,0.11007476049661698,0.6540693668959704,40,10,0,1.1930665838377763e-05,2.3861331676755526e-05
hb_graph_vs_hypergraph,cplxatomic,50,RandomForest,0.04258122948425631,0.07866893665675555,0.541271196661074,37,13,0,0.0004681114554259125,0.000936222910851825
hypergraph_vs_pairwise,cplxatomic,50,RandomForest,0.029415299424991527,0.07239765064315741,0.4063018504561333,38,12,0,0.00015293200080179759,0.00030586400160359517
hyper_flag_vs_hypergraph,cplxatomic,50,RandomForest,-0.003081665662728847,0.027936350232317952,-0.11031024586611338,26,24,0,0.4438624136703915,0.887724827340783
hb_graph_vs_hyper_flag,cplxatomic,50,RandomForest,0.045662895146985155,0.08138887634376762,0.5610458971581784,36,14,0,0.0013010857283610733,0.0026021714567221466
