feature,mean,std,median,min,max,n_splits,rank
base_TriangleCount,0.049909125263627035,0.03836781582435768,0.05031727582139678,-0.02685665380927944,0.14007476631474222,50,1
base_UniquePartners,0.027812012262641773,0.03835717263957155,0.030675520378324314,-0.07443933750356099,0.15621309615292106,50,2
base_AvgNeighbourDegree,0.023571727925883783,0.03381721461076018,0.027359525532400515,-0.102759204031143,0.100428444036561,50,3
protein_RangeComplexNodes,0.012323658982206047,0.016339635819511797,0.00775227864803481,-0.009260574469180877,0.07126079770901753,50,4
protein_RangeUniqueRatio,0.009089889745020565,0.01324473270985982,0.007913081943084424,-0.008176916356802861,0.07173017102738485,50,5
base_Degree,0.005921133669607983,0.010820246191957905,0.00365382362497387,-0.016702251845365702,0.03940241850738878,50,6
protein_MedComplexNodes,0.002853186127401325,0.03301422378489782,0.009680627663666994,-0.08301388502223178,0.05210816943225414,50,7
base_LocalClustCoeff,0.0026667782009736156,0.009425167576220346,0.0020390639920769005,-0.017316712817023756,0.03238718829648619,50,8
