base_Degree,base_LocalClustCoeff,base_TriangleCount,base_UniquePartners,base_AvgNeighbourDegree,protein_MedianUniqueRatio,protein_RangeUniqueRatio,protein_MedComplexNodes,protein_RangeComplexNodes,true_label
-0.018387130187173563,-0.019407371881578938,0.008930184641014102,-0.0013018698582021007,-0.09191297327741912,-0.05843492149045154,0.012393670742524985,-0.04746663213103766,-0.0015455881550176702,0
-0.00227475012322732,0.0030424620167329554,0.013582199001968005,0.010784686804628369,0.0009033645573639136,0.05876435205611027,0.009950762851980094,0.05789728136262211,-0.0062386030438704885,0
-0.0011950856216696535,0.0033352090888056313,0.035069528620717355,0.010971129537222938,0.009663183587479909,0.06400323057161601,0.0014167168564426687,0.05892874660541214,-0.010442406520913496,0
-0.005089670925384658,-0.0004411114457874662,0.11711067651999298,0.044453489544868836,0.007383650805058305,0.07348932574568716,0.012821201633792504,0.06793329278811765,0.032960384029514914,0
-0.005089670925384658,-0.0004411114457874662,0.11711067651999298,0.044453489544868836,0.007383650805058305,0.07348932574568716,0.012821201633792504,0.06793329278811765,0.032960384029514914,1
-0.005089670925384658,-0.0004411114457874662,0.11711067651999298,0.044453489544868836,0.007383650805058305,0.07348932574568716,0.012821201633792504,0.06793329278811765,0.032960384029514914,0
-0.0031201209739437482,-0.012870718208694782,0.12809457008263841,0.07058542691989332,-0.0820344667829497,0.04989490859354195,0.009842519476220207,0.045716133470682103,0.04590171948648115,0
-0.020601591541917274,-0.0015489050759529062,0.006123979724810677,0.000172149718662572,-0.08511352449856914,-0.05322340152921921,0.014284654409308132,-0.04713112103496092,-0.0015547407467412018,0
-0.004008860164575316,0.0029666269990781813,0.019692877640211662,0.009333973954371454,0.004163690940848203,-0.04980894407385791,0.010282408798981449,-0.02475996510866008,-0.00082003120905459,0
-0.005947127299009335,-0.11399651557727372,0.11759946182466369,0.021178859626848463,-0.07182487576842839,0.036075044612860714,0.009223502313610098,0.027300993239538,0.03952496646223809,1
-0.005473227431557902,-0.11209782310634168,0.11414120188022685,0.021545812244505698,-0.07742162180337919,0.037053570313645985,0.0054695654220853025,0.030448054443228234,0.038967255896595526,0
-0.013136320766517915,0.0077443446947262845,0.0990886807124868,0.04010908890315886,-0.04149576092607046,-0.11002390577670287,0.004368528265356443,-0.0691403987540852,0.047057235766318234,0
-0.00023683029301139436,-0.028207292043875697,0.1258870112752137,0.03125088144532742,-0.1045750183472616,0.04307648481077107,0.009261099082665326,0.03362930521053162,0.03810130502457972,0
-0.004648360043273625,-0.11045523709604162,0.11555519987694332,0.035079692851295786,-0.06649627259197856,0.0396683972413266,0.0066291082450349505,0.031972427467108946,0.04665415353370835,0
-0.005664792900277359,-0.11408423852086626,0.11514764509572063,0.02131017593211286,-0.07355853653939227,0.037845374722933346,0.006306548735332633,0.03146700661940122,0.03904449255203009,1
-0.005672646401496639,-0.11054746205902645,0.11270210227739037,0.020880175742974363,-0.07851749949892473,0.03758719903595455,0.004020600901868412,0.02961274897974517,0.03851244544408411,0
0.0003708728048899969,0.001066273240197619,-0.051608746155431894,-0.015201049320484696,0.07765180220661357,-0.021924365987329254,-0.01180472246008417,-0.026637318183561434,-0.016223275600626863,0
0.0012579757518952142,-0.14848577612430244,0.0940396008257527,0.04162211875542768,-0.1415628096478433,0.031374520703286994,0.0053193542947163035,0.03193328782142726,0.027180178510811975,0
-0.0014867294466718614,0.00309691300698323,0.03878326272771061,0.00949238537943334,0.010328458914302825,0.06295013127306989,0.005777151850499039,0.06298517163876297,-0.011603726685863321,1
-0.002594795985599944,0.0022136555548918366,-0.06489466045123661,-0.01576985301292839,-0.015884276373796455,-0.050644724103529694,0.008819012265661256,-0.049095010022498935,-0.012495969243350561,1
-0.01431998746109982,0.0039920433305242,0.0026046366114245833,0.027322276442860588,-0.034153933691143515,-0.06381363806513206,0.006366446994876626,-0.04814553898955756,-0.010578780512037382,0
-7.877153596474768e-05,0.00265290039819763,0.00031982332988388063,-0.006898354069774858,0.014922925944336207,0.07554712439400209,-0.0175538810303381,0.06785269476032098,-0.013927230637979106,0
0.00017016975681268114,0.003664640122816945,-0.001439330338421548,-0.018628701303690928,0.01926898545765054,-0.062354996463230894,-0.0017692798176125897,-0.02032643975389064,-0.0018300869626023423,0
0.0006720555190455178,0.0012248116530787086,-0.043592610545868965,-0.013075802944071893,0.09241786691904925,0.05603464979970227,-0.018090211744649653,0.05509896775435005,-0.014033671437918694,1
-0.012492083234856151,-0.0008603338889565334,0.1583419991663221,0.02877315562144028,-0.041517379067041324,-0.023172957513375902,0.016828836623983053,-0.02070568890895488,0.08330091271870421,0
-0.010167098179988256,-0.039306663358585486,0.16612101333459636,0.07369613517131021,-0.014908166767910493,-0.037740311886893564,0.016393944366597187,-0.03388569267580685,0.0831055514644336,0
-0.006942928101275011,-0.005045633990531369,0.14873072868088502,0.06505881970873384,-0.012848226001580653,0.05557472457930519,0.009244893564090705,0.046177790979857,0.04967616622908307,0
3.8256284367139646e-05,0.0037715791188745944,-0.04272720838076793,-0.016275105961604048,-0.05370745380807685,-0.036001973401336616,0.013901936926526316,-0.03718853168753948,0.000860841276781554,0
0.0007064324235065698,-6.198602667473471e-05,-0.09342125635392119,-0.019924097891651123,-0.027718074656439207,-0.1176452593361086,-0.01717522318697833,-0.08871617384978643,0.001879090036891027,0
0.0007548718126674994,0.001767556857550908,0.02641608217071663,0.0013970891371390608,0.05897209597587912,0.06853899733712292,-0.012753410918003997,0.0654894716665023,-0.009936950149080347,1
0.0007548718126674994,0.001767556857550908,0.02641608217071663,0.0013970891371390608,0.05897209597587912,0.06853899733712292,-0.012753410918003997,0.0654894716665023,-0.009936950149080347,1
-0.009268348686728229,0.00023226564819530667,-0.044250032504034496,-0.01365775053478718,-0.012276027239527915,-0.06008001377260438,0.011600984638284734,-0.06138963356284892,-0.011379699755875525,1
-0.0018052844413740544,0.0020659903647680974,-0.09090931114733203,-0.024327203096225453,-0.015027540415863233,-0.04938879475082321,0.009826886687379627,-0.05126882618161894,-0.012226215045183108,0
-0.01404283031282667,-0.012129043981086413,0.03549667303924818,-0.010600656150811863,-0.12068622070055153,0.011887071427710795,-0.003326735793418068,-0.005688398539762617,-0.002781588499369823,0
-0.005558743902580205,-0.05697998404893067,-0.022543435838607885,-0.010286571588055855,-0.009576102962851689,-0.038259772977158685,0.005906510103077387,-0.030770215116414236,-0.0010570699587624265,1
-0.000524483315427417,-0.007628182844578446,-0.04951341073011556,-0.01608710582609402,-0.002714654348059515,-0.04973809325449502,0.011523861177991196,-0.04440842922144699,-0.000614493488721089,0
-0.002536211321361553,0.0018628333531312687,-0.04821102938427055,-0.016158363997822438,-0.002709828601501242,-0.05530865854240004,0.01535830073587786,-0.04984551674199355,0.004981852171381492,1
-0.004121847817832484,0.0007966004194364562,-0.09218049208238517,-0.03282972128116651,-0.06199205275432203,0.04657172916044398,-0.03278008871601384,0.04552572462236448,-0.030126722206216924,0
-0.004121847817832484,0.0007966004194364562,-0.09218049208238517,-0.03282972128116651,-0.06199205275432203,0.04657172916044398,-0.03278008871601384,0.04552572462236448,-0.030126722206216924,0
-0.004121847817832484,0.0007966004194364562,-0.09218049208238517,-0.03282972128116651,-0.06199205275432203,0.04657172916044398,-0.03278008871601384,0.04552572462236448,-0.030126722206216924,0
-0.007348744983523265,-0.11164433012991404,0.10861444065480422,0.025231800850011407,-0.08601554542188225,0.03687071309139961,0.005669788207567078,0.02529996284236138,0.03834250546063756,0
-0.0001506753905332248,-0.03218864142063174,0.11462584939337837,0.030274669414223125,-0.0641822455633268,0.046028309800089894,0.00995913051965405,0.04427878068393257,0.04570842001725662,1
0.00017819638016315802,-0.06757580101626937,0.1285724133501496,0.018534957835473532,-0.06858524729014646,0.04819438162532524,0.007805315783085966,0.056609056105215626,0.044397984723327316,1
-0.006161948499925499,-0.1121424501122353,0.10729584095265472,0.01626776929638231,-0.094765931752088,0.03376304020238331,0.007889359459785228,0.021410467765235124,0.03813205744702137,1
-0.0009731144364352625,-0.02173339801037164,0.12634746657523138,0.056663025145122746,-0.09641776701679623,0.04186155849955923,0.005858385050830193,0.03553267687208778,0.04223595528938279,1
0.002169344463529072,-0.026113202245821907,0.13871298595542048,0.019897074683246693,-0.06968694406423331,0.050604816682223754,0.009140167228021853,0.061380236842220166,0.04825190758526547,1
-0.0002158326381121986,-0.025492485809454245,0.13631408972293987,0.03010997898166574,-0.07838158960377847,0.049718477480237167,0.009611020811294741,0.058802078807491526,0.04521585760306325,0
0.0008785273273738767,-0.008084985650131514,0.1233693651093904,0.02365409420343914,-0.024661347150393673,0.06224396227165632,0.009866623544635753,0.06581606970110462,0.03933602746757939,0
0.0008785273273738767,-0.008084985650131514,0.1233693651093904,0.02365409420343914,-0.024661347150393673,0.06224396227165632,0.009866623544635753,0.06581606970110462,0.03933602746757939,1
0.002862657836530122,-0.0031453577310999797,0.12994696982915777,0.02302843360389126,-0.031896354950861155,0.05876574295550005,0.011749978118035569,0.07428877886609116,0.04031043589708834,1
-0.0052280987256919246,-0.005665969127126801,0.10655878866692575,0.02212036289921163,-0.044830486832183394,0.05245721630050238,-0.010444530692285644,0.04513936846358595,-0.02171903058053084,1
0.0015446906994460439,-0.023537858507355437,0.12841875523969357,0.021042053217632844,-0.039338934112971374,0.04647393435494064,0.007759821630513423,0.04026930012043452,0.0454212075086997,0
0.004287890902260327,-0.0071849129156255544,0.12396173781251896,0.021830394030320364,-0.012139662500667631,0.05278723031124722,0.014505555768582949,0.04898103319587898,0.045875852713983464,1
