split_index,n_train,n_test,train_ess_pct,test_ess_pct,hypergraph_pr_auc,hypergraph_f1,pairwise_pr_auc,pairwise_f1,pr_auc_diff,f1_diff
1,4166,966,12.049927988478156,11.904761904761903,0.4774978352301701,0.43209876543209874,0.37241401127139273,0.3641456582633053,0.10508382395877736,0.06795310716879344
2,4163,969,11.69829449915926,13.415892672858618,0.6238862759320056,0.44948453608247424,0.4871218264051185,0.4419134396355353,0.13676444952688716,0.00757109644693893
3,4099,1033,11.880946572334716,12.584704743465633,0.5130308715102193,0.4513064133016627,0.3980432131738895,0.39913232104121477,0.11498765833632979,0.052174092260447946
4,4143,989,12.044412261646151,11.93124368048534,0.4703906532850295,0.4396135265700483,0.3735411948870569,0.3864734299516908,0.0968494583979726,0.0531400966183575
5,4041,1091,12.3484286067805,10.81576535288726,0.40085050808326306,0.3855421686746988,0.37979233541399565,0.402088772845953,0.021058172669267405,-0.016546604171254198
6,4204,928,12.25023786869648,10.991379310344827,0.4334807986457001,0.4087193460490463,0.4152578509983959,0.37532133676092544,0.0182229476473042,0.03339800928812087
7,4035,1097,11.722428748451055,13.126709206927986,0.45486271414278806,0.4429223744292237,0.43219220800052016,0.4098360655737705,0.0226705061422679,0.03308630885545322
8,4228,904,11.825922421948912,12.942477876106196,0.449107414849082,0.45,0.41298288380035486,0.4419889502762431,0.03612453104872715,0.008011049723756936
9,4142,990,11.685176243360695,13.434343434343434,0.5545387134197904,0.4490861618798956,0.4248967028135361,0.41927710843373495,0.12964201060625435,0.029809053446160638
10,4009,1123,12.297331005238215,11.041852181656278,0.42035241529538536,0.41624365482233505,0.32220641542769807,0.36724565756823824,0.0981459998676873,0.048997997254096815
11,4129,1003,11.697747638653427,13.359920239282152,0.5060502824091648,0.4462474645030426,0.42134143277353975,0.39285714285714285,0.08470884963562508,0.05339032164589974
12,4006,1126,12.38142785821268,10.74600355239787,0.475083600556086,0.3968668407310705,0.3776651269116826,0.36103151862464183,0.09741847364440342,0.035835322106428646
13,4222,910,12.12695405021317,11.538461538461538,0.5128835049983503,0.4251497005988024,0.4212193952707545,0.38421052631578945,0.09166410972759581,0.04093917428301297
14,4159,973,11.974032219283481,12.23021582733813,0.41886298003793393,0.39896373056994816,0.38199644858224857,0.3619489559164733,0.03686653145568536,0.03701477465347486
15,4173,959,12.341241313203929,10.636079249217936,0.445320667621769,0.4121212121212121,0.3589875452991472,0.3939393939393939,0.08633312232262175,0.018181818181818188
