rank,type,feature,mean,std
1,real,base_TriangleCount,0.0638490193964459,0.0347110944680353
2,real,stoich_WeightedTriangles,0.0441191927656958,0.0400370211217234
3,real,base_AvgNeighbourDegree,0.0387212641392179,0.0159875873162199
4,real,base_UniquePartners,0.0245930873592131,0.0192335989530161
5,real,protein_MedianUniqueRatio,0.0175737612654015,0.0144452238398077
6,real,protein_RangeComplexNodes,0.0173637745324857,0.0091556505363168
7,real,protein_MedComplexNodes,0.013942372984705,0.014066442393662
8,real,protein_RangeUniqueRatio,0.0128772092467641,0.0081039006872378
9,real,stoich_AvgNeighbourDegreeStoich,0.0108662788194114,0.0076704150755847
10,real,stoich_MedianRatio,0.0055823411437679,0.0078167462531228
11,real,base_LocalClustCoeff,0.0038717373353765,0.0090099468990364
12,real,stoich_RangeComplexSize,0.002144097565966,0.0044889159920373
13,real,stoich_RangeRatio,0.0016692384182572,0.0032507912027644
14,real,stoich_MedComplexSize,0.0015482016389404,0.0084039943677142
15,NOISE,rand_0,0.0011718906709627,0.0032906256745911
16,real,base_Degree,0.0011681675609004,0.0066412639296072
17,NOISE,rand_1,0.0003559939677997,0.0023860012935794
18,NOISE,rand_2,-0.0002395424362981,0.0023724502965327
19,NOISE,rand_3,-0.0006039741594563,0.0024065656180071
