feature,mean,std,median,n,is_noise
base_TriangleCount,0.0638490193964459,0.03471109446803532,0.06373920884675426,45,False
stoich_WeightedTriangles,0.04411919276569581,0.040037021121723436,0.030205509953296406,45,False
base_AvgNeighbourDegree,0.038721264139217976,0.01598758731621995,0.040383959924584045,45,False
base_UniquePartners,0.02459308735921317,0.019233598953016146,0.02664433748521955,45,False
protein_MedianUniqueRatio,0.017573761265401534,0.01444522383980777,0.01713303026875288,45,False
protein_RangeComplexNodes,0.017363774532485707,0.009155650536316886,0.015728360668865415,45,False
protein_MedComplexNodes,0.013942372984705095,0.014066442393662034,0.013268596314209957,45,False
protein_RangeUniqueRatio,0.012877209246764106,0.008103900687237877,0.010987322767279628,45,False
stoich_AvgNeighbourDegreeStoich,0.010866278819411492,0.0076704150755847285,0.011342861407022875,45,False
stoich_MedianRatio,0.00558234114376793,0.007816746253122868,0.0060336568143686264,45,False
base_LocalClustCoeff,0.0038717373353765573,0.009009946899036413,0.005160749737829917,45,False
stoich_RangeComplexSize,0.002144097565966071,0.0044889159920373295,0.0016757506550526212,45,False
stoich_RangeRatio,0.0016692384182572385,0.0032507912027644323,0.0012821305988931885,45,False
stoich_MedComplexSize,0.001548201638940447,0.008403994367714244,0.002564148303673858,45,False
base_Degree,0.0011681675609004753,0.006641263929607207,0.001485783327360879,45,False
[noise × 4],0.0001710920107519914,0.0027270145258065357,-0.00031033762969097655,180,True
rand_0,0.0011718906709627171,0.003290625674591167,0.0004265694697372591,45,True
rand_1,0.00035599396779979666,0.0023860012935794767,0.00010857528806519356,45,True
rand_2,-0.0002395424362981496,0.002372450296532785,-0.0007821459308051448,45,True
rand_3,-0.0006039741594563987,0.002406565618007121,-0.000701418784093144,45,True
