split_index,n_train,n_test,train_ess_pct,n_isolated_test,test_ess_pct,hypergraph_pr_auc,hypergraph_f1,pairwise_pr_auc,pairwise_f1,pr_auc_diff,f1_diff
1,2582,417,24.3996901626646,191,30.69544364508393,0.41304583336002026,0.4702842377260982,0.4248105255579694,0.44787644787644787,-0.011764692197949123,0.022407789849650306
2,2642,458,24.26192278576836,90,24.45414847161572,0.2728896821588465,0.3914081145584726,0.34184380165308526,0.43356643356643354,-0.06895411949423874,-0.042158319007960965
3,2562,449,24.74629195940671,179,25.83518930957684,0.33254818149784615,0.39106145251396646,0.3525208520581289,0.4063745019920319,-0.019972670560282735,-0.015313049478065444
4,2601,496,23.875432525951556,93,26.209677419354836,0.33327832460253365,0.481981981981982,0.31540367232044464,0.44089456869009586,0.01787465228208901,0.04108741329188614
5,2581,499,23.67299496319256,110,31.663326653306612,0.382139879231126,0.5291479820627802,0.32854491576919276,0.4147727272727273,0.053594963461933265,0.11437525479005295
6,2567,517,24.503311258278146,106,25.338491295938105,0.31591607482354905,0.42437923250564336,0.3235378886132882,0.3987730061349693,-0.00762181378973914,0.025606226370674057
7,2583,456,24.19667053813395,151,28.50877192982456,0.39189048193156334,0.5035294117647059,0.4327167715350694,0.5524475524475524,-0.04082628960350604,-0.0489181406828465
8,2585,498,24.526112185686657,107,26.706827309236946,0.357285700075039,0.5070422535211268,0.30501105456809774,0.4088050314465409,0.052274645506941275,0.09823722207458585
9,2571,537,24.465188642551535,82,24.39478584729981,0.34997839196836567,0.43555555555555553,0.24715757661664756,0.3879093198992443,0.10282081535171811,0.04764623565631121
10,2554,501,24.393108848864525,135,26.94610778443114,0.36346167957489867,0.45188284518828453,0.36252314096274735,0.4606413994169096,0.0009385386121513184,-0.008758554228625093
11,2599,493,24.54790303963063,98,22.31237322515213,0.28361716821489524,0.38974358974358975,0.27524742953974524,0.425531914893617,0.008369738675150007,-0.03578832515002728
12,2574,547,24.125874125874127,69,25.59414990859232,0.3543828925595771,0.437984496124031,0.3458086168935428,0.4444444444444444,0.008574275666034303,-0.006459948320413411
13,2631,473,24.059293044469783,86,25.581395348837212,0.30936769858944524,0.47216035634743875,0.39995030751221256,0.5016949152542373,-0.09058260892276732,-0.029534558906798514
14,2562,527,24.902419984387198,101,23.14990512333966,0.3321025314308601,0.4458874458874459,0.281480578539694,0.43137254901960786,0.05062195289116611,0.014514896867838023
15,2590,470,24.74903474903475,130,25.957446808510635,0.35789276782533286,0.4792626728110599,0.4153797883669431,0.47368421052631576,-0.057487020541610256,0.005578462284744123
