feature,mean_abs_shap,std_abs_shap,split_3,split_8,split_1,split_13,split_5,split_15,split_4,split_7,split_6,split_14,split_11,split_10,split_12,split_9,split_2,rank
base_AvgNeighbourDegree,0.04586990201007461,0.004799276427944862,0.041921668199698836,0.03830480167852663,0.04312355551547841,0.04639074596676083,0.05137589009408152,0.0521763125399335,0.03791224815857061,0.04561372454458567,0.048371266433117135,0.048145860024489034,0.041824628535338935,0.043791164566439875,0.05350296241432533,0.05189405422596759,0.04369964725380539,1
protein_MedianUniqueRatio,0.0422464882048738,0.0032620369416512638,0.04729615501401971,0.03923851676467588,0.04217995780874335,0.04691538583257839,0.04221414143082479,0.04045678543588095,0.04124260452361041,0.041358695842616366,0.04418565950899951,0.04375684360218069,0.03942736970980222,0.04749054584666395,0.034987550406681577,0.04267501747063735,0.040272093875191976,2
protein_MedComplexNodes,0.041060758010964864,0.0028868398676916386,0.042105077300500705,0.03912890099729176,0.03738139619489556,0.03919543648861289,0.041964049316249724,0.04312894146329899,0.03618655054108434,0.04403722701476929,0.037717650544294885,0.038839940415516215,0.04287178466652841,0.04616635292281642,0.04490246987174487,0.04275985438708563,0.03952573803978331,3
base_TriangleCount,0.03639725108289025,0.0025806645536419165,0.037526288498413454,0.03918154858503188,0.03771117921287954,0.033189774993324386,0.03514893460725102,0.041026189730745295,0.036417976455427874,0.03651148502274108,0.03502965471852014,0.03266344494553142,0.031612097025080874,0.03678844678825085,0.036494681004354206,0.03614613680428621,0.040510927851515464,4
base_UniquePartners,0.02675162887740527,0.003932918106780773,0.026506446970388096,0.027352523222858527,0.026405803738302,0.024982455915821086,0.023920481065712786,0.03564206381630463,0.022545616723352088,0.03418178250205333,0.02310415327523746,0.0241215809003431,0.023464499347030075,0.023832483160742265,0.02585013007655135,0.02735230990138952,0.03201210254499265,5
stoich_WeightedTriangles,0.02151666301325378,0.00235473575119412,0.021805823660153524,0.024507171951136466,0.019666714860122253,0.022367045191847776,0.02061797112497695,0.021307953441213646,0.019581121871922697,0.02251521720341193,0.02237722863210108,0.01873931092236911,0.026562506654380615,0.025191885553331503,0.01890264768264893,0.01888232174533787,0.0197250247038523,6
stoich_AvgNeighbourDegreeStoich,0.017950411395149423,0.002694432367508921,0.017831701635790884,0.019088267778663175,0.01647536990554219,0.016285254708631926,0.01611876001318851,0.01761390579090985,0.01740547229835371,0.013377135285246927,0.022989273829913528,0.018765971359632084,0.014358451949905577,0.018185251095452864,0.02417055898955328,0.0181921393481147,0.018398656938342133,7
stoich_MedianRatio,0.014724268744972494,0.002585069106527501,0.013815351093353438,0.010852504754251698,0.013193986733786443,0.013481533611485786,0.014543168057110941,0.019115059400984083,0.012292692772173817,0.01834119259836174,0.01320728872959228,0.01572090102249912,0.015538911988410207,0.012160151190122065,0.01991784614854579,0.012853337290436116,0.015830105783473918,8
stoich_MedComplexSize,0.009898602188024767,0.0025070597545341277,0.007820249713682005,0.011324090756522971,0.009022095078610095,0.009722987708747497,0.005580928603814371,0.00802630197174379,0.01217420788562423,0.008261298923359384,0.012910599605042402,0.009049836177448232,0.014844266215725224,0.014025578847146032,0.008523392157659068,0.009124290522298384,0.008068908652947824,9
protein_RangeComplexNodes,0.00847995837782822,0.0017157483686508165,0.006619116759164263,0.01080566736196461,0.008736526436504456,0.008181473441024436,0.011467572334044454,0.005440818154132554,0.007764983978408857,0.007234114879957694,0.005635804971855242,0.00939495351626518,0.009271400907748575,0.008835766831257379,0.0077758392261749664,0.01003338497573449,0.010001951893186155,10
base_LocalClustCoeff,0.007440068164329492,0.0013463954226271583,0.005970406676327517,0.00807916016278977,0.008247534846381185,0.006491798702695853,0.0067849480726780405,0.008783482458090026,0.006063578070505803,0.009199498686296931,0.005756225095734568,0.007273675845057424,0.007967840222112223,0.007262252091678075,0.006247797697786003,0.006749934548977717,0.01072288928783124,11
protein_RangeUniqueRatio,0.005436897537448958,0.0012149107378780328,0.003972160723831694,0.006395371230752498,0.005107196685421639,0.005882775678422435,0.006563277911863727,0.00306056152703119,0.005518935927141853,0.005507330443795494,0.0030407929934276384,0.006501903749224426,0.00671004017197106,0.005787200453654,0.005901079928804411,0.006972728494301056,0.004632107142091253,12
base_Degree,0.0031710242446635357,0.0007907637200180651,0.0028992034843693657,0.003386747246764036,0.002811079712592716,0.0029142722467805074,0.002964349373175034,0.0050836768969648085,0.002199556665626461,0.002467023999088091,0.0024891554098062734,0.003804732509461899,0.001884172534447384,0.0035660241123990797,0.004163231812359925,0.003673748968914089,0.003258388697203365,13
stoich_RangeComplexSize,0.002084387297968755,0.0008002402917518241,0.0017354065069115875,0.002502964511762791,0.0018283057106479338,0.002100180242733625,0.001170275602409492,0.0027199770815158936,0.004458170564751452,0.001690530729700329,0.002449856052453551,0.0016882411761162724,0.002360660719009103,0.002275173780266179,0.0016326166403528213,0.0018052515517281412,0.0008481985991721555,14
stoich_RangeRatio,0.0019490889640816093,0.00031763100748449796,0.001961297403623576,0.0015619702381372894,0.002083385997561762,0.0020986667789277503,0.0015217694232656173,0.001620020521703145,0.0021951920891733,0.0019537770858473365,0.0016775584686395907,0.002670731430254149,0.001876675525978649,0.001977395836678947,0.0023513765331609694,0.00153775173267902,0.0021487653955930388,15
