split_index,hypergraph_pr_auc,pairwise_pr_auc
3,0.675491928894791,0.5965334411080429
8,0.6625996885566953,0.5759031229204896
1,0.6591936475229627,0.6004946438268269
13,0.6196489114507309,0.5974756283762944
5,0.6182368664484524,0.5294304783611063
15,0.6089097747082038,0.5958258625202995
4,0.6012982166039285,0.5781860294940445
7,0.5950675862282542,0.6513564993029912
6,0.5824947881649813,0.5258423071180279
14,0.5704273005179628,0.5232366986046503
11,0.5595910700033748,0.5745733928127353
10,0.5040623200193683,0.5698989401028208
12,0.48565335294588213,0.43893657466802055
9,0.4654486400856101,0.44584890617624817
2,0.4403668898001568,0.4411605604520415
