split_index,n_train,n_test,train_dt_pct,test_dt_pct,hypergraph_pr_auc,hypergraph_f1,hyper_nostoich_pr_auc,hyper_nostoich_f1,pairwise_pr_auc,pairwise_f1,pr_auc_diff,f1_diff,stoich_pr_auc_diff,stoich_f1_diff
1,4043,1079,11.649765025970813,11.214087117701576,0.44193277700873423,0.3865546218487395,0.46133482397925346,0.3854166666666667,0.39967501963875784,0.3789954337899543,0.04225775736997639,0.007559188058785193,-0.019402046970519227,0.001137955182072825
2,4151,971,11.587569260419176,11.431513903192585,0.40017372347020724,0.3804034582132565,0.3956273181779352,0.3436754176610978,0.3071441283196226,0.3287671232876712,0.09302959515058462,0.05163633492558528,0.0045464052922720155,0.03672804055215867
3,4096,1026,11.474609375,11.890838206627679,0.5257268631947031,0.4177777777777778,0.5596033257347022,0.4054669703872437,0.38298957417379265,0.34295415959252973,0.14273728902091043,0.07482361818524808,-0.0338764625399991,0.012310807390534084
4,4131,991,10.2880658436214,16.851664984863774,0.42513179604050444,0.4564796905222437,0.4749656588260749,0.44364937388193204,0.3523738688046959,0.420032310177706,0.07275792723580854,0.036447380344537705,-0.04983386278557045,0.012830316640311645
5,4069,1053,11.845662324895551,10.446343779677113,0.3934881903330871,0.35714285714285715,0.373483512271604,0.3462414578587699,0.3026787340296385,0.33201581027667987,0.09080945630344855,0.025127046866177283,0.020004678061483094,0.010901399284087232
6,4164,958,11.551392891450528,11.586638830897703,0.3927433970883204,0.3768996960486322,0.3998326903207665,0.37402597402597404,0.2922080259124982,0.346723044397463,0.10053537117582217,0.03017665165116923,-0.007089293232446114,0.002873722022658176
7,4218,904,11.830251303935514,10.287610619469026,0.39938276594280236,0.3853211009174312,0.3968550184229585,0.3708206686930091,0.3272073486975377,0.3341772151898734,0.07217541724526466,0.05114388572755779,0.0025277475198438593,0.0145004322244221
8,3979,1143,11.309374214626791,12.42344706911636,0.489701079209664,0.43340857787810383,0.48162832105873077,0.4192139737991266,0.42494779343778544,0.37643207855973815,0.06475328577187855,0.05697649931836568,0.008072758150933224,0.014194604078977213
9,4102,1020,12.311067771818625,8.529411764705882,0.4547802769595769,0.3767123287671233,0.4411931545547124,0.3323615160349854,0.3305657383455145,0.33424657534246577,0.1242145386140624,0.042465753424657526,0.013587122404864482,0.04435081273213787
10,4096,1026,11.71875,10.916179337231968,0.41623590967057406,0.41208791208791207,0.41941801280157276,0.37092731829573933,0.382335414590814,0.38095238095238093,0.03390049507976006,0.031135531135531136,-0.0031821031309987036,0.04116059379217274
11,4091,1031,12.539721339525789,7.662463627546072,0.2773567555022753,0.2465753424657534,0.24895807438332831,0.26519337016574585,0.2569364525802196,0.2636363636363636,0.02042030292205571,-0.017061021170610202,0.028398681118946972,-0.018618027699992434
12,3897,1225,11.419040287400565,12.0,0.4581139582788398,0.42362525458248473,0.4529119841568302,0.38323353293413176,0.3038587772716242,0.390715667311412,0.15425518100721558,0.03290958727107274,0.005201974122009567,0.040391721648352974
13,4094,1028,10.967269174401563,13.910505836575876,0.4781970777190186,0.42213114754098363,0.45184083511105927,0.38421955403087477,0.3656921593855603,0.396,0.11250491833345827,0.026131147540983612,0.026356242607959324,0.037911593510108865
14,4017,1105,11.799850634802091,10.678733031674208,0.4336738128373774,0.4160756501182033,0.47840057226534294,0.39111111111111113,0.3572262451620446,0.37344398340248963,0.07644756767533278,0.04263166671571367,-0.04472675942796556,0.024964539007092168
15,4138,984,11.986466892218463,9.75609756097561,0.4459244043356988,0.3691460055096419,0.43161242340226214,0.32142857142857145,0.3012119246170453,0.26636568848758463,0.14471247971865348,0.10278031702205725,0.014311980933436663,0.04771743408107043
