database,feature,mode_value,mode_count,total,mode_pct,degenerate
Complex Portal,base_Degree,1.0,1997,3394,58.8,False
Complex Portal,base_LocalClustCoeff,0.0,2955,3394,87.1,True
Complex Portal,base_TriangleCount,0.0,830,3394,24.5,False
Complex Portal,base_UniquePartners,2.0,522,3394,15.4,False
Complex Portal,base_AvgNeighbourDegree,1.0,955,3394,28.1,False
Complex Portal,stoich_WeightedTriangles,0.0,1911,3394,56.3,False
Complex Portal,stoich_AvgNeighbourDegreeStoich,0.0,1307,3394,38.5,False
Complex Portal,stoich_RangeComplexSize,0.0,3060,3394,90.2,True
Complex Portal,stoich_MedComplexSize,0.0,1361,3394,40.1,False
Complex Portal,stoich_MedianRatio,0.0,1361,3394,40.1,False
Complex Portal,stoich_RangeRatio,0.0,3001,3394,88.4,True
Complex Portal,protein_MedianUniqueRatio,0.5,747,3394,22.0,False
Complex Portal,protein_RangeUniqueRatio,0.0,2736,3394,80.6,True
Complex Portal,protein_MedComplexNodes,2.0,761,3394,22.4,False
Complex Portal,protein_RangeComplexNodes,0.0,2736,3394,80.6,True
Complex Portal,pair_Degree,2.0,522,3394,15.4,False
Complex Portal,pair_LocalClustCoeff,1.0,1656,3394,48.8,False
Complex Portal,pair_TriangleCount,0.0,763,3394,22.5,False
Complex Portal,pair_AvgNeighborDegree,1.0,323,3394,9.5,False
CORUM,base_Degree,1.0,2083,5132,40.6,False
CORUM,base_LocalClustCoeff,0.0,3557,5132,69.3,False
CORUM,base_TriangleCount,0.0,1152,5132,22.4,False
CORUM,base_UniquePartners,2.0,764,5132,14.9,False
CORUM,base_AvgNeighbourDegree,1.0,391,5132,7.6,False
CORUM,stoich_WeightedTriangles,0.0,4893,5132,95.3,True
CORUM,stoich_AvgNeighbourDegreeStoich,0.0,4720,5132,92.0,True
CORUM,stoich_RangeComplexSize,0.0,5077,5132,98.9,True
CORUM,stoich_MedComplexSize,0.0,4593,5132,89.5,True
CORUM,stoich_MedianRatio,0.0,4593,5132,89.5,True
CORUM,stoich_RangeRatio,0.0,5078,5132,98.9,True
CORUM,protein_MedianUniqueRatio,0.5,1342,5132,26.1,False
CORUM,protein_RangeUniqueRatio,0.0,2515,5132,49.0,False
CORUM,protein_MedComplexNodes,2.0,1345,5132,26.2,False
CORUM,protein_RangeComplexNodes,0.0,2515,5132,49.0,False
CORUM,pair_Degree,2.0,764,5132,14.9,False
CORUM,pair_LocalClustCoeff,1.0,1853,5132,36.1,False
CORUM,pair_TriangleCount,0.0,1046,5132,20.4,False
CORUM,pair_AvgNeighborDegree,2.0,240,5132,4.7,False
