task,arm,model,tier,param,n,at_min,at_max,at_edge
ess,random,LightGBM,hb_graph,max_depth,50,0.98,0.02,0.98
ess,random,LightGBM,hb_graph,num_leaves,50,0.94,0.02,0.94
hpa,group,RBF-SVM,pairwise,C,50,0.1,0.38,0.38
hpa,group,RBF-SVM,pairwise,gamma,50,0.0,0.54,0.54
hpa,group,RBF-SVM,hypergraph,C,50,0.12,0.2,0.2
hpa,group,RBF-SVM,hypergraph,gamma,50,0.14,0.0,0.14
hpa,group,RBF-SVM,hb_graph,C,50,0.56,0.06,0.56
hpa,group,RBF-SVM,hb_graph,gamma,50,0.16,0.0,0.16
hpa,group,RandomForest,pairwise,n_estimators,50,0.22,0.5,0.5
hpa,group,RandomForest,pairwise,max_depth,50,0.98,0.0,0.98
hpa,group,RandomForest,pairwise,min_samples_split,50,0.18,0.48,0.48
hpa,group,RandomForest,hypergraph,n_estimators,50,0.28,0.54,0.54
hpa,group,RandomForest,hypergraph,max_depth,50,1.0,0.0,1.0
hpa,group,RandomForest,hypergraph,min_samples_split,50,0.38,0.32,0.38
hpa,group,RandomForest,hb_graph,n_estimators,50,0.14,0.56,0.56
hpa,group,RandomForest,hb_graph,max_depth,50,1.0,0.0,1.0
hpa,group,RandomForest,hb_graph,min_samples_split,50,0.32,0.38,0.38
hpa,group,XGBoost,pairwise,n_estimators,50,0.38,0.38,0.38
hpa,group,XGBoost,pairwise,learning_rate,50,0.84,0.02,0.84
hpa,group,XGBoost,pairwise,max_depth,50,0.76,0.04,0.76
hpa,group,XGBoost,pairwise,subsample,50,0.56,0.08,0.56
hpa,group,XGBoost,hypergraph,n_estimators,50,0.42,0.24,0.42
hpa,group,XGBoost,hypergraph,learning_rate,50,0.82,0.04,0.82
hpa,group,XGBoost,hypergraph,max_depth,50,0.9,0.0,0.9
hpa,group,XGBoost,hypergraph,subsample,50,0.4,0.26,0.4
hpa,group,XGBoost,hb_graph,n_estimators,50,0.52,0.24,0.52
hpa,group,XGBoost,hb_graph,learning_rate,50,0.74,0.1,0.74
hpa,group,XGBoost,hb_graph,max_depth,50,0.88,0.0,0.88
hpa,group,XGBoost,hb_graph,subsample,50,0.32,0.3,0.32
hpa,group,LightGBM,pairwise,n_estimators,50,0.22,0.64,0.64
hpa,group,LightGBM,pairwise,learning_rate,50,0.8,0.02,0.8
hpa,group,LightGBM,pairwise,max_depth,50,0.86,0.06,0.86
hpa,group,LightGBM,pairwise,num_leaves,50,0.92,0.04,0.92
hpa,group,LightGBM,hypergraph,n_estimators,50,0.58,0.1,0.58
hpa,group,LightGBM,hypergraph,learning_rate,50,0.94,0.0,0.94
hpa,group,LightGBM,hypergraph,max_depth,50,0.6,0.24,0.6
hpa,group,LightGBM,hypergraph,num_leaves,50,0.78,0.16,0.78
hpa,group,LightGBM,hb_graph,n_estimators,50,0.36,0.48,0.48
hpa,group,LightGBM,hb_graph,learning_rate,50,0.84,0.0,0.84
hpa,group,LightGBM,hb_graph,max_depth,50,0.88,0.08,0.88
hpa,group,LightGBM,hb_graph,num_leaves,50,0.92,0.04,0.92
hpa,random,RBF-SVM,pairwise,C,50,0.04,0.5,0.5
hpa,random,RBF-SVM,pairwise,gamma,50,0.0,0.4,0.4
hpa,random,RBF-SVM,hypergraph,C,50,0.32,0.16,0.32
hpa,random,RBF-SVM,hypergraph,gamma,50,0.0,0.02,0.02
hpa,random,RBF-SVM,hb_graph,C,50,0.72,0.02,0.72
hpa,random,RBF-SVM,hb_graph,gamma,50,0.12,0.0,0.12
hpa,random,RandomForest,pairwise,n_estimators,50,0.24,0.38,0.38
hpa,random,RandomForest,pairwise,max_depth,50,1.0,0.0,1.0
hpa,random,RandomForest,pairwise,min_samples_split,50,0.3,0.4,0.4
hpa,random,RandomForest,hypergraph,n_estimators,50,0.26,0.52,0.52
hpa,random,RandomForest,hypergraph,max_depth,50,1.0,0.0,1.0
hpa,random,RandomForest,hypergraph,min_samples_split,50,0.36,0.4,0.4
hpa,random,RandomForest,hb_graph,n_estimators,50,0.32,0.46,0.46
hpa,random,RandomForest,hb_graph,max_depth,50,1.0,0.0,1.0
hpa,random,RandomForest,hb_graph,min_samples_split,50,0.36,0.48,0.48
hpa,random,XGBoost,pairwise,n_estimators,50,0.42,0.22,0.42
hpa,random,XGBoost,pairwise,learning_rate,50,0.86,0.02,0.86
hpa,random,XGBoost,pairwise,max_depth,50,0.98,0.0,0.98
hpa,random,XGBoost,pairwise,subsample,50,0.7,0.1,0.7
hpa,random,XGBoost,hypergraph,n_estimators,50,0.56,0.2,0.56
hpa,random,XGBoost,hypergraph,learning_rate,50,0.82,0.0,0.82
hpa,random,XGBoost,hypergraph,max_depth,50,0.9,0.02,0.9
hpa,random,XGBoost,hypergraph,subsample,50,0.38,0.26,0.38
hpa,random,XGBoost,hb_graph,n_estimators,50,0.48,0.22,0.48
hpa,random,XGBoost,hb_graph,learning_rate,50,0.86,0.08,0.86
hpa,random,XGBoost,hb_graph,max_depth,50,0.84,0.0,0.84
hpa,random,XGBoost,hb_graph,subsample,50,0.46,0.28,0.46
hpa,random,LightGBM,pairwise,n_estimators,50,0.26,0.62,0.62
hpa,random,LightGBM,pairwise,learning_rate,50,0.8,0.02,0.8
hpa,random,LightGBM,pairwise,max_depth,50,0.78,0.06,0.78
hpa,random,LightGBM,pairwise,num_leaves,50,0.9,0.04,0.9
hpa,random,LightGBM,hypergraph,n_estimators,50,0.48,0.22,0.48
hpa,random,LightGBM,hypergraph,learning_rate,50,0.98,0.0,0.98
hpa,random,LightGBM,hypergraph,max_depth,50,0.6,0.2,0.6
hpa,random,LightGBM,hypergraph,num_leaves,50,0.8,0.18,0.8
hpa,random,LightGBM,hb_graph,n_estimators,50,0.14,0.6,0.6
hpa,random,LightGBM,hb_graph,learning_rate,50,0.98,0.0,0.98
hpa,random,LightGBM,hb_graph,max_depth,50,0.9,0.08,0.9
hpa,random,LightGBM,hb_graph,num_leaves,50,0.94,0.04,0.94
chembl,group,RBF-SVM,pairwise,C,50,0.36,0.22,0.36
chembl,group,RBF-SVM,pairwise,gamma,50,0.04,0.3,0.3
chembl,group,RBF-SVM,hypergraph,C,50,0.16,0.14,0.16
chembl,group,RBF-SVM,hypergraph,gamma,50,0.5,0.0,0.5
chembl,group,RBF-SVM,hb_graph,C,50,0.12,0.0,0.12
chembl,group,RBF-SVM,hb_graph,gamma,50,0.82,0.0,0.82
chembl,group,RandomForest,pairwise,n_estimators,50,0.36,0.44,0.44
chembl,group,RandomForest,pairwise,max_depth,50,0.34,0.32,0.34
chembl,group,RandomForest,pairwise,min_samples_split,50,0.4,0.32,0.4
chembl,group,RandomForest,hypergraph,n_estimators,50,0.32,0.42,0.42
chembl,group,RandomForest,hypergraph,max_depth,50,1.0,0.0,1.0
chembl,group,RandomForest,hypergraph,min_samples_split,50,0.28,0.34,0.34
chembl,group,RandomForest,hb_graph,n_estimators,50,0.18,0.32,0.32
chembl,group,RandomForest,hb_graph,max_depth,50,0.88,0.1,0.88
chembl,group,RandomForest,hb_graph,min_samples_split,50,0.26,0.38,0.38
chembl,group,XGBoost,pairwise,n_estimators,50,0.46,0.34,0.46
chembl,group,XGBoost,pairwise,learning_rate,50,0.3,0.26,0.3
chembl,group,XGBoost,pairwise,max_depth,50,0.2,0.44,0.44
chembl,group,XGBoost,pairwise,subsample,50,0.44,0.18,0.44
chembl,group,XGBoost,hypergraph,n_estimators,50,0.3,0.4,0.4
chembl,group,XGBoost,hypergraph,learning_rate,50,0.4,0.24,0.4
chembl,group,XGBoost,hypergraph,max_depth,50,0.48,0.12,0.48
chembl,group,XGBoost,hypergraph,subsample,50,0.04,0.9,0.9
chembl,group,XGBoost,hb_graph,n_estimators,50,0.3,0.22,0.3
chembl,group,XGBoost,hb_graph,learning_rate,50,0.4,0.22,0.4
chembl,group,XGBoost,hb_graph,max_depth,50,0.58,0.12,0.58
chembl,group,XGBoost,hb_graph,subsample,50,0.12,0.64,0.64
chembl,group,LightGBM,pairwise,n_estimators,50,0.3,0.46,0.46
chembl,group,LightGBM,pairwise,learning_rate,50,0.06,0.48,0.48
chembl,group,LightGBM,pairwise,max_depth,50,0.12,0.26,0.26
chembl,group,LightGBM,pairwise,num_leaves,50,0.22,0.5,0.5
chembl,group,LightGBM,hypergraph,n_estimators,50,0.28,0.44,0.44
chembl,group,LightGBM,hypergraph,learning_rate,50,0.46,0.2,0.46
chembl,group,LightGBM,hypergraph,max_depth,50,0.64,0.12,0.64
chembl,group,LightGBM,hypergraph,num_leaves,50,0.76,0.1,0.76
chembl,group,LightGBM,hb_graph,n_estimators,50,0.36,0.44,0.44
chembl,group,LightGBM,hb_graph,learning_rate,50,0.3,0.18,0.3
chembl,group,LightGBM,hb_graph,max_depth,50,0.58,0.26,0.58
chembl,group,LightGBM,hb_graph,num_leaves,50,0.78,0.08,0.78
chembl,random,RBF-SVM,pairwise,C,50,0.5,0.02,0.5
chembl,random,RBF-SVM,pairwise,gamma,50,0.02,0.5,0.5
chembl,random,RBF-SVM,hypergraph,C,50,0.08,0.14,0.14
chembl,random,RBF-SVM,hypergraph,gamma,50,0.72,0.0,0.72
chembl,random,RBF-SVM,hb_graph,C,50,0.08,0.0,0.08
chembl,random,RBF-SVM,hb_graph,gamma,50,0.9,0.0,0.9
chembl,random,RandomForest,pairwise,n_estimators,50,0.32,0.38,0.38
chembl,random,RandomForest,pairwise,max_depth,50,0.4,0.28,0.4
chembl,random,RandomForest,pairwise,min_samples_split,50,0.56,0.18,0.56
chembl,random,RandomForest,hypergraph,n_estimators,50,0.32,0.4,0.4
chembl,random,RandomForest,hypergraph,max_depth,50,1.0,0.0,1.0
chembl,random,RandomForest,hypergraph,min_samples_split,50,0.36,0.32,0.36
chembl,random,RandomForest,hb_graph,n_estimators,50,0.36,0.4,0.4
chembl,random,RandomForest,hb_graph,max_depth,50,0.88,0.1,0.88
chembl,random,RandomForest,hb_graph,min_samples_split,50,0.18,0.46,0.46
chembl,random,XGBoost,pairwise,n_estimators,50,0.34,0.28,0.34
chembl,random,XGBoost,pairwise,learning_rate,50,0.22,0.36,0.36
chembl,random,XGBoost,pairwise,max_depth,50,0.24,0.54,0.54
chembl,random,XGBoost,pairwise,subsample,50,0.36,0.24,0.36
chembl,random,XGBoost,hypergraph,n_estimators,50,0.26,0.46,0.46
chembl,random,XGBoost,hypergraph,learning_rate,50,0.48,0.1,0.48
chembl,random,XGBoost,hypergraph,max_depth,50,0.56,0.12,0.56
chembl,random,XGBoost,hypergraph,subsample,50,0.02,0.9,0.9
chembl,random,XGBoost,hb_graph,n_estimators,50,0.4,0.32,0.4
chembl,random,XGBoost,hb_graph,learning_rate,50,0.28,0.26,0.28
chembl,random,XGBoost,hb_graph,max_depth,50,0.7,0.02,0.7
chembl,random,XGBoost,hb_graph,subsample,50,0.2,0.66,0.66
chembl,random,LightGBM,pairwise,n_estimators,50,0.42,0.32,0.42
chembl,random,LightGBM,pairwise,learning_rate,50,0.06,0.42,0.42
chembl,random,LightGBM,pairwise,max_depth,50,0.14,0.24,0.24
chembl,random,LightGBM,pairwise,num_leaves,50,0.32,0.4,0.4
chembl,random,LightGBM,hypergraph,n_estimators,50,0.36,0.38,0.38
chembl,random,LightGBM,hypergraph,learning_rate,50,0.48,0.1,0.48
chembl,random,LightGBM,hypergraph,max_depth,50,0.76,0.06,0.76
chembl,random,LightGBM,hypergraph,num_leaves,50,0.88,0.1,0.88
chembl,random,LightGBM,hb_graph,n_estimators,50,0.4,0.36,0.4
chembl,random,LightGBM,hb_graph,learning_rate,50,0.34,0.34,0.34
chembl,random,LightGBM,hb_graph,max_depth,50,0.66,0.22,0.66
chembl,random,LightGBM,hb_graph,num_leaves,50,0.88,0.02,0.88
