task,model,contrast,contrast_label,n_splits_group,mean_delta_group,sd_delta_group,dz_group,n_pos_group,n_neg_group,p_sign_group,n_splits_random,mean_delta_random,sd_delta_random,dz_random,n_pos_random,n_neg_random,p_sign_random,delta_inflation,dz_inflation,sd_ratio,ci_delta_lo,ci_delta_hi,ci_dz_lo,ci_dz_hi
ess,LogisticRegression,H1,Hypergraph - pairwise,50,0.04244371386,0.04923709763869335,0.8620271278265859,42,8,1.163555804595262e-06,50,0.06116193324235246,0.02264115523716823,2.7013609774623006,50,0,1.7763568394002505e-15,0.018718219382352456,1.8393338496357148,2.174672498948491,0.004376103625679188,0.03367750352019718,1.1301074928371477,2.6178284107741816
ess,LogisticRegression,H2,HB-graph - hypergraph,50,0.016259333800000008,0.04065690090843181,0.3999157200058009,39,11,9.021490107130603e-05,50,0.030137875972407295,0.022398683989421027,1.3455199415573484,46,4,4.461782054931973e-10,0.013878542172407287,0.9456042215515476,1.8151468598616867,0.0011027322502370639,0.02696065257293426,0.5251570529063851,1.4102084027884343
ess,LogisticRegression,H3,HB-graph - pairwise,50,0.05870304766000002,0.04752738058165653,1.2351416581678143,45,5,4.209852022540872e-09,50,0.09129980921475972,0.028639934106847266,3.187849834924434,50,0,1.7763568394002505e-15,0.0325967615547597,1.9527081767566197,1.659479396996714,0.017209132995752396,0.04788025074908812,1.3577904099051465,2.7666234488592223
ess,RBF-SVM,H1,Hypergraph - pairwise,50,0.027351603579999995,0.04433707535000635,0.616901393790199,38,12,0.00030586400160359517,50,-0.008224317990913575,0.02751909108435284,-0.298858634745748,20,30,0.20263875106454066,-0.03557592157091357,-0.9157600285359471,1.6111387986653416,-0.04958708126922978,-0.02114548022313448,-1.426300832379221,-0.5175222542890647
ess,RBF-SVM,H2,HB-graph - hypergraph,50,0.016024020940000005,0.041951752581741865,0.38196308744855484,42,8,1.163555804595262e-06,50,0.07406975120731815,0.03615283347667946,2.0487951865542477,48,2,2.2666313270747196e-12,0.058045730267318144,1.6668320991056929,1.1604001276636593,0.04333476129688188,0.07368228828617007,1.0242152670160511,2.3890149575530137
ess,RBF-SVM,H3,HB-graph - pairwise,50,0.04337562452,0.04963782344137182,0.8738421935690186,42,8,1.163555804595262e-06,50,0.06584543321640458,0.032013751506627885,2.056785915976528,50,0,1.7763568394002505e-15,0.02246980869640458,1.1829437224075094,1.5505156723383442,0.005902840304673929,0.038334805291542984,0.6875598304218556,1.765030922440304
ess,MLP,H1,Hypergraph - pairwise,50,0.045580671399999995,0.053051551796140024,0.8591769676248452,41,9,5.614100093254137e-06,50,0.06803955683910125,0.04207623686273376,1.6170542308968407,48,2,2.2666313270747196e-12,0.022458885439101253,0.7578772632719956,1.2608435485618943,0.004080820212829254,0.0413426511288708,0.26481730900558753,1.3562324824776153
ess,MLP,H2,HB-graph - hypergraph,50,0.014998491240000002,0.035306305215206134,0.42481055858374767,34,16,0.015346677832630107,50,0.02045603596002013,0.03539916818353007,0.5778677016918599,40,10,2.3861331676755526e-05,0.0054575447200201285,0.1530571431081122,0.9973766906656542,-0.008336283176135936,0.019206973155278494,-0.2852212894755626,0.5826707052064015
ess,MLP,H3,HB-graph - pairwise,50,0.06057916264,0.04903833713569493,1.2353429210368663,44,6,3.243740565039843e-08,50,0.08849559279912139,0.03310136095617291,2.6734729401697996,50,0,1.7763568394002505e-15,0.02791643015912139,1.4381300191329334,1.4814598469417317,0.011948990752605157,0.044190672098513836,0.9189520428425506,1.9986955560297788
ess,RandomForest,H1,Hypergraph - pairwise,50,0.016662029320000004,0.043197844195396545,0.38571437140781256,40,10,2.3861331676755526e-05,50,0.018907407880186532,0.014795242303258668,1.2779383732040777,44,6,3.243740565039843e-08,0.0022453785601865284,0.892224001796265,2.9197118445219497,-0.009870750764926243,0.015245644917967541,0.3373775343889695,1.4693686745531276
