task,model,tier,n_group,n_random,mean_group,std_group,mean_random,std_random,inflation,ci_lo,ci_hi,mean_lift_group,mean_lift_random,inflation_lift,ci_lift_lo,ci_lift_hi
chembl,LogisticRegression,hb_graph,50,50,0.25211747834000003,0.08198430890447343,0.2469417812652328,0.051631441480706586,-0.005175697074767227,-0.03125792941368236,0.020868294150946837,,,,,
chembl,RBF-SVM,pairwise,50,50,0.13377919948000003,0.026072511455123477,0.1512876719266042,0.026604728826998846,0.017508472446604167,0.007272755789800278,0.027730457097116232,,,,,
chembl,RBF-SVM,hypergraph,50,50,0.2293154723,0.06311943392151546,0.21826105539739726,0.040006232493893214,-0.011054416902602726,-0.032727348441752346,0.009150622893389629,,,,,
chembl,RBF-SVM,hb_graph,50,50,0.23326033356000003,0.06813432998740823,0.22203147768026343,0.042590801429843395,-0.011228855879736599,-0.03328661704353926,0.010108883835372484,,,,,
chembl,MLP,pairwise,50,50,0.10229132358,0.02772559146083622,0.09939953402880365,0.019388342022890956,-0.0028917895511963443,-0.012257375437232244,0.006445857143053625,,,,,
chembl,MLP,hypergraph,50,50,0.19587995496,0.058070724680518944,0.20312755678052724,0.047690370519705254,0.00724760182052725,-0.013206198879758059,0.0276476497613021,,,,,
chembl,MLP,hb_graph,50,50,0.23755951645999995,0.08902873798379356,0.2228392641694562,0.05605801010996136,-0.014720252290543745,-0.04437859745779158,0.014265866774214308,,,,,
chembl,RandomForest,pairwise,50,50,0.18770693313999998,0.04745045147621084,0.1944761001652895,0.04194804426094194,0.006769167025289513,-0.010956592533889833,0.02410791012476523,,,,,
chembl,RandomForest,hypergraph,50,50,0.22254841692000002,0.05236573200045087,0.23269729995266533,0.03970585651086991,0.010148883032665312,-0.008001670289529148,0.028025968962283543,,,,,
chembl,RandomForest,hb_graph,50,50,0.29298273261999996,0.07184864784420887,0.29312090155478876,0.04845894270667398,0.000138168934788796,-0.023816497946443305,0.02390100385315654,,,,,
chembl,XGBoost,pairwise,50,50,0.20052744754,0.049067085748444574,0.21004822538790532,0.043627260055929616,0.009520777847905337,-0.008511718127304592,0.027400985999803312,,,,,
chembl,XGBoost,hypergraph,50,50,0.26375157658,0.06626834059808966,0.25101681842907847,0.047395709295562,-0.01273475815092151,-0.03465466229993902,0.010315939087043252,,,,,
chembl,XGBoost,hb_graph,50,50,0.28887407512,0.06584063960855632,0.29796357439096366,0.04769134399298402,0.009089499270963641,-0.012813101294213345,0.03139413438583323,,,,,
chembl,LightGBM,pairwise,50,50,0.22216664649999998,0.05757989902092141,0.22192693656507706,0.05294715123046165,-0.00023970993492292147,-0.021176286750540445,0.021388526568367323,,,,,
chembl,LightGBM,hypergraph,50,50,0.2487091555,0.0568581383119911,0.2465773328234363,0.05325828875448167,-0.0021318226765636994,-0.02336433282597813,0.019793888689187494,,,,,
chembl,LightGBM,hb_graph,50,50,0.28619892254,0.0689458206769884,0.2819077164795794,0.0497731703175681,-0.004291206060420605,-0.027351519593025668,0.019028476908957287,,,,,
chembl,TabPFN,pairwise,50,50,0.18867960628,0.0438654301938214,0.19728206132955958,0.04138326043183572,0.008602455049559588,-0.007638666330917925,0.02541508008222372,,,,,
chembl,TabPFN,hypergraph,50,50,0.31138072138,0.0560100090323438,0.3006638153906895,0.05094112695324204,-0.010716905989310521,-0.03138713357914984,0.010137737426568299,,,,,
chembl,TabPFN,hb_graph,50,50,0.35071902722,0.08228221856178276,0.34655337871393477,0.05372764831048308,-0.0041656485060652115,-0.03130219675939274,0.023489869710964423,,,,,
